,0,1
0,20,22
1,22,25
2,23,27
3,22,25
4,21,26
5,18,24
6,18,20
7,17,16
8,14,13
9,9,12
10,4,5
11,1,2
12,-4,-2
13,-7,-5
14,-9,-9
15,-13,-12
16,-17,-13
17,-18,-13
18,-17,-14
19,-20,-14
20,-18,-12
21,-12,-11
22,-10,-7
23,-6,-5
24,-4,-1
25,0,0
26,9,3
27,11,7
28,17,10
29,21,13
30,25,15
31,25,14
32,27,13
33,24,12
34,22,12
35,18,9
36,15,5
37,9,2
38,3,0
39,-3,-5
40,-9,-10
41,-17,-11
42,-21,-15
43,-24,-18
44,-28,-20
45,-30,-20
46,-29,-22
47,-25,-18
48,-23,-15
49,-18,-11
50,-15,-5
51,-9,-1
52,-3,3
53,4,4
54,9,10
55,12,14
56,16,16
57,19,20
58,24,21
59,26,19
60,23,20
61,21,18
62,21,14
63,16,8
64,11,3
65,9,0
66,4,-3
67,-2,-8
68,-6,-12
69,-11,-16
70,-14,-20
71,-18,-22
72,-18,-21
73,-21,-21
74,-19,-20
75,-17,-18
76,-15,-15
77,-11,-12
78,-8,-6
79,-4,1
80,0,6
81,5,10
82,8,16
83,15,23
84,16,27
85,19,30
86,21,31
87,23,32
88,23,30
89,20,29
90,17,27
91,15,23
92,12,19
93,5,16
94,0,9
95,-4,2
96,-7,-3
97,-8,-9
98,-12,-13
99,-14,-19
100,-14,-21
101,-14,-23
102,-16,-25
103,-14,-25
104,-13,-23
105,-13,-22
106,-9,-21
107,-6,-17
108,-4,-15
109,-3,-9
110,-1,-7
111,2,-1
112,5,5
113,4,8
114,6,11
115,7,14
116,9,15
117,5,14
118,5,16
119,3,16
120,1,16
121,2,12
122,-1,8
123,-2,5
124,-3,-1
125,-1,-4
126,-1,-7
127,1,-10
128,0,-14
129,2,-15
130,4,-17
131,4,-19
132,7,-20
133,12,-20
134,10,-17
135,11,-14
136,11,-10
137,11,-5
138,12,-3
139,11,3
140,13,8
141,11,11
142,7,12
143,5,17
144,3,22
145,1,25
146,-4,24
147,-7,26
148,-14,21
149,-15,19
150,-16,15
151,-15,11
152,-17,6
153,-18,-2
154,-16,-9
155,-15,-11
156,-15,-15
157,-11,-16
158,-8,-17
159,-6,-20
160,-2,-20
161,0,-17
162,4,-17
163,5,-13
164,12,-13
165,11,-7
166,12,-2
167,14,0
168,15,6
169,15,13
170,16,18
171,18,20
172,13,23
173,12,23
174,12,26
175,8,24
176,5,24
177,0,19
178,-2,16
179,-3,11
180,-7,9
181,-9,2
182,-14,-4
183,-13,-11
184,-14,-17
185,-14,-19
186,-15,-25
187,-14,-27
188,-13,-30
189,-10,-32
190,-7,-29
191,-7,-27
192,-2,-26
193,4,-22
194,7,-19
195,8,-13
196,10,-11
197,17,-4
198,19,1
199,18,7
200,19,12
201,21,16
202,20,20
203,20,24
204,20,23
205,17,24
206,12,25
207,11,23
208,4,21
209,-1,19
210,-6,16
211,-11,10
212,-17,9
213,-20,5
214,-26,-2
215,-27,-5
216,-27,-12
217,-26,-13
218,-23,-14
219,-23,-17
220,-18,-18
221,-16,-19
222,-6,-18
223,0,-15
224,3,-10
225,9,-6
226,13,0
227,17,2
228,18,6
229,20,12
230,22,16
231,20,18
232,17,20
233,15,22
234,11,23
235,8,24
236,3,22
237,-2,21
238,-5,15
239,-8,15
240,-10,9
241,-13,7
242,-15,2
243,-12,-2
244,-14,-6
245,-12,-12
246,-10,-17
247,-6,-18
248,-6,-20
249,-7,-23
250,-4,-23
251,-2,-22
252,3,-18
253,3,-15
254,5,-8
255,7,-6
256,8,0
257,10,7
258,10,11
259,12,13
260,9,18
261,11,21
262,13,22
263,12,23
264,10,19
265,11,18
266,10,17
267,6,11
268,4,5
269,3,0
270,0,-4
271,-3,-9
272,-5,-16
273,-10,-20
274,-13,-25
275,-13,-29
276,-16,-28
277,-20,-28
278,-20,-27
279,-18,-24
280,-17,-20
281,-16,-16
282,-14,-11
283,-12,-5
284,-8,3
285,-4,8
286,0,13
287,3,18
288,7,23
289,10,25
290,13,29
291,16,32
292,16,31
293,18,27
294,17,29
295,15,25
296,11,19
297,8,14
298,2,9
299,-1,1
300,-5,-4
301,-9,-9
302,-10,-12
303,-11,-16
304,-11,-21
305,-10,-22
306,-8,-22
307,-7,-22
308,-3,-20
309,2,-18
310,5,-15
311,12,-12
312,10,-8
313,12,-5
314,15,-2
315,15,3
316,14,9
317,12,9
318,10,13
319,7,17
320,1,17
321,-6,18
322,-10,14
323,-15,15
324,-15,13
325,-21,10
326,-24,7
327,-23,1
328,-21,-1
329,-18,-8
330,-17,-11
331,-13,-14
332,-8,-16
333,-2,-19
334,3,-20
335,9,-22
336,16,-24
337,18,-19
338,22,-14
339,26,-13
340,27,-6
341,27,-5
342,24,1
343,22,3
344,17,5
345,13,9
346,7,10
347,1,10
348,-3,13
349,-11,16
350,-16,15
351,-19,15
352,-23,13
353,-26,10
354,-26,10
355,-25,8
356,-23,6
357,-22,1
358,-16,-5
359,-10,-5
360,-7,-8
361,-3,-10
362,5,-12
363,10,-17
364,13,-13
365,17,-12
366,20,-12
367,22,-10
368,22,-7
369,22,-5
370,19,1
371,17,4
372,15,7
373,12,13
374,9,14
375,3,19
376,1,22
377,-1,25
378,-2,24
379,-7,23
380,-10,23
381,-12,19
382,-13,14
383,-14,11
384,-15,8
385,-15,1
386,-16,-5
387,-16,-8
388,-14,-12
389,-15,-19
390,-14,-22
391,-12,-22
392,-9,-24
393,-7,-23
394,-4,-20
395,0,-18
396,3,-16
397,6,-10
398,8,-7
399,9,-3
400,11,0
401,11,6
402,12,10
403,11,13
404,11,13
405,8,17
406,6,18
407,2,17
408,2,16
409,-2,13
410,-5,14
411,-10,10
412,-13,5
413,-12,1
414,-14,-2
415,-15,-5
416,-16,-9
417,-16,-13
418,-12,-16
419,-9,-16
420,-6,-16
421,0,-16
422,4,-17
423,12,-13
424,17,-12
425,17,-8
426,24,-6
