,0,1,2
0,34,30,34
1,36,36,37
2,35,38,35
3,29,33,31
4,29,28,27
5,27,26,21
6,15,20,11
7,0,9,0
8,-7,-2,-10
9,-13,-9,-15
10,-24,-17,-22
11,-31,-24,-27
12,-36,-31,-35
13,-37,-36,-39
14,-41,-38,-39
15,-38,-40,-38
16,-34,-35,-34
17,-28,-30,-27
18,-22,-24,-21
19,-13,-19,-15
20,-5,-12,-8
21,6,-4,3
22,12,5,10
23,17,13,15
24,24,19,21
25,32,25,30
26,34,32,31
27,33,32,30
28,30,30,30
29,28,29,33
30,25,28,27
31,18,21,19
32,8,12,11
33,6,6,9
34,0,3,2
35,-10,-5,-11
36,-15,-14,-16
37,-18,-20,-18
38,-20,-20,-20
39,-22,-22,-23
40,-24,-24,-26
41,-19,-25,-24
42,-15,-20,-17
43,-16,-13,-15
44,-10,-13,-11
45,-5,-7,-5
46,2,-2,2
47,8,5,8
48,12,9,9
49,12,13,11
50,15,17,11
51,15,19,13
52,13,21,12
53,12,17,11
54,9,13,11
55,9,9,8
56,5,5,6
57,1,2,-4
58,-5,-5,-10
59,-8,-7,-10
60,-10,-10,-11
61,-13,-14,-14
62,-16,-18,-15
63,-14,-17,-16
64,-13,-15,-15
65,-14,-17,-17
66,-13,-17,-14
67,-8,-15,-6
68,-2,-8,-1
69,2,-6,3
70,5,-4,6
71,9,3,12
72,14,9,17
73,16,16,17
74,18,16,19
75,23,17,24
76,24,22,25
77,25,25,23
78,24,24,24
79,24,23,25
80,21,23,22
81,19,24,20
82,14,21,15
83,13,17,15
84,10,15,8
85,2,10,1
86,-2,3,-3
87,-7,-4,-7
88,-10,-7,-9
89,-16,-13,-18
90,-20,-20,-23
91,-25,-25,-28
92,-31,-29,-33
93,-37,-35,-37
94,-38,-37,-40
95,-38,-41,-39
96,-37,-38,-38
97,-35,-38,-37
98,-32,-36,-34
99,-27,-33,-29
100,-17,-27,-22
101,-9,-19,-15
102,-2,-11,-4
103,8,-4,1
104,16,4,11
105,22,15,21
106,29,23,27
107,32,33,33
108,38,40,42
109,43,45,47
110,44,49,46
111,41,47,45
112,39,46,42
113,34,42,37
114,26,38,30
115,18,30,19
116,9,20,7
117,0,8,-5
118,-12,-3,-18
119,-22,-15,-27
120,-34,-24,-36
121,-43,-33,-43
122,-48,-42,-48
123,-50,-49,-54
124,-50,-52,-52
125,-48,-52,-46
126,-40,-46,-37
127,-34,-40,-30
128,-24,-32,-18
129,-15,-25,-8
130,-3,-12,-2
131,10,0,10
132,24,12,22
133,32,24,31
134,39,31,36
135,46,40,44
136,49,48,49
137,52,51,48
138,52,54,49
139,48,50,46
140,43,48,42
141,37,45,34
142,23,37,23
143,10,24,14
144,-1,11,2
145,-10,1,-10
146,-18,-10,-20
147,-28,-20,-29
148,-37,-32,-37
149,-39,-34,-41
150,-42,-40,-43
151,-40,-45,-44
152,-38,-44,-41
153,-34,-42,-34
154,-27,-37,-27
155,-20,-31,-23
156,-11,-23,-18
157,-4,-17,-7
158,6,-7,5
159,14,3,10
160,22,9,18
161,27,18,24
162,33,25,30
163,31,30,30
164,32,30,31
165,31,28,31
166,30,31,30
167,25,27,26
168,17,20,19
169,13,14,11
170,7,10,8
171,1,4,0
172,-12,-3,-7
173,-17,-11,-14
174,-23,-16,-21
175,-26,-21,-28
176,-30,-28,-32
177,-33,-30,-32
178,-33,-33,-33
179,-32,-32,-30
180,-28,-29,-28
181,-22,-25,-27
182,-16,-21,-19
183,-10,-13,-13
184,-2,-6,-4
185,4,-3,2
186,13,8,10
187,19,17,16
188,21,22,20
189,24,24,25
190,28,25,30
191,29,26,31
192,30,27,28
193,30,26,26
194,27,21,24
195,27,21,21
196,20,19,17
197,12,13,7
198,5,3,3
199,1,-1,-5
200,-9,-5,-9
201,-15,-12,-19
202,-21,-20,-21
203,-22,-23,-25
204,-26,-23,-26
205,-32,-25,-28
206,-34,-27,-29
207,-27,-28,-24
208,-22,-24,-22
209,-19,-20,-21
210,-14,-17,-17
211,-10,-14,-11
212,-1,-6,-3
213,4,1,2
214,6,5,8
215,11,8,13
216,18,12,19
217,19,16,19
218,18,19,21
219,19,19,22
220,24,19,21
221,22,21,17
222,17,22,17
223,16,19,13
224,15,16,11
225,12,14,8
226,6,7,1
227,5,5,-1
228,1,1,-2
229,-6,-3,-5
230,-9,-6,-10
231,-12,-8,-11
232,-14,-10,-12
233,-16,-14,-16
234,-19,-15,-16
235,-15,-17,-16
236,-15,-14,-14
237,-12,-12,-10
238,-9,-11,-8
239,-3,-6,-2
240,0,-2,2
241,7,4,7
242,8,8,7
243,12,12,13
244,18,16,17
245,21,19,20
246,20,24,21
