,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,19,15,21,21,19,19,21,18,21,16,24,19,20,18,17,20
1,21,20,21,23,20,20,22,20,22,20,23,22,20,21,20,22
2,22,18,20,21,20,20,23,19,23,21,22,20,13,25,19,23
3,23,18,17,21,17,20,22,16,23,23,19,25,13,23,19,22
4,21,18,14,20,15,19,20,14,21,24,18,24,12,20,18,21
5,19,16,12,17,12,18,20,9,20,23,14,21,9,23,14,18
6,17,12,7,15,8,15,15,7,17,21,11,19,3,17,12,18
7,13,10,2,11,4,12,12,2,15,20,10,18,2,13,7,17
8,7,6,-2,8,-1,10,8,-2,8,15,5,14,-2,11,3,14
9,5,3,-7,4,-1,7,4,-5,3,9,-1,9,-8,9,0,9
10,1,3,-11,-2,-7,2,0,-11,-1,6,-2,7,-12,3,-6,4
11,-3,1,-15,-7,-12,0,-5,-13,-2,0,-5,4,-13,0,-6,1
12,-6,-6,-18,-10,-16,-3,-9,-14,-9,-4,-10,-4,-14,-4,-9,-4
13,-7,-6,-20,-13,-17,-7,-12,-16,-10,-9,-12,-9,-18,-7,-12,-7
14,-12,-8,-20,-16,-20,-10,-18,-21,-13,-10,-15,-10,-16,-11,-15,-9
15,-14,-9,-18,-18,-21,-15,-18,-18,-16,-14,-18,-14,-17,-16,-15,-13
16,-15,-12,-20,-18,-19,-17,-18,-17,-17,-18,-19,-18,-15,-17,-15,-17
17,-18,-10,-16,-19,-19,-18,-19,-19,-15,-21,-16,-19,-13,-18,-17,-18
18,-21,-12,-15,-18,-18,-19,-20,-16,-14,-21,-16,-18,-10,-17,-14,-17
19,-20,-11,-13,-16,-13,-19,-21,-12,-13,-21,-14,-17,-7,-18,-13,-20
20,-18,-7,-7,-14,-11,-17,-17,-10,-11,-21,-11,-17,-1,-18,-9,-18
21,-14,-7,-2,-12,-5,-14,-15,-5,-8,-16,-5,-15,4,-14,-6,-12
22,-12,-5,4,-8,0,-13,-11,1,-7,-13,-1,-13,9,-10,-2,-10
23,-7,-3,8,-4,6,-11,-7,7,-7,-12,5,-9,13,-4,1,-6
24,-2,-2,12,1,10,-4,-4,9,-1,-6,10,-7,16,0,5,-4
25,6,1,16,5,13,-1,3,14,3,2,12,-1,18,5,9,0
26,6,2,22,11,18,3,8,18,5,4,16,5,22,6,12,9
27,12,2,23,13,21,8,14,21,8,9,19,7,24,10,15,11
28,17,3,23,17,22,11,15,21,12,16,21,14,24,16,21,17
29,20,5,22,20,22,16,18,22,17,18,22,16,22,19,22,21
30,24,7,20,20,24,19,21,22,20,20,20,19,21,23,24,25
31,23,5,18,23,22,20,21,21,21,22,18,23,17,24,24,25
32,23,9,16,22,17,20,20,20,22,25,17,25,13,25,23,27
33,19,7,7,20,16,20,21,14,19,24,16,24,7,25,19,24
34,18,6,3,16,10,18,18,8,17,23,9,22,1,23,17,22
35,16,6,-2,14,3,18,13,4,13,21,7,17,-4,20,10,18
36,7,5,-5,8,-4,16,9,-1,8,19,2,17,-11,14,5,15
37,2,4,-11,3,-8,10,5,-7,4,14,-5,12,-15,9,-2,9
38,-3,4,-16,-4,-14,1,-2,-13,-2,4,-7,8,-19,4,-7,3
39,-10,4,-20,-10,-21,-2,-9,-19,-9,2,-14,7,-24,-2,-12,-3
40,-16,4,-22,-15,-22,-8,-14,-23,-14,-5,-18,1,-25,-8,-17,-9
41,-17,0,-27,-20,-25,-14,-18,-27,-16,-11,-20,-7,-27,-12,-23,-17
42,-23,0,-29,-21,-28,-20,-21,-28,-21,-16,-25,-14,-28,-18,-26,-21
43,-26,-1,-28,-24,-27,-23,-22,-30,-23,-22,-25,-17,-24,-24,-26,-24
44,-27,-2,-26,-28,-26,-26,-25,-29,-28,-23,-24,-23,-19,-27,-28,-28
45,-29,-3,-21,-29,-21,-29,-27,-27,-27,-27,-24,-26,-18,-28,-27,-30
46,-27,-3,-17,-27,-19,-28,-27,-24,-25,-28,-22,-28,-12,-30,-24,-29
47,-25,-3,-13,-22,-15,-30,-25,-19,-23,-27,-18,-30,-7,-25,-22,-25
48,-21,-2,-8,-21,-8,-27,-22,-13,-21,-26,-14,-30,-1,-25,-15,-23
49,-18,-3,-2,-17,-3,-22,-18,-8,-17,-21,-12,-27,4,-23,-12,-18
