,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,20,23,17,20,22,23,17,21,21,19,20,22,15,23,25,18,18,16,22
1,25,25,20,20,24,25,20,25,23,20,21,26,22,26,25,20,22,22,25
2,27,24,20,20,24,22,19,25,23,18,20,24,24,26,27,17,27,24,27
3,26,23,20,17,26,24,18,22,21,15,19,24,24,27,25,16,24,25,25
4,25,22,17,13,26,24,17,19,20,13,19,23,23,26,24,17,23,29,26
5,26,20,13,10,24,21,16,17,16,9,15,22,24,24,23,15,23,29,24
6,23,17,10,4,21,19,12,15,13,4,11,20,25,19,19,11,21,28,20
7,21,12,7,-3,17,15,9,13,10,1,9,17,20,17,16,9,19,23,16
8,15,11,3,-7,14,10,3,7,4,-3,4,14,17,14,12,4,18,19,13
9,12,9,-2,-11,12,4,-3,3,0,-8,0,8,15,10,7,-1,12,14,12
10,7,3,-5,-13,6,3,-4,-1,-4,-13,-5,3,10,3,2,-2,9,11,5
11,-1,-1,-8,-16,3,-2,-4,-6,-5,-15,-4,-2,5,0,-2,-3,3,7,2
12,-4,-4,-12,-16,-3,-7,-10,-8,-9,-13,-9,-7,1,-4,-8,-8,3,4,-2
13,-8,-7,-14,-17,-8,-8,-13,-8,-13,-12,-13,-10,-3,-11,-8,-10,-4,-1,-5
14,-10,-9,-15,-18,-12,-11,-14,-12,-14,-14,-14,-13,-8,-12,-13,-12,-5,-7,-9
15,-12,-13,-18,-15,-14,-13,-16,-14,-15,-14,-16,-14,-12,-12,-14,-12,-9,-10,-12
16,-15,-13,-18,-12,-16,-14,-15,-15,-17,-9,-17,-17,-13,-17,-16,-11,-11,-14,-13
17,-16,-12,-17,-7,-18,-14,-15,-14,-13,-5,-18,-17,-15,-18,-14,-11,-11,-13,-13
18,-16,-15,-14,-2,-19,-15,-14,-11,-14,-3,-16,-15,-17,-18,-13,-9,-14,-16,-14
19,-16,-14,-13,1,-17,-15,-11,-9,-11,3,-13,-16,-18,-15,-13,-12,-14,-19,-14
20,-15,-13,-11,6,-17,-15,-11,-9,-9,8,-9,-16,-15,-16,-9,-9,-14,-19,-12
21,-15,-10,-9,10,-14,-10,-11,-6,-6,9,-6,-14,-15,-14,-8,-8,-14,-17,-11
22,-11,-7,-4,14,-10,-9,-7,-6,-2,13,-1,-10,-14,-9,-6,-4,-11,-12,-7
23,-7,-4,-1,18,-6,-3,-3,0,1,15,2,-6,-10,-3,-3,0,-8,-11,-5
24,-3,-1,3,18,-1,1,-2,4,1,17,6,-2,-6,1,0,3,-5,-8,-1
25,1,4,5,20,1,3,0,9,5,18,9,1,-4,3,4,5,-2,-4,0
26,5,5,10,21,2,6,4,10,4,18,11,5,2,5,6,5,1,0,3
27,10,9,14,20,7,10,6,12,7,16,14,8,6,8,10,6,4,4,7
28,15,13,13,18,10,15,8,17,8,11,16,11,10,12,13,6,7,7,10
29,15,14,14,16,14,14,8,16,11,10,19,15,11,15,15,7,11,12,13
30,15,15,14,11,17,16,12,16,12,8,16,15,14,16,13,7,12,14,15
31,17,16,14,6,17,15,10,17,10,4,14,15,18,15,14,5,11,16,14
32,16,16,11,4,18,16,10,14,9,-1,13,15,18,13,14,5,14,17,13
33,15,14,9,0,18,14,12,13,7,-4,10,13,16,16,13,6,14,18,12
34,15,9,6,-1,15,9,9,11,5,-7,6,13,14,15,9,6,14,18,12
35,12,7,2,-5,12,9,6,7,5,-9,0,8,13,10,8,3,12,15,9
36,11,3,-2,-10,8,3,5,3,3,-13,-5,4,9,7,4,3,10,12,5
37,6,0,-4,-12,3,-1,3,-1,2,-12,-10,-1,6,3,1,0,9,9,2
38,-1,-4,-7,-12,-1,-4,1,-3,-1,-15,-12,-5,2,0,-6,-3,1,3,0
39,-4,-8,-6,-13,-6,-8,-2,-9,-3,-12,-18,-10,-3,-4,-8,-3,-1,0,-5
40,-9,-12,-9,-13,-11,-13,-4,-13,-5,-13,-23,-14,-5,-9,-11,-4,-6,-4,-10
41,-15,-16,-10,-13,-15,-17,-4,-16,-6,-14,-25,-17,-11,-14,-17,-5,-11,-8,-11
42,-18,-21,-8,-13,-18,-19,-5,-21,-8,-12,-26,-19,-16,-17,-18,-6,-15,-11,-15
43,-23,-20,-8,-13,-19,-22,-7,-20,-8,-11,-23,-21,-18,-22,-21,-8,-19,-14,-18
44,-24,-20,-7,-8,-22,-23,-8,-21,-7,-10,-22,-25,-20,-21,-22,-7,-19,-17,-20
45,-23,-20,-8,-8,-23,-23,-8,-20,-9,-7,-20,-25,-22,-24,-21,-7,-20,-20,-20
46,-21,-20,-7,-7,-24,-19,-5,-20,-7,-5,-15,-21,-22,-23,-19,-7,-22,-23,-22
47,-23,-19,-7,-3,-22,-18,-4,-17,-9,-3,-11,-21,-23,-20,-17,-7,-22,-23,-18
48,-19,-15,-6,0,-19,-15,-3,-13,-7,-2,-10,-17,-22,-19,-12,-5,-18,-22,-15
49,-14,-13,-2,0,-17,-8,-1,-11,-4,0,-2,-10,-15,-17,-9,-5,-15,-20,-11
50,-11,-5,0,3,-13,-5,-2,-4,-3,2,3,-7,-12,-9,-5,-2,-12,-17,-5
51,-3,-2,-1,6,-8,0,1,1,-3,3,8,-2,-7,-5,-2,-1,-5,-13,-1
52,2,4,1,6,-2,5,1,4,-1,6,13,4,-1,-2,4,0,-1,-8,3
53,5,10,4,9,1,9,3,6,1,7,18,10,0,3,10,3,4,-4,4
54,6,12,6,8,8,13,5,10,5,10,21,11,7,6,14,6,8,0,10
55,11,17,4,10,14,15,3,16,3,11,25,17,10,13,17,3,10,5,14
56,15,20,5,8,18,19,5,18,3,10,26,21,14,18,17,4,15,10,16
57,16,22,8,7,19,21,8,21,5,9,26,22,16,18,19,5,20,15,20
58,19,21,6,5,22,19,10,20,5,5,26,21,16,22,18,7,22,19,21
59,19,20,5,5,19,19,7,19,7,5,23,20,19,23,18,5,21,20,19
60,19,16,5,2,21,17,6,19,8,4,19,18,18,22,18,4,22,21,20
61,19,14,6,-2,19,14,8,17,7,2,15,16,19,21,14,5,20,20,18
62,17,12,3,0,14,11,8,13,7,-1,14,12,15,18,10,4,20,17,14
63,12,8,5,0,11,8,6,7,7,-1,7,10,11,11,6,2,14,16,8
64,8,3,4,-5,9,3,4,5,5,0,6,5,8,8,1,3,9,11,3
65,3,1,1,-7,6,0,4,-1,4,-4,1,2,3,4,-4,2,5,9,0
66,1,-6,0,-6,-1,-5,3,-6,4,-4,-1,-3,0,-2,-7,0,0,7,-3
67,-3,-11,1,-9,-2,-8,3,-12,3,-5,-6,-9,-5,-6,-9,1,-6,1,-8
68,-9,-14,0,-6,-7,-15,1,-17,2,-5,-8,-15,-10,-8,-15,3,-11,-4,-12
69,-15,-16,2,-5,-13,-20,-1,-19,-2,-5,-11,-17,-13,-13,-20,3,-15,-10,-16
70,-17,-19,1,-6,-18,-20,-1,-20,0,-3,-13,-20,-17,-20,-21,2,-18,-13,-20
71,-19,-20,0,-6,-21,-22,0,-22,0,-4,-13,-22,-19,-23,-19,0,-21,-17,-22
72,-22,-18,1,-6,-22,-20,1,-25,-1,-3,-18,-23,-19,-23,-20,0,-24,-19,-21
73,-23,-20,1,-3,-21,-20,0,-24,1,0,-17,-21,-19,-26,-17,0,-25,-21,-21
74,-23,-19,3,0,-20,-20,-1,-20,4,1,-18,-20,-21,-26,-15,-1,-23,-24,-20
75,-22,-19,2,1,-18,-18,1,-18,3,0,-18,-17,-18,-23,-12,2,-20,-20,-18
76,-19,-13,3,2,-16,-13,2,-13,2,3,-13,-14,-18,-19,-9,0,-19,-17,-15
77,-15,-8,2,3,-14,-9,4,-8,2,5,-8,-10,-15,-15,-4,2,-12,-17,-12
78,-10,-2,4,3,-10,-4,4,-3,4,5,-7,-6,-10,-10,2,3,-9,-12,-6
79,-5,4,5,2,-4,2,2,3,5,5,-4,1,-4,-3,5,2,-5,-9,1
80,2,10,5,3,0,8,3,8,-1,8,0,7,2,1,12,4,1,-4,6
81,6,11,5,4,5,15,2,15,0,8,2,13,6,6,16,5,4,0,10
82,14,17,6,0,10,20,4,20,0,7,10,17,12,11,21,2,10,9,16
83,17,23,7,3,17,27,4,24,1,6,9,22,19,20,25,4,19,15,23
84,22,28,4,2,22,29,2,27,2,6,12,27,24,25,30,1,22,19,27
85,25,28,2,2,26,34,4,30,-1,4,13,29,26,27,29,3,26,23,30
86,28,32,3,1,29,31,2,32,1,3,15,30,28,32,29,1,30,28,31
87,28,34,-1,1,30,30,1,32,-2,2,17,31,29,32,29,2,31,31,32
88,31,34,-4,1,29,29,-1,31,-7,2,15,34,30,31,28,-1,31,29,30
