,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,16,19,22,19,17,19,21,19,17,19,19,18,22,17,21,22,21,18,19,19,18
1,20,20,21,20,23,20,20,20,20,22,20,20,22,20,20,20,24,20,20,24,21
2,20,20,19,19,23,17,19,19,18,19,18,17,22,19,19,22,22,18,21,23,18
3,18,19,17,18,26,15,19,17,18,19,16,18,24,19,17,17,21,15,17,23,15
4,16,19,14,17,21,15,14,17,17,19,15,16,23,18,15,14,21,11,18,19,13
5,14,16,12,15,21,12,11,12,15,18,13,15,21,14,13,11,18,5,16,18,7
6,12,12,12,12,20,8,10,11,13,18,11,14,17,8,7,11,17,4,15,14,5
7,5,10,9,11,17,5,4,5,10,13,8,7,17,8,6,7,13,-2,11,11,0
8,1,7,5,8,12,3,2,1,7,10,5,8,11,2,4,3,9,-5,9,4,-2
9,-1,4,3,5,8,-1,1,-2,5,8,3,3,7,0,1,0,2,-10,5,1,-7
10,-7,-2,1,0,4,-6,-2,-5,2,3,0,0,2,-7,-2,-2,0,-12,0,-2,-12
11,-11,-9,-2,-4,0,-10,-5,-9,1,0,-2,0,-2,-11,-5,-2,-5,-14,-2,-8,-14
12,-10,-11,-4,-6,-4,-12,-4,-10,1,-1,-3,-4,-6,-16,-4,-3,-9,-14,-6,-9,-16
13,-15,-13,-5,-8,-5,-14,-5,-16,-2,-5,-4,-4,-11,-19,-8,-4,-16,-13,-8,-13,-16
14,-16,-17,-2,-8,-9,-16,-5,-17,-6,-6,-3,-6,-13,-19,-6,-5,-14,-12,-9,-15,-20
15,-19,-22,-8,-9,-10,-17,-5,-21,-6,-6,-3,-4,-16,-21,-4,-5,-17,-12,-11,-16,-20
16,-18,-23,-4,-7,-13,-19,-2,-21,-5,-7,-7,-5,-18,-23,-5,-6,-16,-11,-8,-18,-18
17,-17,-24,-5,-4,-15,-19,-2,-21,-5,-7,-3,-5,-15,-24,-3,-6,-16,-8,-7,-16,-15
18,-18,-23,-3,-5,-16,-17,-2,-21,-3,-6,-2,-5,-18,-22,-3,-3,-15,-3,-10,-14,-16
19,-16,-23,-1,-3,-15,-15,1,-21,-2,-6,-1,-3,-15,-18,-1,-2,-13,-3,-7,-13,-13
20,-16,-22,1,-2,-14,-17,3,-19,0,-5,-1,-3,-12,-17,2,-2,-9,0,-5,-9,-10
21,-9,-19,3,-1,-13,-12,4,-17,-1,-2,2,0,-11,-14,3,-1,-4,6,-2,-7,-7
22,-9,-17,2,0,-10,-9,2,-14,1,0,1,1,-8,-10,3,0,-2,7,0,-2,-3
23,-8,-10,2,4,-8,-4,4,-13,1,2,2,1,-3,-7,7,2,2,10,2,0,-1
24,-4,-7,3,5,-4,-3,6,-8,2,3,5,4,3,-3,8,3,5,13,3,1,3
25,-2,-2,5,7,-3,-2,6,-3,3,4,5,3,5,3,5,4,6,13,7,8,7
26,5,-1,6,5,-1,2,7,0,4,7,3,4,6,4,5,4,8,15,7,9,10
27,8,3,4,5,4,8,4,5,4,5,3,6,9,2,5,5,8,12,6,9,13
28,10,7,3,5,5,9,2,9,1,6,3,4,10,7,3,2,8,10,6,12,11
29,11,12,2,3,9,12,-2,12,1,4,2,4,13,7,3,1,9,12,8,11,13
30,13,14,1,4,12,12,-2,13,3,3,0,2,13,9,-1,2,7,8,6,12,13
31,12,14,1,0,12,13,-3,15,0,0,-1,1,12,11,0,0,7,7,5,11,11
32,11,16,1,0,10,12,-5,16,0,-1,-4,1,10,12,-1,-2,5,6,4,8,7
33,10,17,-3,-2,9,12,-5,15,-4,-1,-3,1,7,10,-5,-1,4,3,0,5,7
34,8,16,-5,-3,8,11,-5,15,-4,1,-5,0,5,10,-5,-2,3,0,-1,4,4
35,6,14,-6,-3,6,9,-5,12,-4,-2,-4,-3,4,9,-3,0,1,-3,-2,-1,0
36,4,12,-7,-2,6,6,-4,8,-3,-3,-5,-2,1,7,-4,-2,0,-6,-2,-3,-2
37,0,9,-4,-3,1,3,-4,5,-5,-3,-6,-2,-2,6,-5,-2,-3,-6,-3,-7,-8
38,-1,9,-3,-2,1,1,-2,5,-4,-1,-5,-4,-2,5,-3,-1,-7,-9,-2,-6,-8
39,-5,3,-3,-1,-1,-2,-2,-2,-3,-2,-4,-5,-2,3,-4,0,-4,-9,-2,-7,-12
40,-7,4,-1,-2,-3,-6,2,0,-2,0,-2,-4,-7,2,-3,-3,-6,-9,-1,-8,-10
41,-9,1,1,-1,-7,-6,6,-3,0,0,-1,-1,-8,0,-3,-2,-5,-12,2,-6,-12
42,-10,0,1,1,-6,-9,4,-2,-1,0,1,-1,-9,-2,-1,1,-4,-12,0,-6,-12
43,-10,-2,2,0,-6,-10,3,-1,3,0,2,-1,-9,0,-1,1,-7,-9,3,-4,-9
44,-8,-2,4,3,-8,-9,6,-2,2,2,3,0,-8,1,1,2,-7,-9,2,-5,-11
45,-7,-2,4,2,-11,-9,7,1,4,3,3,0,-6,2,2,4,-4,-7,2,-4,-10
46,-9,0,3,1,-9,-9,5,2,8,2,4,2,-7,1,3,3,-1,-4,1,-4,-8
47,-5,-1,4,2,-8,-8,7,2,8,3,5,3,-5,1,4,4,0,-5,4,-2,-4
48,-2,-2,3,-1,-7,-7,7,2,7,2,3,2,-5,2,2,2,-1,-4,4,-2,0
49,1,1,3,2,-6,-3,6,4,4,1,5,5,-1,6,1,4,1,1,5,0,0
50,3,2,1,3,-2,-1,2,5,4,3,4,3,-2,3,2,-1,-1,3,3,-1,4
51,4,1,0,-1,-1,3,-2,2,0,1,2,2,0,2,-1,-2,1,5,1,-2,8
52,6,1,-4,-3,1,9,-3,5,-3,-2,-1,2,0,2,-2,-1,2,8,-1,-2,8
53,9,3,-7,-3,2,10,-6,8,-4,-3,-3,2,1,2,-7,-2,2,10,-3,2,12
54,12,6,-6,-3,2,12,-10,5,-5,-3,-5,0,0,1,-11,-6,2,9,-5,1,13
55,12,6,-11,-6,2,13,-10,3,-6,-3,-8,-3,3,0,-12,-8,2,10,-7,2,13
56,13,4,-13,-10,5,14,-12,6,-9,-8,-8,-6,4,0,-11,-8,3,10,-8,2,11
57,11,3,-12,-9,5,15,-13,3,-12,-9,-11,-8,5,1,-12,-9,5,6,-10,4,12
58,11,2,-12,-9,7,17,-14,1,-12,-9,-11,-9,4,-3,-12,-11,3,7,-10,3,10
59,11,3,-11,-11,7,16,-13,3,-13,-9,-11,-11,4,-3,-11,-10,4,4,-9,4,11
60,11,4,-12,-10,5,18,-12,4,-14,-9,-12,-10,5,-2,-12,-9,3,2,-11,3,7
61,7,1,-11,-9,5,16,-9,1,-12,-8,-10,-10,7,-2,-13,-9,4,2,-9,4,6
62,6,1,-10,-7,6,12,-7,0,-10,-8,-7,-12,7,0,-12,-6,1,1,-6,2,4
63,3,3,-7,-6,6,8,-3,-1,-9,-11,-6,-11,9,-3,-7,-5,1,-4,-5,3,3
64,2,4,-5,-1,6,8,-1,0,-6,-6,-4,-9,7,-2,-4,-2,0,-4,-1,4,0
65,0,2,-3,1,4,4,3,0,-3,-3,-1,-5,5,-2,0,3,2,-5,1,3,-1
66,-1,-1,2,4,1,-1,8,-3,1,0,5,-3,5,1,4,5,3,-5,4,2,-2
67,-2,0,7,6,2,-3,10,-1,6,2,6,1,4,2,8,7,0,-7,9,2,-4
68,-4,1,8,8,-1,-3,13,-1,11,7,8,3,3,3,11,10,0,-9,12,2,-5
69,-7,1,11,10,1,-6,16,1,13,8,13,8,-1,2,12,14,-2,-6,14,1,-4
70,-5,-1,15,12,1,-8,16,1,15,11,15,10,-2,2,14,14,-1,-8,17,0,-5
71,-3,-1,16,12,-1,-9,15,1,16,12,15,14,-3,1,16,15,-2,-7,14,-4,-3
72,-4,-2,19,14,-2,-8,16,0,15,12,14,16,-4,2,16,19,-5,-5,16,-5,-6
73,-4,-2,16,14,-1,-8,14,-1,15,16,14,18,-6,1,17,20,-6,-4,16,-6,-6
74,-3,-3,17,12,-2,-6,14,-2,16,17,16,16,-8,-1,15,17,-5,-3,16,-6,-4
75,-3,-4,16,12,-2,-4,10,-1,15,16,15,17,-10,-4,14,13,-4,-4,16,-4,-5
76,-3,-5,11,12,-3,-3,8,-5,15,15,10,17,-8,-3,13,12,-5,-1,11,-4,-5
77,-2,-5,9,8,-3,-5,6,-5,11,13,8,14,-7,-5,12,11,-4,-1,10,-6,-5
78,-2,-6,5,6,-3,-4,3,-6,7,11,4,10,-6,-5,6,5,-2,0,6,-5,-4
79,-2,-9,4,3,-3,-1,-2,-5,5,7,2,9,-4,-6,2,2,-4,1,2,-7,-4
80,-2,-7,1,2,-3,-1,-6,-8,3,3,-3,4,-6,-6,0,-3,-4,0,-3,-6,-3
81,-2,-8,-2,-3,-3,-3,-8,-9,-4,0,-5,2,-6,-7,-2,-5,0,-1,-3,-6,-2
82,-4,-10,-7,-8,-3,-1,-6,-9,-4,-4,-9,-3,-2,-11,-5,-9,-2,-2,-6,-5,-3
83,-2,-10,-9,-10,-3,-3,-9,-10,-6,-9,-8,-4,-3,-11,-9,-12,0,-5,-10,-5,-1
84,-2,-12,-10,-11,-4,0,-11,-10,-12,-10,-11,-5,-3,-12,-12,-13,-1,-4,-11,-4,0
85,-3,-8,-11,-12,-2,-3,-10,-10,-12,-13,-11,-6,-3,-12,-9,-14,0,-5,-12,-2,0
86,-4,-9,-11,-13,-1,-5,-12,-10,-12,-14,-9,-10,3,-12,-11,-14,1,-2,-13,-1,-3
87,-2,-10,-11,-14,-2,-5,-10,-11,-12,-12,-9,-9,0,-10,-12,-13,-1,-1,-13,1,-5
88,-2,-9,-11,-13,0,-7,-6,-9,-13,-14,-9,-11,1,-8,-10,-13,-2,-5,-12,0,-3
89,-2,-10,-8,-14,0,-6,-8,-9,-12,-14,-8,-11,3,-7,-9,-11,0,-5,-11,2,-6
90,-1,-7,-5,-12,1,-6,-6,-6,-8,-12,-5,-9,5,-4,-8,-7,1,-3,-11,2,-3
91,-1,-3,-4,-8,2,-8,-2,-1,-9,-9,-5,-8,5,-3,-5,-5,2,-1,-8,3,-4
92,-2,-1,1,-5,5,-3,-1,0,-6,-6,-1,-5,6,0,-3,-3,1,0,-4,3,-5
93,-3,1,3,-4,0,-4,2,4,-2,-4,2,-3,7,2,-2,1,1,3,1,4,-5
94,-4,3,6,1,3,-5,4,6,0,1,3,2,8,6,0,5,3,4,4,4,-4
95,-4,9,8,6,5,-1,5,10,2,3,7,3,6,6,4,6,0,7,5,4,-2
