,100,120,140
0,35,35,37
1,38,41,40
2,41,45,39
3,41,50,37
4,37,50,31
5,30,47,23
6,24,44,14
7,13,38,4
8,2,27,-6
9,-9,9,-15
10,-18,-3,-24
11,-30,-19,-26
12,-36,-34,-31
13,-42,-45,-32
14,-44,-54,-32
15,-45,-58,-27
16,-43,-60,-23
17,-39,-57,-19
18,-32,-48,-13
19,-18,-36,-8
20,-10,-22,0
21,-1,-7,5
22,11,7,9
23,23,22,13
24,32,36,17
25,33,51,20
26,34,56,18
27,36,58,22
28,39,56,23
29,32,52,21
30,22,43,14
31,16,35,10
32,10,21,8
33,-1,8,0
34,-8,-1,-6
35,-11,-9,-10
36,-12,-23,-14
37,-12,-31,-18
38,-17,-34,-18
39,-17,-33,-16
40,-15,-35,-18
41,-14,-35,-18
42,-14,-30,-15
43,-10,-24,-9
44,-4,-20,-6
45,3,-16,-6
46,10,-12,-2
47,12,-9,4
48,16,-2,5
49,22,3,6
50,23,6,7
51,17,9,7
52,15,12,7
53,12,16,6
54,8,18,8
55,4,20,8
56,2,17,9
57,-1,19,11
58,-3,21,7
59,-6,19,7
60,-5,13,6
61,-7,9,3
62,-5,8,1
63,-6,2,-1
64,-6,-7,-4
65,-7,-13,-6
66,-9,-21,-8
67,-10,-26,-10
68,-9,-27,-12
69,-11,-29,-12
70,-13,-28,-14
71,-16,-22,-13
72,-20,-18,-11
73,-21,-12,-12
74,-21,-7,-5
75,-23,1,-1
76,-24,5,3
77,-17,8,5
78,-10,9,8
79,-7,10,12
80,2,11,9
81,11,13,9
82,18,14,10
83,22,14,11
84,31,17,9
85,36,20,9
86,41,18,11
87,41,16,9
88,43,15,7
89,44,15,5
90,36,12,3
91,28,9,0
92,19,6,-4
93,8,0,-4
94,-6,-9,-6
95,-19,-14,-9
96,-32,-18,-9
97,-43,-22,-11
98,-50,-29,-14
99,-57,-34,-13
100,-63,-35,-11
101,-62,-32,-10
102,-53,-29,-8
103,-44,-22,-5
104,-37,-13,-3
105,-26,-1,4
106,-7,10,7
107,10,22,7
108,25,31,9
109,40,38,11
110,53,45,11
111,64,44,12
112,69,40,12
113,74,36,11
114,71,29,10
115,61,18,9
116,50,8,5
117,38,-2,1
118,22,-14,-4
119,5,-28,-7
120,-14,-38,-12
121,-30,-42,-16
122,-43,-43,-18
123,-54,-47,-16
124,-63,-46,-16
125,-68,-41,-13
126,-66,-34,-10
127,-62,-24,-2
128,-56,-11,4
129,-45,2,9
130,-28,14,12
131,-8,26,13
132,9,38,16
133,28,44,17
134,44,48,15
135,57,49,13
136,69,49,11
137,74,44,7
138,75,36,3
139,76,26,-3
140,67,17,-7
141,56,7,-9
142,42,-6,-11
143,29,-19,-11
144,14,-27,-12
145,-3,-36,-10
146,-19,-42,-11
147,-34,-48,-10
148,-41,-49,-9
149,-50,-49,-7
150,-58,-45,-8
151,-63,-40,-8
152,-62,-29,-4
153,-55,-19,-1
154,-51,-7,4
155,-44,6,6
156,-30,13,4
157,-18,23,4
158,-9,32,4
159,1,37,4
160,15,42,3
161,26,45,2
162,33,41,1
163,41,38,1
164,43,33,-1
165,45,24,1
166,45,14,1
167,43,2,-2
168,40,-9,0
169,33,-17,-1
170,25,-27,-2
171,13,-33,-2
172,5,-36,-2
173,-3,-36,-2
174,-14,-34,-1
175,-21,-27,2
176,-26,-16,2
177,-30,-6,0
178,-35,-1,-3
179,-36,7,2
180,-35,18,0
181,-34,19,2
182,-30,21,4
183,-27,23,4
184,-24,23,5
185,-16,20,3
186,-7,18,3
187,-3,16,-1
188,4,11,-6
189,11,3,-11
190,19,-3,-14
191,27,-8,-15
192,31,-8,-17
193,31,-12,-16
194,31,-11,-14
195,29,-10,-7
196,28,-6,-1
197,23,-4,4
198,17,-1,10
199,10,1,15
200,5,2,22
201,-4,3,27
202,-11,6,27
203,-18,6,26
204,-24,6,26
205,-28,3,20
206,-33,2,11
207,-36,3,1
208,-39,-2,-7
209,-37,-2,-15
210,-30,-3,-20
211,-22,-4,-24
212,-14,-7,-24
213,-3,-13,-21
214,10,-16,-18
215,24,-15,-12
216,35,-18,-7
217,45,-19,1
218,52,-14,6
219,57,-12,7
220,58,-8,11
221,59,-1,11
222,54,4,12
223,45,7,10
224,32,11,9
225,14,17,11
226,-2,21,8
227,-19,19,7
228,-35,19,4
229,-51,21,4
230,-62,19,0
231,-68,16,-1
232,-73,11,-4
233,-74,5,-9
234,-69,-1,-11
235,-56,-9,-13
236,-45,-13,-14
237,-32,-18,-17
238,-14,-21,-16
239,6,-21,-16
240,22,-20,-14
241,41,-18,-16
242,55,-16,-12
243,65,-11,-8
244,74,-5,-6
245,77,-2,-1
246,77,1,5
247,72,2,9
248,61,7,14
249,49,6,16
250,34,6,15
251,15,7,17
252,-4,9,18
253,-21,15,15
254,-37,17,18
255,-51,18,13
256,-60,14,10
257,-69,15,5
258,-71,15,1
259,-69,14,-6
260,-66,6,-11
261,-57,5,-14
262,-46,2,-17
263,-31,-2,-19
264,-14,-6,-20
265,3,-12,-20
266,17,-16,-15
267,33,-19,-11
268,43,-21,-5
269,51,-24,0
270,55,-25,5
271,56,-21,13
272,56,-14,18
273,51,-9,20
274,42,-9,20
275,32,-6,21
276,22,2,21
277,9,7,17
278,-7,5,14
279,-16,6,12
280,-29,12,5
281,-37,17,2
282,-39,17,1
283,-42,14,0
284,-41,12,-3
285,-38,13,-7
286,-31,15,-3
287,-24,13,-4
288,-15,11,-6
289,-6,11,-5
290,5,11,-4
291,14,7,-6
292,22,5,-10
293,28,-1,-10
294,31,-7,-11
295,29,-9,-10
