,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,22,19,19,17,16,20,20,22,17,19,18,21,15,18,18,24,18,19,17,16,20,23,21,17,20,16,21,19,22,16,19,14
1,24,21,20,21,21,21,23,22,20,22,21,24,20,20,20,23,20,20,20,20,22,25,23,20,20,21,23,21,23,20,22,21
2,24,18,15,19,22,26,25,20,16,19,19,25,21,19,21,23,20,22,20,19,22,24,24,22,20,22,20,19,23,21,22,20
3,24,19,12,21,24,28,22,18,14,19,16,27,21,18,21,26,20,25,20,18,25,23,21,23,18,24,20,19,23,21,23,19
4,22,20,12,16,24,26,24,19,13,17,15,24,18,15,21,24,20,24,18,18,27,22,20,24,15,26,17,17,22,20,25,19
5,20,18,10,16,24,24,20,15,13,16,13,23,18,14,19,21,17,23,17,17,24,18,15,25,14,24,11,17,23,17,22,18
6,18,15,6,15,23,24,20,12,10,14,10,21,17,13,11,17,15,20,16,13,23,16,12,24,12,23,9,12,18,17,21,16
7,19,11,2,11,21,21,16,10,10,10,4,17,15,12,9,12,10,18,13,11,22,11,9,21,9,20,6,9,16,13,16,12
8,16,10,-1,8,18,17,14,6,9,8,2,11,10,11,6,8,6,12,9,6,17,4,8,21,5,17,6,7,11,11,10,7
9,9,10,-1,5,14,12,9,2,4,5,0,7,7,8,3,2,4,10,6,6,13,-1,6,18,4,9,1,3,7,6,6,7
10,1,8,-5,4,8,4,2,0,3,0,-1,-2,3,5,0,-4,2,5,3,3,7,-7,3,12,0,5,1,1,0,5,0,6
11,-4,6,-9,1,1,-3,-5,0,1,1,-3,-9,4,5,-3,-8,1,-2,3,0,3,-13,-1,5,-2,-1,-3,-3,-5,-3,-5,0
12,-8,6,-6,-3,-4,-8,-11,-3,-5,-6,-4,-13,-1,4,-2,-13,-1,-7,-1,-3,-1,-17,-4,2,-2,-7,-2,-4,-12,-4,-10,-3
13,-12,5,-7,-5,-11,-11,-17,-7,-6,-6,-7,-17,-4,4,-5,-19,-6,-12,-6,-4,-9,-21,-4,-4,-5,-14,-5,-7,-18,-4,-17,-2
14,-17,8,-7,-8,-17,-19,-21,-9,-4,-6,-7,-22,-7,4,-7,-22,-8,-17,-6,-5,-13,-24,-6,-10,-6,-17,-7,-7,-20,-5,-19,-4
15,-22,8,-9,-8,-23,-23,-24,-10,-9,-9,-4,-24,-6,5,-8,-25,-9,-21,-11,-7,-19,-25,-7,-19,-9,-22,-6,-7,-24,-9,-25,-6
16,-23,7,-8,-10,-26,-25,-24,-9,-9,-8,-6,-25,-7,4,-8,-25,-7,-25,-11,-10,-24,-26,-12,-22,-8,-27,-7,-10,-26,-9,-26,-8
17,-26,7,-4,-9,-26,-24,-27,-13,-14,-8,-8,-27,-7,5,-8,-26,-9,-27,-9,-8,-25,-23,-11,-24,-10,-26,-9,-6,-25,-7,-27,-9
18,-27,4,-2,-8,-25,-26,-27,-10,-15,-9,-9,-25,-7,6,-8,-27,-9,-25,-11,-6,-25,-23,-12,-25,-12,-30,-8,-7,-26,-7,-24,-9
19,-24,4,-1,-8,-28,-25,-25,-10,-16,-8,-6,-22,-8,8,-7,-24,-6,-25,-10,-6,-26,-19,-11,-27,-9,-28,-7,-6,-25,-8,-23,-9
20,-23,4,0,-11,-28,-22,-21,-8,-18,-7,-4,-19,-10,5,-6,-20,-7,-24,-9,-8,-26,-15,-10,-26,-8,-24,-9,-5,-22,-7,-19,-9
21,-17,3,2,-11,-23,-17,-19,-7,-19,-7,-4,-14,-9,4,-8,-15,-8,-19,-10,-8,-24,-10,-9,-23,-7,-22,-7,-3,-16,-7,-17,-11
22,-12,2,3,-10,-20,-15,-12,-6,-20,-6,-3,-9,-7,2,-8,-9,-7,-14,-5,-7,-22,-4,-6,-20,-5,-17,-7,-3,-14,-6,-13,-8
23,-8,-1,4,-8,-13,-11,-5,-4,-20,-4,-3,-4,-8,2,-7,-3,-6,-10,-6,-4,-18,-1,-6,-16,-3,-11,-7,-2,-9,-5,-5,-7
24,-4,-3,5,-8,-11,-6,-3,-4,-20,-5,-3,0,-7,0,-4,4,-6,-6,-5,-3,-11,3,-4,-11,-4,-6,-4,-3,-4,-2,0,-7
25,1,-4,2,-8,-6,-2,3,-3,-19,-2,-3,4,-6,-3,-6,7,-6,-1,-6,-1,-6,9,-4,-5,-3,-2,-7,-5,4,-3,4,-5
26,5,-8,1,-8,1,1,6,-1,-16,0,-1,7,-3,-2,-4,9,-3,6,-4,-3,-1,9,-2,0,-1,5,-5,-3,8,1,9,-3
27,10,-8,4,-3,6,7,10,-2,-15,-2,-3,10,-2,-6,-3,15,-2,7,-3,-2,2,11,0,4,-1,8,-6,-1,9,2,13,-3
28,12,-11,3,-2,10,9,12,0,-11,-3,-2,10,-2,-10,-1,13,-1,10,-3,-3,6,13,-2,8,-2,13,-6,-3,11,1,13,-1
29,13,-11,3,-5,13,10,14,-2,-11,-1,-4,8,-1,-12,-4,14,-4,14,-2,-4,10,12,-3,11,-1,18,-7,-3,9,-2,12,-3
30,12,-14,-1,-1,16,11,16,-3,-9,-2,-4,11,-1,-16,-2,14,-1,14,-1,-5,11,9,-3,11,-3,16,-7,-2,10,-3,13,-4
31,12,-15,-2,-2,15,11,12,-2,-7,-3,-4,10,-2,-15,-2,9,-3,13,-2,-5,9,9,-2,16,-3,13,-5,-4,8,-4,10,-5
32,11,-17,-3,-3,11,8,10,-4,-2,0,-6,5,-3,-17,-3,5,-2,11,-1,-6,8,5,-4,14,-5,13,-7,-3,6,-5,6,-2
33,8,-13,-4,-3,8,4,6,-4,0,-1,-7,0,-4,-17,-4,1,-6,7,-3,-6,10,-3,-4,10,-5,10,-5,-4,0,-6,0,-2
34,2,-15,-6,-1,5,1,2,-3,2,-3,-6,-3,-3,-18,-4,-4,-5,3,-4,-7,6,-7,-7,6,-7,3,-4,-5,-4,-6,-5,-5
