,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,22,19,21,21,19,18,18,21,18,23,15,23,18,23,18,18
1,24,22,21,23,25,20,21,24,21,26,22,28,20,25,20,22
2,26,25,20,24,29,20,24,28,18,26,24,29,17,26,18,27
3,29,30,16,22,29,21,27,25,18,26,22,28,17,28,18,29
4,29,29,17,21,33,17,28,26,18,25,23,29,14,27,14,29
5,27,25,15,19,32,13,28,23,16,23,25,26,13,27,9,28
6,22,22,12,17,32,13,24,22,15,19,24,23,10,26,8,27
7,19,23,9,10,27,9,22,19,7,16,21,20,8,24,5,25
8,15,19,6,7,22,6,21,14,5,11,17,16,6,21,2,23
9,13,13,3,2,17,2,18,10,3,7,11,11,2,17,-3,18
10,8,9,1,0,12,0,10,5,-2,1,8,7,0,10,-3,13
11,1,5,-3,-4,7,-5,8,2,-2,-2,4,5,-2,4,-6,6
12,0,0,-4,-5,4,-5,3,-2,-5,-3,-1,2,-6,-1,-7,4
13,0,-1,-1,-4,0,-8,-3,-4,-6,-6,-3,-1,-7,-3,-8,2
14,-3,-2,-4,-8,-4,-8,-6,-4,-7,-8,-2,-2,-6,-7,-5,-4
15,-6,-4,-3,-7,-6,-7,-8,-7,-5,-8,-5,-7,-7,-7,-5,-6
16,-7,-6,-2,-5,-7,-4,-6,-6,-4,-8,-6,-7,-6,-11,-2,-7
17,-7,-5,-2,-6,-8,-3,-8,-6,-4,-6,-6,-7,-3,-12,2,-7
18,-6,-6,1,-5,-10,-2,-9,-6,0,-8,-4,-5,-2,-11,4,-7
19,-5,-7,4,-3,-9,0,-5,-3,2,-4,-5,-6,1,-7,8,-7
20,-4,-2,6,-1,-7,2,-4,-3,5,0,-2,-3,3,-4,11,-8
21,1,2,8,3,-8,7,-3,1,7,1,-1,-3,7,0,11,-7
22,0,0,12,5,-6,12,0,3,10,3,1,2,10,1,16,-2
23,1,1,12,3,-1,13,1,4,13,4,3,4,14,3,15,3
24,4,3,11,7,1,16,2,6,15,4,2,3,13,3,15,4
25,7,5,15,11,2,14,3,6,15,5,4,3,13,5,10,6
26,7,4,11,10,4,13,6,7,15,5,6,3,12,8,8,8
27,5,6,9,6,5,10,4,8,14,5,6,4,10,9,2,6
28,7,3,8,4,4,6,3,6,10,7,9,3,6,7,-3,6
29,5,4,1,2,4,-1,1,5,6,3,4,7,3,3,-9,4
30,2,1,-3,-2,5,-7,1,3,0,2,5,2,-1,2,-13,2
31,2,-1,-11,-7,2,-9,0,0,-5,-1,1,-4,-7,-1,-18,2
32,0,-2,-14,-8,-1,-14,-2,-2,-10,-3,-2,-5,-12,-2,-23,-1
33,-1,-2,-20,-11,0,-19,-5,-6,-15,-5,-5,-5,-14,-4,-27,-5
34,-5,-5,-24,-14,0,-25,-7,-7,-19,-7,-6,-8,-22,-9,-29,-6
35,-5,-8,-28,-17,-4,-26,-9,-9,-23,-13,-10,-10,-24,-10,-29,-9
36,-7,-8,-29,-16,-6,-27,-11,-14,-26,-14,-12,-12,-27,-13,-27,-10
37,-9,-10,-30,-16,-8,-30,-14,-13,-29,-14,-16,-11,-27,-14,-30,-13
38,-11,-12,-32,-15,-11,-27,-14,-14,-31,-14,-17,-10,-29,-14,-28,-14
39,-12,-14,-27,-13,-11,-26,-14,-12,-29,-12,-16,-12,-27,-13,-23,-13
40,-14,-14,-24,-12,-11,-24,-13,-13,-27,-10,-16,-10,-24,-11,-15,-11
41,-14,-10,-22,-10,-10,-17,-11,-10,-24,-5,-15,-9,-22,-8,-10,-9
42,-12,-9,-17,-4,-7,-12,-10,-9,-20,-5,-12,-8,-18,-6,-6,-9
43,-11,-10,-9,0,-5,-7,-6,-4,-14,-4,-9,-7,-11,-4,0,-6
44,-9,-7,-1,3,-5,-2,-3,-2,-6,2,-4,-4,-4,-3,5,-6
45,-7,-4,5,4,-4,4,-1,-1,0,2,0,0,1,-2,13,-4
46,-6,-3,10,6,-1,10,2,3,4,1,1,0,5,0,16,0
47,-3,-1,17,4,1,15,4,5,10,3,4,4,12,5,20,2
48,-3,0,21,5,4,21,6,6,16,7,7,3,18,4,22,4
49,-1,3,23,8,4,22,6,8,21,8,8,4,20,5,23,5
50,2,6,26,7,3,24,6,4,25,8,9,1,23,2,23,5
51,0,5,29,5,2,24,5,4,26,8,7,2,25,4,23,5
52,1,4,29,3,3,25,7,4,26,5,6,2,28,1,23,3
53,2,3,24,5,1,24,5,4,24,1,4,-1,25,0,20,2
54,1,3,20,4,0,22,0,3,24,0,3,-1,25,-2,15,1
55,-1,-1,20,0,-2,19,-1,-1,24,-4,1,-1,22,-4,12,1
56,-1,0,17,-1,-4,17,-2,-3,19,-4,-1,-2,18,-3,6,-4
57,-2,-1,12,-2,-4,15,-3,-4,13,-6,-3,-3,11,-6,3,-3
58,-2,-2,4,-3,-6,7,-6,-5,10,-5,-4,-4,9,-5,-1,-6
59,-3,-4,1,-3,-6,5,-7,-5,6,-4,-5,-4,5,-4,-4,-9
60,0,-2,0,-4,-5,0,-6,-6,3,-2,-6,-3,0,-4,-5,-8
61,1,-4,-3,-4,-4,-3,-5,-3,-1,0,-4,-3,-2,-2,-4,-5
62,2,-2,-7,-4,-4,-4,-5,-2,-3,2,-4,-1,-7,-1,-7,-6
63,4,-2,-7,0,-2,-6,-4,-2,-7,2,-2,1,-7,-2,-5,-3
64,7,2,-8,-2,1,-7,-1,1,-8,4,-2,2,-6,3,-7,-3
65,7,6,-6,1,4,-6,1,5,-6,7,0,4,-5,6,-6,2
66,9,7,-5,3,8,-5,4,7,-5,7,4,7,-2,8,-5,4
67,12,7,-2,4,11,-3,8,10,-6,11,6,10,-2,10,-1,5
68,14,11,1,7,14,-1,10,9,-4,12,8,12,-1,12,1,9
69,15,11,3,8,18,-1,12,11,-4,14,11,13,3,13,1,12
70,15,12,4,11,19,0,14,12,0,12,14,11,5,12,8,13
71,14,14,6,10,18,3,15,12,3,11,15,14,7,13,5,14
72,13,14,4,7,16,7,15,12,4,13,13,13,8,14,6,14
73,13,13,5,9,15,8,14,9,5,11,12,12,12,12,6,12
74,11,11,4,9,13,9,10,7,5,9,10,11,9,10,5,12
75,8,10,5,4,9,8,7,5,6,5,8,7,8,6,5,12
76,5,8,1,3,6,6,7,3,7,1,5,3,5,4,4,9
77,1,5,-1,1,2,5,4,1,4,-3,4,0,3,1,3,5
78,-1,3,-4,0,0,2,3,-3,3,-4,2,-3,2,-2,-2,2
79,-5,-2,-6,-1,-3,1,0,-6,2,-5,1,-5,-3,-3,-5,2
80,-9,-5,-8,-8,-6,0,-1,-6,-1,-9,-2,-5,-8,-6,-9,0
81,-10,-8,-9,-3,-12,-5,-7,-8,-6,-11,-5,-11,-11,-8,-10,-5
82,-10,-8,-14,-2,-10,-7,-6,-10,-8,-10,-8,-13,-12,-12,-14,-6
83,-14,-11,-15,-6,-13,-12,-6,-11,-7,-10,-10,-10,-15,-14,-14,-6
84,-12,-11,-15,-7,-12,-14,-8,-10,-11,-10,-9,-12,-17,-12,-14,-8
85,-9,-9,-14,-4,-14,-15,-9,-8,-11,-9,-8,-11,-15,-11,-13,-10
86,-8,-8,-11,-4,-13,-15,-8,-7,-11,-8,-6,-10,-15,-9,-13,-11
87,-7,-11,-12,-1,-10,-14,-7,-4,-11,-5,-6,-9,-13,-8,-11,-8
88,-4,-9,-8,-1,-7,-12,-5,-3,-11,-3,-5,-4,-12,-5,-10,-8
89,-3,-7,-5,1,-6,-13,-5,-2,-9,-1,-4,-4,-11,-7,-10,-6
90,-2,-5,-2,1,-2,-9,-4,0,-7,0,0,-6,-7,-3,-6,-4
91,0,-1,0,1,1,-8,-2,4,-3,1,2,-2,-7,0,0,-2
92,4,1,1,4,3,-2,2,2,-3,2,3,2,-2,3,3,2
93,6,3,7,5,4,-2,4,2,-1,5,4,4,3,5,3,1
94,9,6,5,2,6,2,2,7,2,4,5,5,0,9,4,5
95,9,8,7,2,5,5,4,6,5,5,3,7,5,10,5,4
96,10,8,7,3,9,4,5,8,6,7,6,9,4,12,9,6
97,9,9,8,1,9,7,6,7,7,7,4,8,6,9,8,7
98,7,6,9,0,11,6,5,9,7,4,3,4,5,10,7,6
99,7,8,5,0,13,10,5,7,6,2,5,4,3,7,5,6
100,5,5,5,-2,7,5,4,5,5,2,3,4,4,4,1,5
101,4,4,1,-2,5,4,5,2,7,-2,-1,3,3,0,1,7
102,0,3,1,-4,6,4,2,3,3,-2,-3,0,0,-2,-1,4
103,0,-2,0,-6,1,1,0,1,0,-4,-4,0,0,-6,-2,1
