,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,18,18,16,18,18,19,16,20,20,18,14,21,20,16,19,20,19,21,20,17,20,20,18,16,17,23,19,19,20,19,16,18,19,16,17,20,18
1,20,21,20,22,20,20,21,20,20,23,20,21,20,20,21,20,20,21,22,20,23,21,20,20,21,21,21,20,22,20,22,20,22,20,20,20,20
2,20,22,21,19,18,20,24,19,17,25,22,20,17,21,19,18,19,19,22,18,21,19,19,22,18,22,21,17,24,20,20,19,22,21,20,17,21
3,20,21,21,16,19,20,22,16,16,19,24,17,11,19,21,18,15,16,20,17,21,21,18,23,17,21,21,14,22,20,18,17,20,20,20,17,17
4,19,19,20,12,17,18,21,15,14,16,24,12,7,20,18,15,13,16,15,15,21,21,16,22,16,18,20,12,18,21,15,16,19,18,20,19,14
5,17,20,19,12,12,15,20,14,10,16,23,10,3,17,14,13,9,13,12,15,17,16,13,22,15,17,18,9,18,19,14,9,16,17,19,16,13
6,15,16,15,9,8,9,20,10,8,14,22,6,1,15,8,10,3,7,10,12,12,10,8,18,12,15,14,7,13,17,11,5,10,15,17,13,9
7,12,11,12,9,3,4,14,6,3,6,19,0,-8,12,2,6,0,4,7,7,9,8,5,17,5,8,13,4,6,16,7,0,7,10,14,11,5
8,8,7,11,6,1,0,10,4,-1,2,17,-4,-13,8,-1,2,-5,0,2,8,6,6,1,11,-2,5,10,0,3,12,2,-5,2,7,14,7,3
9,3,4,8,3,-3,-6,5,-1,-7,-2,12,-8,-14,5,-7,-1,-9,-3,-2,7,1,2,0,4,-7,-1,5,-3,-1,9,0,-9,-3,3,5,1,1
10,-1,-2,5,1,-6,-9,0,-8,-13,-7,9,-8,-19,1,-11,-4,-13,-6,-4,5,-4,-5,-2,2,-11,-5,-1,-3,-6,4,-3,-16,-7,-1,-1,-2,-4
11,-3,-7,-2,-2,-8,-12,-3,-10,-15,-12,4,-11,-23,-4,-12,-6,-15,-4,-5,2,-9,-9,-5,-6,-14,-7,-2,-4,-9,1,-5,-20,-10,-4,-2,-6,-8
12,-5,-12,-3,-1,-11,-17,-7,-16,-20,-16,0,-13,-23,-5,-15,-9,-21,-7,-10,2,-13,-14,-7,-10,-19,-11,-5,-5,-13,1,-7,-24,-15,-9,-6,-5,-9
13,-9,-15,-5,-2,-12,-20,-13,-18,-20,-17,-8,-11,-25,-9,-19,-10,-20,-8,-8,2,-17,-17,-7,-12,-24,-16,-7,-5,-19,-1,-10,-28,-17,-11,-12,-10,-9
14,-9,-17,-9,0,-12,-21,-15,-20,-23,-20,-11,-8,-27,-8,-20,-7,-21,-8,-9,1,-20,-19,-10,-15,-27,-17,-9,-6,-21,-5,-10,-30,-18,-10,-12,-8,-8
15,-11,-20,-10,-1,-10,-22,-19,-23,-23,-21,-14,-4,-23,-11,-19,-6,-24,-7,-8,2,-22,-23,-10,-18,-30,-18,-10,-3,-24,-4,-9,-28,-21,-12,-11,-7,-7
16,-9,-23,-10,0,-7,-24,-21,-19,-22,-24,-17,-1,-22,-12,-19,-6,-22,-3,-4,2,-21,-23,-6,-22,-28,-19,-9,-6,-24,-6,-7,-32,-22,-11,-9,-5,-6
17,-6,-24,-9,2,-4,-20,-23,-22,-21,-24,-21,1,-17,-9,-16,-4,-20,-2,-2,1,-21,-23,-2,-22,-28,-20,-6,-6,-23,-5,-3,-29,-23,-7,-8,-7,-3
18,-3,-22,-9,2,-2,-19,-24,-20,-19,-22,-22,4,-13,-5,-14,-1,-19,2,0,5,-23,-22,1,-24,-26,-20,-5,-4,-24,-7,0,-25,-20,-6,-5,-2,-4
19,0,-22,-5,3,1,-14,-23,-18,-16,-24,-23,8,-9,-4,-12,5,-16,5,5,5,-20,-23,5,-21,-25,-19,-1,-1,-23,-5,3,-20,-19,-4,-3,3,2
20,2,-22,0,5,6,-12,-22,-18,-15,-20,-23,10,-6,0,-9,9,-13,10,10,4,-17,-20,6,-22,-20,-15,0,-5,-19,-5,7,-18,-16,1,1,4,7
21,7,-19,3,8,8,-10,-18,-15,-14,-16,-21,13,-2,2,-6,11,-11,10,10,2,-16,-18,11,-20,-16,-14,7,-3,-15,-6,10,-13,-15,5,8,7,12
22,8,-16,5,9,12,-9,-16,-12,-11,-12,-19,18,-1,5,-3,14,-6,14,12,4,-13,-15,17,-17,-9,-12,10,-2,-14,-4,13,-6,-11,11,11,12,14
23,13,-11,11,11,17,-6,-12,-6,-7,-9,-15,19,3,10,1,17,-3,16,15,7,-9,-11,16,-12,-6,-10,13,-3,-9,-3,13,1,-10,13,13,13,15
24,15,-8,14,12,16,-1,-10,-5,-3,-5,-15,20,4,14,3,17,0,15,17,3,-6,-8,17,-12,1,-5,15,-4,-7,-3,18,4,-4,16,12,16,17
25,15,-5,13,11,16,0,-8,-1,-1,-2,-13,19,4,16,6,18,1,15,17,3,0,-4,21,-7,4,-3,17,-7,-3,-6,17,8,-3,16,14,16,16
