,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,20,19,20,20,19,21,20,22,20,20,20,18,20,20,20,19,18,19,20,19,21,19,17,21,17,18,19,17,23,18,21,19,20,21,20,20,20,20,18,20,19,18,21,17,19,19,20,21,17,19,18,20,20,18,20,22,16,19,19,21,21,21,19,19,19,19,17,16,19,21,20,17,20,15,18,20,18,20,20,21,19,21,21,16,21,18,20,17,19,18
1,20,21,20,21,20,22,22,21,20,20,20,20,21,20,20,22,23,22,20,23,20,21,21,20,20,21,21,20,24,20,22,21,20,21,20,21,20,20,20,21,22,20,23,20,20,20,20,21,21,22,21,20,20,20,20,22,20,21,20,22,20,23,21,20,21,20,20,20,20,21,21,20,20,20,21,20,22,20,20,23,21,20,23,21,20,20,20,21,22,20
2,18,23,22,19,16,23,23,22,20,19,19,20,22,19,20,24,23,18,23,23,18,21,20,18,18,20,20,20,23,21,22,22,21,20,19,20,22,18,21,20,23,19,24,20,19,19,21,22,20,20,21,21,17,21,20,20,21,19,18,22,21,22,22,19,24,21,22,21,22,25,22,21,18,21,21,19,23,21,20,23,22,19,25,21,20,21,21,19,25,20
3,19,25,23,20,15,22,23,25,21,18,18,20,22,21,21,26,22,19,24,24,16,20,23,19,17,21,18,20,25,21,20,21,20,22,21,18,20,20,21,18,22,18,24,19,21,19,20,21,19,20,20,21,19,20,22,21,23,17,19,20,19,23,20,16,22,21,21,22,20,25,20,19,19,20,19,18,22,21,22,23,23,20,25,19,18,21,21,22,24,20
4,19,26,22,21,13,22,24,23,19,17,19,19,21,19,23,26,23,17,22,24,19,18,23,20,18,19,20,21,27,22,20,21,18,22,22,19,21,21,18,17,21,20,25,19,18,16,21,19,20,21,22,21,17,20,22,24,24,21,16,22,18,22,19,16,24,20,22,21,22,24,21,19,19,21,18,19,21,21,21,23,26,20,25,21,19,22,20,21,25,18
5,18,25,24,19,13,20,24,24,18,18,19,21,19,18,24,27,22,15,23,25,18,17,22,18,20,19,19,22,27,22,17,21,19,21,23,18,21,20,19,18,23,20,24,18,19,13,23,18,18,21,20,19,12,19,19,23,27,20,18,23,19,20,19,12,19,21,24,24,20,23,20,18,18,22,19,19,21,19,20,22,24,21,26,20,20,22,18,23,27,18
6,17,25,24,20,9,21,24,23,18,19,18,20,18,19,23,24,18,17,20,23,16,20,25,17,19,20,19,22,23,20,18,20,19,19,24,19,21,20,19,13,22,18,23,16,19,13,20,19,18,19,20,22,12,20,19,21,27,21,18,21,16,18,21,11,18,20,20,21,22,22,19,22,14,21,18,18,20,18,16,20,24,19,23,19,17,21,15,20,27,20
7,15,23,24,19,7,18,22,19,16,15,16,18,20,17,21,21,19,15,18,22,14,16,26,15,16,20,18,20,21,19,17,17,18,18,20,16,21,18,17,13,22,17,22,17,21,11,15,18,19,17,21,20,11,17,20,23,24,19,18,23,16,17,19,10,16,17,20,22,20,21,21,20,11,21,18,15,18,16,16,19,25,18,21,17,16,20,15,21,26,17
8,15,23,23,18,3,15,19,16,15,16,16,18,18,17,18,22,18,15,17,20,11,16,25,11,16,18,16,20,19,16,16,16,17,17,21,17,19,18,15,12,20,16,20,17,20,8,17,17,18,15,19,17,6,17,19,20,24,16,17,20,14,17,16,6,18,13,20,18,19,19,19,17,8,19,19,16,16,11,18,16,24,17,22,17,16,20,16,20,22,17
9,13,20,22,16,-2,13,18,15,11,15,14,16,17,16,14,21,17,14,12,17,7,11,22,8,16,16,15,21,17,16,15,15,17,16,23,15,17,16,14,8,18,15,18,16,18,5,16,15,15,18,19,15,5,17,14,18,26,13,15,17,13,14,17,5,17,13,18,18,19,19,18,17,5,21,15,11,17,10,17,17,21,15,18,16,15,18,15,20,21,14
10,11,18,21,14,-5,11,14,15,8,10,15,15,18,13,15,15,15,8,9,16,4,13,19,5,13,16,14,19,14,13,15,14,12,13,23,13,16,13,10,7,18,13,16,16,16,0,12,13,15,17,18,14,3,15,16,18,25,15,14,17,10,12,13,2,14,10,15,15,16,14,14,17,4,18,16,7,14,10,16,15,21,12,17,14,12,16,12,20,18,13
11,8,16,18,13,-7,9,13,14,3,8,14,14,13,11,14,13,13,9,9,13,2,7,17,4,12,13,13,18,12,12,13,10,12,12,20,9,14,12,10,8,16,12,15,14,16,-5,9,11,12,15,15,14,-1,10,14,17,21,14,12,14,8,10,13,-5,11,9,15,12,13,11,14,15,3,18,13,7,10,8,12,14,16,10,14,14,10,12,8,15,17,9
12,7,12,14,9,-10,8,12,11,0,7,8,14,13,7,13,11,14,6,9,13,-3,7,14,0,9,12,11,18,10,10,11,6,9,7,17,9,13,12,7,2,13,9,14,13,15,-9,7,9,12,12,13,9,-4,6,12,13,18,13,9,8,6,7,10,-6,10,7,14,13,13,10,13,13,-4,16,11,6,8,5,13,12,15,6,11,10,7,11,6,16,14,7
13,2,11,12,6,-13,5,9,11,-5,2,8,11,12,4,8,8,13,1,6,10,-7,5,9,-4,8,11,10,17,7,9,9,3,11,6,15,7,10,10,1,-2,11,10,11,10,11,-12,5,6,9,7,9,4,-9,5,8,13,16,8,7,6,3,5,8,-8,7,6,15,9,12,10,8,11,-9,15,10,0,2,0,10,10,16,2,9,9,4,9,2,17,12,4
14,-2,11,10,3,-16,6,8,6,-8,0,4,11,10,2,7,6,6,1,1,7,-11,2,9,-5,2,4,9,12,5,7,5,2,7,3,9,5,6,5,-1,-5,9,8,10,8,9,-12,1,2,8,5,8,1,-11,-1,4,9,14,7,2,5,0,2,7,-12,4,6,11,8,8,7,4,9,-10,13,7,-2,1,-3,6,5,11,-1,5,7,0,8,0,13,10,0
