,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,15,20,19,21,21,21,19,16,15,18,19,21,16,21,18,18,19,20
1,20,21,20,22,20,21,20,20,20,20,20,22,20,20,22,20,21,21
2,20,18,17,18,15,21,20,18,17,21,20,20,18,19,23,15,21,22
3,18,16,17,17,13,20,18,19,16,17,19,20,18,16,21,15,23,18
4,15,14,14,14,12,17,15,18,15,17,19,14,16,15,19,13,22,19
5,13,10,11,9,9,15,15,17,12,14,18,11,16,13,17,9,20,18
6,11,7,10,8,6,14,10,15,10,11,14,6,12,10,13,4,16,13
7,7,3,7,5,2,8,5,11,5,8,10,0,12,7,12,2,14,9
8,2,0,3,0,0,7,0,8,2,5,7,-2,7,4,6,0,11,6
9,-1,-4,0,-4,-5,3,-4,3,-2,1,5,-5,5,2,3,-1,8,0
10,-5,-7,-4,-8,-8,-1,-6,-3,-7,-3,0,-10,1,-6,0,-9,5,-4
11,-7,-11,-4,-10,-10,-6,-9,-8,-8,-7,-4,-13,-2,-10,-3,-8,0,-6
12,-10,-15,-8,-11,-14,-9,-14,-12,-11,-11,-5,-17,-8,-12,-5,-12,-4,-11
13,-12,-18,-11,-16,-15,-11,-17,-15,-11,-14,-10,-17,-10,-16,-11,-14,-8,-12
14,-16,-16,-13,-17,-17,-15,-15,-17,-11,-14,-14,-18,-14,-16,-12,-15,-11,-13
15,-15,-16,-14,-14,-16,-16,-16,-19,-12,-13,-12,-18,-15,-16,-12,-16,-12,-15
16,-15,-16,-14,-15,-15,-15,-19,-22,-12,-15,-12,-17,-17,-17,-14,-16,-14,-15
17,-13,-16,-10,-16,-14,-18,-16,-22,-14,-15,-14,-13,-18,-16,-15,-15,-17,-14
18,-14,-13,-8,-13,-13,-17,-13,-20,-12,-15,-13,-12,-15,-14,-15,-12,-15,-14
19,-12,-13,-8,-11,-11,-15,-10,-17,-11,-11,-14,-8,-13,-14,-16,-9,-13,-12
20,-9,-10,-8,-10,-9,-13,-8,-16,-9,-12,-15,-5,-13,-12,-12,-6,-15,-12
21,-6,-5,-4,-5,-6,-11,-5,-14,-5,-11,-13,-3,-10,-11,-12,-3,-16,-7
22,-2,-3,-3,-3,-1,-11,-3,-9,-4,-6,-10,1,-8,-6,-10,-2,-11,-6
23,0,2,0,2,2,-4,1,-4,1,-3,-10,5,-5,-3,-10,1,-10,-3
24,2,5,0,4,4,-2,4,0,3,-1,-5,4,-1,1,-8,5,-8,-3
25,3,9,5,6,8,2,8,3,1,0,1,7,2,4,-4,6,-4,-2
26,8,8,6,10,8,6,7,8,3,5,5,10,4,9,-2,7,0,5
27,6,9,7,13,9,7,9,9,3,7,7,9,5,10,1,9,4,3
28,8,12,7,12,10,9,11,14,6,10,9,13,6,10,6,9,6,6
29,8,11,6,11,11,10,11,18,4,11,11,10,11,11,7,10,10,7
30,8,11,8,13,10,14,9,20,3,10,13,8,10,11,7,12,11,11
31,7,11,9,12,9,16,12,21,4,12,10,9,11,10,8,11,14,11
32,7,8,7,10,9,14,10,20,5,11,11,8,12,10,9,8,14,8
33,4,8,7,10,9,14,8,20,2,10,10,6,11,10,11,7,14,7
34,0,7,8,6,3,14,7,18,2,8,7,2,7,11,11,4,12,8
35,-1,4,5,5,3,12,4,15,0,8,8,2,9,7,10,3,8,2
36,0,2,4,4,1,6,3,11,-2,6,8,0,7,7,7,2,10,2
37,-3,0,3,3,-2,4,1,8,-3,5,3,-2,3,4,5,0,7,1
38,-5,-1,1,0,-2,4,0,5,-3,1,3,-5,2,2,7,-1,4,0
