,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,23,13,21,26,13,15,23,24,22,18,19,20,21,14,28
1,29,23,30,33,20,25,31,30,31,24,27,28,30,23,37
2,33,31,33,37,30,33,38,37,36,32,33,35,34,28,38
3,39,36,39,42,36,36,39,39,40,35,36,39,33,33,43
4,43,42,40,44,38,40,38,43,44,39,41,42,39,39,44
5,42,44,43,42,39,43,38,43,47,42,41,40,41,41,43
6,43,43,42,40,41,42,37,40,44,42,43,40,39,41,39
7,41,40,36,34,40,41,33,36,43,39,39,33,36,38,32
8,34,38,33,29,37,36,27,33,35,34,37,29,33,36,30
9,28,31,25,21,34,29,23,28,29,29,33,25,26,31,26
10,18,28,17,13,30,23,14,22,24,26,27,16,22,26,16
11,8,20,9,6,24,17,6,13,15,18,19,5,14,21,5
12,2,10,-1,-4,16,6,-2,6,6,9,8,-2,5,13,-2
13,-9,2,-9,-15,5,-1,-9,-6,-3,2,-3,-10,-4,4,-12
14,-17,-7,-20,-24,-3,-11,-18,-14,-14,-7,-9,-18,-14,-4,-21
15,-26,-16,-29,-29,-13,-20,-28,-21,-24,-18,-17,-26,-23,-12,-30
16,-32,-26,-32,-35,-21,-26,-31,-29,-31,-27,-25,-29,-30,-22,-37
17,-35,-30,-36,-38,-26,-31,-34,-31,-36,-30,-32,-33,-34,-27,-36
18,-35,-33,-36,-39,-34,-34,-35,-35,-38,-31,-34,-34,-37,-31,-36
19,-39,-35,-38,-38,-38,-37,-36,-37,-40,-36,-36,-37,-39,-36,-34
20,-38,-35,-36,-35,-39,-39,-32,-36,-41,-37,-38,-36,-40,-37,-28
21,-33,-34,-30,-28,-39,-36,-29,-33,-35,-34,-38,-30,-35,-40,-26
22,-27,-32,-26,-24,-35,-30,-26,-28,-29,-31,-33,-24,-31,-35,-21
23,-19,-26,-21,-20,-30,-26,-19,-20,-25,-23,-28,-20,-26,-29,-14
24,-14,-20,-14,-14,-24,-21,-11,-14,-19,-19,-20,-15,-21,-24,-8
25,-9,-14,-8,-6,-16,-15,-4,-8,-10,-13,-14,-7,-15,-16,-5
26,-3,-7,-2,1,-11,-7,3,-2,-4,-7,-6,-1,-6,-10,2
27,3,-3,4,7,-5,-3,8,6,3,2,1,4,0,-4,4
28,7,2,8,9,2,3,12,7,7,6,5,5,4,1,7
29,9,7,11,12,8,7,11,7,10,6,9,6,10,7,9
30,11,11,11,12,12,8,11,12,13,9,11,8,11,11,10
31,13,12,10,11,14,8,11,11,12,11,13,6,10,11,4
32,8,11,7,8,10,7,5,8,11,11,14,5,11,8,0
33,2,8,2,7,8,4,6,4,8,7,10,1,7,8,-2
34,6,7,2,4,7,3,4,3,7,6,8,3,5,4,-1
35,0,5,3,1,7,2,3,2,6,7,6,2,5,2,-1
36,-3,4,-1,-1,5,2,0,0,3,5,5,-2,5,2,-2
37,-2,2,-1,0,0,-2,-2,-3,0,0,1,-4,0,0,-2
38,-2,-1,-2,-2,1,-2,-2,-1,-1,1,1,-1,-1,-2,-4
39,-4,-3,-1,-2,-3,-1,-3,-3,-2,-1,2,-3,0,-4,-3
40,-4,-1,-4,-5,-4,1,-6,-5,-3,-2,-1,-5,0,-3,-1
41,-1,-1,-3,-3,-5,-2,-4,-3,-5,-3,-4,-3,-4,-5,0
42,-1,1,1,-1,-6,1,-1,-1,-3,-1,-4,2,-2,-7,4
43,0,3,1,1,-4,1,-2,2,2,3,-2,0,2,-2,5
44,-1,5,0,-1,0,3,-2,2,0,1,0,-2,2,2,5
45,-2,3,0,0,2,1,-3,0,0,0,-1,0,-1,0,3
46,1,2,3,3,-1,1,-1,2,1,1,-1,1,-1,0,5
47,2,2,6,1,-1,3,1,5,2,4,3,1,-1,3,9
48,1,3,4,0,3,1,2,4,4,2,5,3,1,4,5
49,1,0,2,-2,3,3,-2,0,2,2,1,-1,0,5,3
50,-2,-2,0,-2,3,0,-3,-1,2,0,-1,-1,-4,1,2
51,1,-2,0,-3,0,-2,-3,1,0,-2,0,-2,-5,0,3
52,2,-3,1,-2,-1,-3,-2,2,0,3,1,2,-2,-2,1
53,1,-4,2,-3,2,-3,-4,2,2,0,1,1,-1,0,-1
54,-1,-3,-2,-3,3,-3,-6,0,0,-2,-1,-1,-2,1,0
55,0,-5,-1,-3,0,-4,-5,1,-3,-1,-3,-2,-3,0,0
56,1,-4,1,-1,-2,-1,-3,0,-2,0,0,0,-1,-1,2
57,1,-4,1,-3,2,1,-1,0,3,2,0,0,0,-1,-2
58,0,-4,-1,-1,2,1,1,-3,2,0,1,-4,0,-2,-1
