,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,17,22,21,20,18,22,18,18,19,21,13,19,21,19,19,22,21,17,22,19,17,19,20,19,20,21,19,21
1,20,21,21,20,22,22,21,22,21,23,21,20,23,20,25,24,22,20,23,21,21,21,26,20,20,22,21,24
2,20,22,22,19,23,23,20,22,17,22,21,22,22,21,22,24,24,21,22,20,17,21,24,19,16,19,22,25
3,20,24,22,20,22,22,18,24,16,19,21,23,23,22,22,22,24,22,22,20,13,23,24,18,12,17,20,24
4,20,21,21,16,21,20,19,23,16,15,21,20,22,20,24,20,21,20,20,17,13,24,25,18,12,11,21,25
5,21,19,15,15,19,17,13,19,16,13,19,21,18,20,20,15,18,19,20,16,12,24,22,17,8,7,18,24
6,18,13,12,10,15,13,10,15,12,10,18,19,13,17,19,12,14,16,18,13,9,20,22,15,4,3,17,19
7,14,12,4,7,11,8,7,14,9,9,18,17,9,15,15,6,9,15,14,9,5,16,17,12,-1,-3,13,14
8,10,7,0,1,9,5,3,9,11,4,15,13,5,10,9,2,5,10,9,5,2,11,12,10,-3,-7,8,10
9,6,3,-4,-1,2,1,0,4,6,-3,10,9,-3,9,4,-5,1,6,4,1,-4,3,5,6,-6,-12,3,4
10,6,-1,-11,-5,-5,-4,-4,1,1,-6,3,4,-7,4,1,-12,-3,0,0,-4,-6,-3,1,0,-10,-12,1,-1
11,-1,-4,-17,-7,-7,-6,-8,-5,-5,-11,1,0,-11,0,-3,-15,-8,-4,-5,-7,-8,-9,-1,-4,-13,-12,-4,-5
12,-5,-10,-21,-11,-12,-11,-9,-10,-5,-13,-3,-6,-14,-2,-7,-22,-13,-6,-9,-10,-12,-16,-7,-8,-16,-14,-6,-10
13,-7,-13,-24,-13,-18,-13,-13,-12,-10,-18,-6,-10,-16,-6,-12,-25,-15,-8,-12,-12,-14,-21,-9,-14,-16,-17,-9,-13
14,-10,-13,-25,-14,-23,-14,-15,-15,-12,-20,-12,-17,-18,-11,-17,-27,-18,-12,-15,-16,-15,-23,-13,-16,-14,-16,-12,-16
15,-12,-13,-25,-12,-25,-16,-16,-17,-14,-19,-13,-19,-18,-15,-19,-29,-18,-15,-15,-16,-15,-28,-15,-17,-15,-16,-15,-19
16,-13,-14,-24,-14,-28,-14,-16,-17,-17,-19,-17,-20,-16,-18,-20,-27,-18,-16,-16,-15,-14,-30,-16,-18,-15,-14,-17,-18
17,-13,-15,-23,-14,-26,-15,-14,-16,-19,-19,-16,-21,-16,-18,-20,-27,-18,-16,-19,-14,-13,-29,-17,-17,-12,-13,-17,-20
18,-13,-13,-20,-13,-24,-13,-9,-17,-17,-18,-17,-18,-15,-18,-18,-25,-16,-13,-18,-14,-10,-29,-16,-20,-8,-9,-18,-18
19,-11,-10,-13,-8,-20,-11,-10,-14,-17,-12,-17,-18,-11,-18,-13,-16,-13,-12,-18,-10,-10,-25,-15,-15,-4,-4,-17,-15
20,-8,-8,-7,-4,-19,-9,-5,-16,-14,-7,-13,-14,-7,-15,-13,-12,-9,-13,-14,-11,-6,-20,-14,-13,-3,-2,-13,-11
21,-8,-4,-3,-1,-11,-6,-5,-12,-9,-6,-11,-12,-3,-12,-7,-8,-5,-8,-10,-8,-3,-15,-11,-9,0,3,-8,-6
22,-4,-1,5,0,-5,-3,-3,-4,-5,-2,-8,-10,-2,-9,-6,0,-4,-5,-4,-6,0,-9,-8,-3,5,7,-8,-5
23,-3,2,12,3,2,0,1,-2,-3,6,-1,-5,3,-5,-3,10,1,-2,0,0,2,-2,-5,1,10,13,-3,1
24,1,3,16,7,6,4,6,1,-1,8,1,-1,8,-1,3,14,5,0,2,2,5,6,1,4,12,13,1,6
25,5,7,21,10,14,7,7,5,4,11,6,4,12,3,5,19,8,5,5,4,9,14,3,8,13,17,5,6
26,5,11,27,13,21,10,9,10,8,15,7,6,13,5,7,25,8,7,9,3,11,20,6,10,14,15,7,10
27,9,14,32,14,24,13,10,10,8,12,10,11,16,9,9,32,14,12,11,8,10,26,10,11,15,16,11,12
28,10,14,34,17,30,12,11,14,13,13,14,11,15,11,11,31,14,10,14,12,12,29,13,13,15,16,14,14
29,11,14,32,15,31,12,14,18,14,14,15,11,17,13,13,30,14,13,15,13,11,32,14,16,13,15,14,14
30,13,16,30,13,32,15,14,15,15,13,14,12,14,12,16,32,18,12,15,14,13,34,14,15,12,12,16,18
31,14,13,26,13,30,14,15,15,14,10,12,13,16,12,15,31,17,13,16,14,11,31,13,12,10,10,16,16
32,13,11,22,10,30,12,15,13,15,8,12,11,11,12,13,26,13,14,15,12,9,31,14,11,7,8,14,14
33,12,9,16,9,28,11,13,16,12,3,11,10,10,11,13,18,11,12,14,14,4,28,12,10,5,2,11,15
34,10,9,13,4,24,9,11,11,9,1,11,8,7,7,10,11,11,9,9,13,2,22,11,7,2,-2,6,12
35,9,5,6,0,17,7,8,6,7,0,8,4,5,7,6,6,4,6,6,9,1,19,9,4,-1,-3,5,8
36,8,5,-4,-1,10,4,4,4,5,-1,6,3,-1,4,4,-1,0,4,3,5,-1,13,6,0,-5,-6,-2,5
37,4,0,-9,-3,2,-1,1,1,0,-5,4,-1,-1,1,1,-8,-2,2,0,1,-6,8,4,-2,-7,-9,-1,3
38,2,-4,-14,-7,-4,-3,-3,-3,0,-8,-1,-3,-5,-1,1,-12,-4,-2,-3,0,-9,1,1,-7,-10,-12,-2,-2
39,0,-7,-20,-8,-10,-5,-7,-5,-5,-10,-2,-3,-8,-4,-3,-19,-7,-4,-6,-3,-10,-9,-2,-8,-11,-15,-4,-4
40,-2,-10,-23,-11,-17,-8,-10,-7,-6,-10,-4,-4,-9,-6,-5,-24,-10,-7,-5,-5,-16,-15,-4,-11,-11,-17,-6,-8
