,0,1,2,3,4,5,6,7,8
0,14,17,17,20,21,19,23,20,17
1,20,21,20,21,23,22,25,21,21
2,23,24,20,23,21,21,25,22,22
3,21,25,23,25,23,23,24,18,25
4,22,23,20,25,21,23,19,16,25
5,16,17,15,20,17,20,15,11,27
6,11,15,13,15,13,17,11,4,22
7,7,11,5,12,8,12,7,2,17
8,3,7,0,9,5,9,1,-5,14
9,-3,2,-3,-1,-6,1,-7,-8,6
10,-8,-6,-6,-5,-10,-5,-11,-11,3
11,-10,-9,-10,-8,-13,-7,-14,-17,-2
12,-14,-14,-17,-11,-15,-12,-19,-21,-9
13,-17,-19,-18,-17,-18,-15,-24,-24,-13
14,-20,-20,-24,-22,-22,-20,-25,-23,-18
15,-25,-25,-25,-23,-23,-23,-25,-24,-20
16,-25,-26,-24,-27,-25,-25,-26,-20,-25
17,-22,-27,-25,-25,-24,-24,-21,-17,-27
18,-19,-23,-18,-22,-18,-22,-14,-13,-25
19,-15,-21,-15,-16,-15,-20,-18,-10,-24
20,-13,-15,-12,-17,-14,-16,-12,-7,-21
21,-8,-6,-7,-12,-9,-12,-9,4,-17
22,-3,-4,-2,-3,-2,-6,1,8,-14
23,3,3,8,0,4,1,5,8,-7
24,8,9,8,5,8,5,7,17,-2
25,9,11,12,10,13,7,16,20,9
26,17,16,20,11,15,11,19,22,10
27,22,20,22,19,20,15,23,22,11
28,21,26,25,19,22,20,23,22,18
29,23,24,21,20,19,20,23,23,23
30,20,24,22,20,24,18,23,19,25
31,22,27,21,19,23,21,21,16,23
32,17,20,15,17,24,20,17,10,23
33,10,18,12,15,19,17,14,11,23
34,10,15,9,11,16,15,12,8,20
35,8,13,11,14,15,17,13,0,16
36,5,11,5,10,9,10,4,-2,13
37,-1,4,1,5,5,4,-1,-11,13
38,-7,-1,-4,-1,-2,0,-7,-11,11
39,-11,-6,-9,-3,-7,-5,-8,-13,-1
40,-15,-9,-11,-10,-10,-8,-11,-18,-5
41,-18,-12,-17,-12,-19,-16,-20,-21,-8
42,-21,-17,-20,-15,-19,-16,-23,-23,-13
43,-23,-20,-24,-18,-25,-20,-26,-24,-18
44,-27,-27,-25,-19,-23,-20,-26,-23,-20
45,-27,-27,-22,-21,-22,-22,-24,-24,-23
46,-25,-26,-25,-21,-24,-26,-25,-20,-29
47,-23,-28,-20,-19,-22,-23,-22,-20,-26
48,-19,-22,-16,-18,-21,-21,-20,-17,-26
49,-15,-19,-17,-17,-17,-19,-17,-9,-24
50,-14,-17,-10,-15,-12,-14,-12,0,-20
51,-5,-12,-9,-10,-8,-13,-7,6,-16
52,-4,-6,1,-4,-2,-3,2,9,-12
53,5,1,5,2,2,2,6,20,-10
54,9,8,12,9,9,9,14,18,-3
55,15,14,16,15,16,13,17,20,5
56,17,19,19,17,22,15,20,26,8
57,19,22,26,21,26,21,28,29,17
58,29,28,28,26,29,24,31,29,20
59,29,28,31,29,32,28,33,27,27
60,30,34,32,29,31,30,32,30,31
