,0,1,2,3,4,5,6,7,8,9,10
0,12,14,15,18,16,18,17,17,16,10,20
1,20,20,20,23,20,20,20,20,20,22,20
2,10,16,14,18,19,17,13,21,17,15,7
3,0,16,16,21,16,13,12,17,15,4,-5
4,-9,15,13,16,12,13,8,15,13,-7,-3
5,-8,7,10,11,6,12,6,14,12,-5,-7
6,-8,5,10,8,3,8,4,8,11,-6,-7
7,-12,0,3,2,-1,6,3,10,9,-12,-7
8,-5,0,3,2,0,7,7,9,8,-4,0
9,-1,-3,-2,0,0,3,9,8,9,1,9
10,6,-4,-7,-1,0,1,9,7,4,12,7
11,7,0,-8,1,3,-1,8,1,5,10,7
12,2,2,-11,0,-1,0,2,0,3,8,6
13,2,4,-13,3,2,-6,-1,-3,0,6,3
14,-1,-2,-12,-1,-2,-3,-7,-2,-1,0,1
15,-4,-4,-10,-4,-3,1,-8,-7,-2,-1,-5
16,-10,-4,-6,-5,-5,2,-10,-14,-1,-6,-6
17,-10,-10,-7,-8,-8,-4,-9,-13,-4,-9,-6
18,-5,-7,-4,-7,-5,-10,-5,-9,-9,-5,-1
19,-1,-10,-6,-11,-6,-8,-4,-14,-10,-3,6
20,4,-7,-8,-11,-3,-8,3,-12,-10,3,6
21,11,-8,-10,-10,-4,-10,8,-8,-8,5,11
22,10,-6,-6,-7,-2,-9,8,-2,-13,7,10
23,13,0,-4,0,2,-6,5,-5,-10,12,10
24,9,1,-4,-2,-1,-1,0,-6,-6,6,1
25,3,4,-4,3,0,2,-2,-1,-6,1,-8
26,-4,5,-2,3,2,3,-7,-6,0,-6,-8
27,-3,9,0,4,2,8,-8,-6,1,-6,-3
28,4,7,6,5,0,7,-6,-11,7,-3,0
29,2,6,6,4,-2,5,-4,-9,2,-2,0
30,2,6,9,0,3,1,0,-3,0,-1,0
31,4,4,7,1,-1,-2,2,-3,-3,2,6
32,11,0,7,1,-4,0,11,0,-6,5,3
33,8,2,7,1,-1,-2,7,0,-5,5,6
34,2,-1,3,-1,-2,-4,3,4,-7,2,4
35,6,0,-2,0,-2,-5,2,10,-8,5,2
36,2,0,-3,0,-1,-1,-2,9,-2,1,3
37,-2,-3,-4,-1,-1,3,-8,7,1,2,-6
38,-8,-2,-5,-3,1,2,-12,2,4,-6,-10
39,-11,-3,-7,-5,-2,4,-13,-3,1,-9,-8
40,-6,-3,-1,0,1,6,-8,-4,3,-2,0
41,-5,-4,-4,-4,-2,7,-2,-3,7,-1,-4
42,-4,-7,-3,-3,-3,4,-1,0,6,2,-6
43,-3,-5,-4,0,2,-2,1,-1,2,-1,-3
44,-1,-4,-5,-2,0,-6,3,-1,-6,0,3
45,6,-2,-6,0,-2,-11,5,6,-7,10,5
46,2,-4,-7,0,-5,-10,1,11,-3,6,-1
47,-3,-3,-4,-1,-5,-11,-5,9,-6,0,-7
48,-9,-3,-7,1,0,-14,-9,6,-9,-4,-3
49,-4,-2,-6,1,-1,-8,-7,6,-5,-2,-1
50,1,2,-3,4,1,-3,0,3,1,1,-3
51,-4,1,0,2,4,4,0,1,6,-4,-3
52,-1,6,6,5,5,9,7,-1,10,-2,-5
53,-1,7,8,9,6,10,10,1,14,-1,-2
54,3,6,13,7,6,13,12,6,13,-2,-3
55,1,8,13,7,7,11,13,5,11,4,-2
56,1,4,7,3,3,7,11,8,6,4,1
57,5,2,9,4,4,7,12,10,6,4,3
58,4,6,7,3,6,6,9,11,4,5,6
59,4,3,5,3,4,7,4,13,3,5,1
60,3,4,6,3,5,7,5,10,7,5,0
61,4,3,6,2,2,11,2,10,11,2,5
62,8,5,8,4,8,12,4,6,12,7,7
63,7,6,10,6,6,13,8,4,14,5,5
64,5,5,11,3,5,17,6,5,14,4,3
65,1,5,11,4,5,9,8,2,15,-1,2
66,1,2,4,1,1,8,5,3,7,-1,3
