,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,19,20,20,15,17,22,21,20,16,24,19,20,21,21,24,17,18,19,19,23,22
1,22,22,24,21,22,26,21,25,23,23,23,24,27,22,25,20,22,22,20,24,21
2,21,24,19,23,22,22,18,21,25,15,21,19,24,20,27,21,20,22,26,20,19
3,16,19,16,23,23,21,15,16,26,12,20,17,21,13,21,20,17,16,29,18,17
4,14,17,14,16,20,16,15,15,19,16,19,16,17,14,22,18,19,11,24,13,16
5,16,18,16,14,19,14,12,12,19,10,14,12,15,14,19,19,11,12,22,12,15
6,14,13,13,13,17,12,12,14,13,11,14,10,17,13,17,13,14,9,17,12,14
7,13,15,11,12,12,10,11,11,12,9,11,8,13,9,17,13,14,9,12,12,13
8,8,8,8,15,12,12,3,9,11,5,10,9,13,3,13,11,9,7,12,9,6
9,3,5,1,10,4,5,1,5,6,5,5,6,7,1,9,9,6,1,9,3,4
10,5,5,5,3,6,4,0,0,3,2,1,4,4,1,6,4,1,-1,5,2,2
11,1,2,2,1,8,0,-2,-1,-2,4,-1,5,3,0,5,2,3,-3,0,1,1
12,2,1,0,1,4,0,-4,-2,-3,-1,-4,2,-1,-3,0,4,1,-2,-1,-2,-3
13,-1,-2,-1,-2,6,-4,-9,-5,-4,-4,-3,0,-4,-4,-6,-1,-3,-3,-2,-3,-7
14,-6,-2,-9,-3,3,-7,-8,-7,-8,-7,-6,0,-7,-3,-6,-2,-4,-6,-2,-7,-6
15,-7,-6,-7,-7,4,-7,-11,-9,-6,-9,-9,-5,-7,-9,-11,-2,-8,-8,-3,-7,-10
16,-9,-9,-9,-8,1,-12,-12,-7,-12,-9,-11,-7,-5,-6,-15,-5,-8,-10,-6,-10,-10
17,-11,-10,-11,-13,-2,-12,-10,-10,-14,-9,-12,-10,-11,-7,-15,-6,-13,-9,-8,-11,-10
18,-12,-12,-8,-10,-3,-10,-12,-12,-11,-10,-10,-11,-10,-12,-16,-10,-13,-12,-10,-11,-9
19,-13,-13,-11,-13,-7,-13,-10,-11,-10,-10,-11,-14,-12,-9,-16,-11,-13,-13,-12,-12,-11
20,-12,-12,-11,-13,-9,-11,-13,-11,-12,-9,-11,-13,-14,-11,-13,-8,-14,-10,-11,-10,-12
21,-11,-10,-9,-12,-11,-8,-6,-7,-11,-9,-10,-8,-12,-10,-14,-11,-10,-10,-13,-8,-8
22,-7,-9,-6,-11,-8,-9,-6,-8,-7,-9,-12,-9,-7,-9,-10,-9,-11,-8,-11,-4,-7
23,-9,-9,-8,-7,-6,-8,-7,-7,-7,-5,-5,-6,-4,-9,-10,-11,-10,-6,-11,-3,-8
24,-7,-7,-8,-9,-9,-7,0,-4,-5,-4,-8,-7,-6,-5,-8,-8,-9,-6,-10,-3,-3
25,-3,-5,1,-5,-8,-3,0,-2,-1,-2,-4,-4,-4,-4,-4,-6,-4,-2,-7,2,0
26,0,1,-2,-2,-5,-2,3,4,-2,4,0,-4,3,1,1,-3,4,1,-6,1,3
27,3,6,3,0,-5,1,4,2,4,2,-2,-8,2,1,3,1,1,4,-1,4,3
28,4,6,4,3,-4,6,6,5,6,6,7,-5,5,5,5,1,5,5,2,7,7
29,6,10,4,5,-4,6,11,7,7,9,7,-10,4,8,7,4,9,6,2,8,10
30,6,11,9,9,-7,8,7,7,8,8,10,-10,9,2,8,5,11,9,4,11,7
31,3,10,4,11,-9,7,7,6,7,5,7,-8,8,2,8,8,10,10,6,7,6
32,3,6,3,11,-10,7,1,0,11,-2,6,-9,6,-3,8,10,5,9,10,6,1
33,-3,3,-3,9,-10,3,-7,-2,7,-2,2,-5,4,-8,4,6,4,4,8,-1,-3
34,-3,1,-7,3,-10,-2,-8,-7,1,-9,-2,-8,-4,-9,-1,3,-4,0,4,-4,-4
35,-6,-6,-10,-2,-8,-5,-14,-10,-1,-11,-3,-4,-7,-13,-6,-2,-8,-4,-2,-4,-8
36,-13,-9,-15,-7,-7,-8,-16,-13,-8,-15,-7,1,-13,-13,-10,-7,-8,-9,-6,-10,-11
37,-14,-12,-17,-9,-7,-13,-22,-16,-10,-19,-14,4,-15,-16,-12,-8,-15,-11,-8,-16,-14
38,-17,-16,-20,-11,-3,-15,-21,-17,-14,-19,-14,8,-17,-14,-18,-14,-15,-16,-11,-20,-16
39,-18,-15,-19,-18,1,-21,-16,-18,-15,-18,-18,8,-20,-14,-17,-16,-19,-19,-13,-21,-16
