,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,17,17,18,19,18,21,19,22,21,17,15,18,21,16,15,17,20,15,18,17
1,20,20,20,20,21,22,21,22,20,21,20,20,20,21,21,20,21,20,20,20
2,20,16,20,19,18,23,18,23,20,20,19,16,19,20,19,20,20,19,16,19
3,17,16,21,16,15,17,17,18,18,16,19,17,19,19,21,22,20,17,13,17
4,15,14,17,14,11,17,14,14,14,13,17,15,15,19,19,21,19,15,11,17
5,16,16,17,13,9,17,11,12,9,11,15,12,12,17,19,21,16,15,10,14
6,15,14,16,10,9,13,9,9,9,6,12,10,10,14,13,18,13,11,7,11
7,11,13,14,5,3,9,6,7,3,3,10,6,9,12,11,15,10,9,5,9
8,8,13,12,4,-2,6,3,2,-1,0,8,3,4,9,7,10,4,5,1,6
9,4,11,9,1,-5,3,0,1,0,-4,4,2,2,4,4,7,-1,2,-4,2
10,2,12,6,-2,-5,-2,-5,-2,-6,-2,2,-3,-3,0,0,3,-5,-2,-5,0
11,-1,9,2,-5,-10,-4,-8,-6,-10,-5,-2,-5,-4,-1,-2,-2,-8,-3,-9,-4
12,-4,9,1,-7,-9,-9,-10,-4,-11,-7,-2,-5,-6,-4,-4,-7,-13,-7,-10,-3
13,-7,6,2,-10,-7,-14,-11,-7,-11,-8,-3,-6,-9,-7,-6,-9,-15,-8,-9,-3
14,-8,4,-2,-11,-8,-15,-12,-8,-12,-11,-6,-6,-9,-9,-8,-11,-15,-8,-13,-6
15,-9,2,-4,-12,-12,-16,-11,-10,-14,-12,-9,-9,-11,-10,-12,-14,-18,-10,-13,-8
16,-12,0,-6,-10,-9,-16,-12,-10,-11,-11,-11,-8,-13,-9,-12,-15,-19,-12,-13,-10
17,-14,-1,-8,-12,-7,-17,-14,-8,-10,-10,-13,-7,-14,-14,-11,-13,-17,-12,-10,-11
18,-14,-3,-8,-10,-8,-14,-10,-7,-9,-10,-13,-6,-12,-12,-13,-15,-16,-12,-8,-10
19,-10,-3,-9,-11,-6,-12,-8,-8,-7,-8,-13,-7,-9,-11,-13,-14,-13,-11,-8,-8
20,-9,-5,-12,-9,-4,-12,-7,-7,-6,-6,-13,-4,-8,-13,-10,-11,-8,-9,-4,-6
21,-7,-6,-14,-5,-2,-8,-7,-7,-4,-3,-10,-1,-8,-11,-8,-10,-7,-9,-2,-6
22,-5,-6,-14,0,-2,-6,-2,-8,-1,-1,-10,-2,-5,-8,-7,-9,-4,-4,-1,-3
23,-1,-8,-16,0,0,-4,2,-1,1,-1,-8,-3,-1,-3,-5,-5,-1,-1,1,-4
24,-1,-7,-13,1,-2,1,3,-1,0,1,-4,-1,0,-3,-2,-3,3,2,4,-2
25,1,-6,-15,3,0,7,3,-2,0,2,-1,0,4,-1,1,1,4,5,4,1
26,4,-8,-17,5,0,6,3,0,5,4,1,0,6,3,1,2,8,6,4,3
27,7,-7,-15,5,0,7,2,2,3,4,3,1,9,5,4,6,12,6,4,4
28,5,-6,-13,9,2,8,3,2,3,6,6,2,11,8,4,9,10,6,4,7
29,7,-8,-13,8,4,8,4,0,2,6,9,3,8,10,5,10,9,9,2,5
30,6,-11,-13,5,2,8,4,0,4,3,9,3,7,10,5,11,8,6,4,7
31,7,-12,-10,7,5,7,2,3,1,2,7,2,7,10,5,14,8,4,3,8
32,3,-13,-7,6,4,8,4,0,2,3,9,2,5,9,8,10,8,5,4,7
33,2,-14,-6,3,4,6,2,-1,3,3,6,2,1,7,4,10,8,1,1,5
34,1,-14,-5,-1,1,5,0,3,3,1,6,1,-2,2,2,10,5,-1,4,3
