,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,19,20,20,20,20,19,21,19,22,22,20,21,18,20,21,20,21,20
1,20,20,21,23,21,20,21,20,21,22,20,23,20,24,20,22,20,21
2,21,15,22,24,22,17,22,19,22,21,19,23,23,22,21,21,20,21
3,22,16,21,23,23,18,21,17,21,21,18,19,24,23,20,19,19,18
4,19,16,22,20,21,18,18,16,19,20,18,17,22,22,19,20,20,18
5,19,13,19,20,18,14,18,14,17,17,16,17,20,20,17,16,18,16
6,16,14,17,19,17,13,16,14,16,18,14,17,18,20,14,15,13,13
7,17,15,15,19,18,14,13,11,16,19,13,12,17,17,12,13,13,12
8,16,12,13,17,16,8,15,11,15,13,11,9,15,17,11,12,8,9
9,15,12,12,16,12,4,11,11,14,12,12,9,14,16,7,10,7,7
10,9,11,10,13,11,4,7,7,13,11,13,4,14,13,7,5,5,7
11,9,8,10,11,8,-1,4,6,13,8,11,0,13,13,2,1,1,3
12,4,6,8,12,5,-4,3,5,6,6,7,-2,10,10,0,-2,0,-2
13,-2,3,9,11,2,-7,-1,3,2,4,7,-4,9,7,-4,-6,-3,-6
14,-5,3,6,6,-3,-6,-3,3,-1,-2,5,-7,8,2,-4,-7,-7,-7
15,-5,-2,6,4,-7,-10,-7,4,0,-6,1,-10,3,-1,-8,-7,-8,-9
16,-6,-3,5,0,-8,-14,-8,2,-4,-8,1,-9,0,-3,-12,-11,-9,-12
17,-11,-4,4,1,-10,-13,-11,5,-6,-9,-3,-12,-2,-6,-12,-13,-12,-15
18,-15,-6,4,-3,-12,-16,-13,4,-8,-11,-5,-16,0,-7,-13,-14,-13,-14
19,-15,-8,1,-6,-14,-16,-14,1,-9,-15,-7,-19,-1,-8,-13,-15,-12,-16
20,-16,-8,1,-7,-18,-17,-15,0,-10,-19,-6,-19,-2,-11,-14,-18,-16,-20
21,-15,-4,-2,-6,-20,-19,-19,-2,-9,-20,-6,-22,-4,-11,-18,-20,-20,-20
22,-17,-7,-3,-8,-21,-20,-20,-6,-9,-24,-9,-21,-6,-11,-17,-21,-19,-22
23,-16,-9,-5,-9,-21,-19,-21,-7,-11,-24,-10,-21,-8,-12,-18,-21,-21,-23
24,-19,-9,-8,-10,-23,-18,-21,-8,-11,-23,-14,-19,-11,-10,-18,-23,-20,-21
25,-19,-10,-9,-9,-23,-19,-21,-8,-12,-23,-10,-20,-11,-12,-17,-21,-19,-22
26,-19,-10,-7,-10,-21,-17,-19,-10,-13,-21,-10,-18,-12,-10,-18,-18,-21,-20
27,-21,-11,-8,-12,-20,-16,-19,-10,-13,-20,-12,-18,-14,-11,-18,-19,-20,-18
28,-22,-11,-10,-11,-21,-14,-19,-12,-13,-19,-12,-18,-15,-11,-17,-18,-17,-16
29,-20,-13,-10,-14,-20,-12,-15,-12,-14,-15,-13,-17,-13,-12,-16,-16,-15,-12
30,-16,-16,-10,-14,-15,-11,-13,-11,-15,-13,-16,-11,-17,-16,-15,-13,-13,-11
31,-15,-15,-11,-17,-14,-6,-11,-11,-15,-11,-18,-8,-20,-16,-13,-9,-12,-7
32,-12,-16,-10,-16,-10,-4,-8,-13,-14,-8,-18,-4,-23,-16,-10,-7,-9,-3
33,-10,-13,-10,-17,-8,-5,-5,-11,-15,-5,-18,-3,-23,-14,-6,-5,-7,-2
34,-7,-13,-9,-16,-8,-1,-3,-13,-16,-5,-17,0,-20,-14,-7,-2,-5,-1
35,-4,-13,-9,-13,-3,-3,-3,-11,-14,-1,-16,1,-19,-14,-4,0,-4,-1
36,-4,-13,-11,-14,-1,0,-1,-10,-14,2,-18,2,-19,-13,-2,1,-2,1
37,-2,-14,-11,-13,1,2,0,-9,-13,-1,-15,5,-16,-11,-2,3,-1,1
38,2,-10,-13,-9,3,3,1,-10,-14,0,-12,5,-11,-10,-2,7,3,3
39,3,-9,-12,-10,2,3,6,-12,-10,3,-11,6,-10,-7,1,8,4,5
40,2,-4,-13,-7,4,4,5,-12,-8,3,-10,7,-11,-8,4,12,4,8
41,6,-2,-14,-7,7,8,7,-11,-5,5,-9,6,-8,-5,5,11,7,9
42,9,0,-13,-4,9,8,9,-12,-1,7,-6,10,-4,-3,9,9,9,11
43,12,1,-10,-3,13,9,8,-7,0,10,-3,9,-4,-1,10,10,11,10
44,11,2,-7,-1,12,9,9,-8,2,8,-3,11,1,0,7,10,11,10
45,13,5,-3,1,13,10,9,-9,3,9,0,10,3,3,9,7,14,9
46,12,6,-4,1,13,12,11,-9,5,10,1,11,6,4,11,11,11,11
47,13,4,-3,4,11,13,13,-5,7,9,4,13,6,6,10,10,13,12
48,12,7,-1,7,11,13,13,-3,5,11,5,16,8,3,10,13,13,15
49,11,10,2,7,9,14,14,-5,10,13,9,15,10,9,11,11,14,14
50,13,12,3,9,10,17,15,0,12,12,10,13,9,8,12,13,13,16
51,13,13,5,12,13,13,15,6,13,13,12,16,12,10,14,13,13,16
52,16,16,9,11,11,12,12,7,15,15,14,17,11,10,16,12,12,14
53,16,18,9,15,12,13,14,9,17,15,19,15,14,11,14,12,14,16
54,14,17,9,16,15,16,11,12,17,15,18,13,15,14,13,11,14,13
55,14,17,12,17,12,13,11,14,18,13,19,12,16,16,14,14,15,12
56,13,18,13,21,12,14,12,15,17,11,16,11,18,15,14,13,14,15
57,11,20,15,17,10,17,10,17,14,10,18,11,17,16,15,14,15,15
58,15,17,17,18,11,17,12,21,17,13,17,12,16,18,14,15,15,14
59,14,17,19,20,13,15,11,25,17,13,16,12,17,18,15,13,16,17
60,14,16,20,20,14,14,12,24,16,17,16,11,18,19,16,12,14,16
61,13,16,22,17,14,10,11,25,17,15,19,9,20,19,16,9,14,15
62,13,13,21,17,15,7,9,23,15,12,17,7,19,19,11,8,12,10
63,13,12,22,16,12,7,6,23,15,12,14,8,18,17,12,6,9,10
64,9,9,20,12,9,8,6,21,11,12,16,4,14,15,9,4,8,7
65,8,6,20,11,8,5,6,21,10,10,12,3,10,14,7,5,5,1
66,8,5,16,9,7,3,4,19,6,10,12,3,10,9,6,5,2,0
67,7,3,14,6,6,0,4,16,5,7,7,2,6,7,4,5,1,-2
68,4,1,13,3,3,-4,4,13,3,5,5,-1,6,4,1,-2,0,-3
69,2,-1,10,2,0,-6,-1,9,1,3,3,-3,4,4,-2,-4,-3,-9
70,0,-2,9,1,-1,-11,-4,5,-1,0,1,-6,1,0,-5,-7,-6,-11
71,-4,-3,6,3,-6,-14,-10,2,-3,-6,-2,-9,-1,0,-8,-11,-10,-13
72,-8,-3,1,0,-10,-15,-14,-1,-5,-10,-6,-12,-1,-3,-12,-13,-14,-16
73,-12,-6,-2,-3,-12,-16,-15,-5,-6,-12,-8,-14,-4,-3,-14,-15,-19,-16
74,-15,-9,-6,-5,-15,-17,-17,-9,-7,-15,-5,-15,-5,-5,-18,-17,-20,-18
75,-17,-12,-8,-7,-17,-21,-18,-10,-8,-19,-8,-18,-5,-9,-19,-17,-20,-18
76,-19,-15,-12,-9,-17,-24,-19,-12,-10,-19,-11,-19,-6,-10,-21,-19,-22,-22
77,-19,-16,-15,-11,-17,-26,-22,-14,-14,-19,-14,-23,-8,-13,-21,-22,-22,-24
78,-21,-18,-15,-16,-19,-23,-24,-17,-17,-19,-15,-24,-12,-15,-21,-24,-24,-23
79,-23,-18,-18,-17,-21,-24,-22,-16,-16,-21,-16,-23,-12,-16,-23,-23,-23,-23
80,-24,-17,-20,-19,-23,-24,-23,-17,-19,-24,-18,-24,-13,-18,-24,-23,-22,-23
81,-28,-16,-20,-19,-22,-19,-23,-20,-19,-24,-19,-25,-15,-19,-26,-23,-24,-24
82,-26,-19,-24,-21,-22,-19,-22,-20,-18,-24,-19,-25,-15,-19,-24,-22,-25,-21
83,-26,-16,-23,-22,-22,-16,-18,-19,-17,-24,-17,-22,-17,-22,-22,-19,-20,-19
84,-22,-16,-22,-23,-19,-14,-17,-19,-17,-21,-18,-19,-17,-21,-21,-18,-18,-18
85,-18,-16,-22,-23,-19,-12,-16,-18,-16,-18,-18,-16,-20,-19,-18,-15,-17,-17
86,-18,-14,-21,-20,-17,-9,-14,-16,-13,-15,-14,-15,-19,-16,-14,-13,-14,-15
87,-16,-14,-18,-17,-16,-8,-13,-17,-16,-14,-13,-13,-17,-17,-14,-12,-12,-12
88,-14,-13,-15,-12,-13,-6,-10,-15,-13,-14,-13,-9,-16,-17,-13,-11,-11,-8
89,-13,-11,-12,-11,-11,-2,-5,-16,-13,-10,-11,-9,-13,-15,-10,-8,-7,-4
90,-8,-9,-14,-8,-10,1,-4,-13,-9,-7,-10,-4,-13,-14,-6,-6,-3,-1
91,-3,-8,-8,-6,-6,6,0,-10,-9,-6,-7,1,-13,-12,-2,-1,1,4
92,-1,-5,-4,-7,-4,9,6,-8,-9,-4,-4,4,-10,-10,0,3,4,9
93,4,-4,-3,-5,2,11,9,-7,-5,3,-5,9,-10,-8,6,10,10,13
94,6,-5,-1,-2,4,15,11,-1,-2,7,-6,13,-6,-7,8,10,14,16
95,10,-2,1,-1,8,17,14,0,-1,11,-3,19,-4,-4,12,15,18,17
96,14,0,2,2,11,18,16,-1,0,15,-4,17,-3,-2,15,19,19,20
97,17,2,2,1,16,18,17,4,4,18,-3,19,0,1,19,20,20,20
98,15,6,4,2,18,19,17,4,4,19,0,20,1,2,20,21,20,22
99,17,9,6,5,17,23,19,5,6,21,2,22,4,7,23,21,20,23
100,20,13,7,4,19,22,22,7,9,23,4,20,4,7,23,23,21,23
101,21,15,8,6,23,19,23,10,10,25,6,21,6,12,22,25,22,21
102,21,18,9,11,22,19,24,9,15,24,8,24,7,15,23,23,22,22
103,21,19,9,12,23,19,23,10,16,27,11,20,10,17,21,21,20,21
104,22,20,11,15,22,18,21,9,19,25,15,20,13,19,18,19,18,19
105,22,17,12,17,20,17,20,7,18,22,16,20,18,17,19,18,18,18
106,19,17,11,18,19,13,19,8,18,23,16,18,18,19,16,17,16,17
107,18,16,12,16,15,13,17,8,17,19,15,16,17,20,17,14,14,15
108,18,15,11,16,15,11,16,11,15,17,15,12,17,19,15,17,16,13
109,14,13,13,15,13,12,15,9,13,15,17,11,15,17,11,15,13,13
110,16,13,13,15,11,11,14,11,13,14,17,11,17,16,9,10,10,11
111,15,12,11,14,12,9,12,11,13,14,15,11,16,14,10,9,11,8
112,14,10,13,14,9,4,9,13,9,10,14,9,15,12,11,9,10,6
113,9,10,13,13,7,0,6,11,9,5,13,8,16,10,6,6,6,2
114,7,7,15,14,5,1,4,11,7,0,11,1,15,6,7,2,3,0
115,2,10,15,13,1,0,-1,14,7,-1,10,-2,13,6,3,-2,2,-6
116,-1,9,16,8,-4,-5,-2,14,3,-3,7,-4,10,3,1,-6,0,-5
117,-4,8,16,7,-6,-4,-3,13,4,-5,7,-4,11,5,0,-5,-2,-7
118,-5,8,16,9,-6,-7,-6,17,7,-6,5,-8,9,6,-1,-8,-4,-10
119,-8,7,17,8,-7,-9,-9,15,5,-8,5,-12,5,5,-2,-7,-5,-10
120,-9,6,14,6,-7,-7,-10,15,4,-9,4,-11,3,6,-5,-7,-7,-13
121,-11,3,15,7,-9,-7,-9,16,2,-9,3,-12,4,4,-8,-12,-8,-13
122,-12,0,13,6,-8,-8,-11,14,4,-10,3,-14,4,3,-8,-12,-8,-12
123,-13,-2,10,4,-11,-10,-11,13,4,-10,0,-13,1,3,-10,-11,-10,-13
124,-15,-4,9,2,-10,-10,-11,12,1,-12,-3,-13,-2,1,-10,-12,-12,-12
125,-15,-7,7,-2,-12,-8,-11,8,0,-12,-2,-14,-4,-2,-11,-12,-13,-10
126,-13,-5,7,-5,-11,-10,-9,6,-4,-12,-3,-14,-7,-3,-12,-13,-12,-12
127,-10,-9,6,-7,-10,-10,-9,5,-6,-11,-6,-13,-8,-3,-14,-13,-10,-11
128,-10,-11,2,-8,-12,-11,-10,4,-8,-11,-6,-14,-10,-6,-14,-15,-9,-11
129,-11,-11,-1,-7,-11,-12,-13,1,-8,-12,-8,-13,-11,-7,-13,-15,-10,-13
130,-13,-13,-3,-10,-13,-14,-15,-1,-11,-12,-10,-13,-12,-11,-13,-18,-15,-14
131,-13,-13,-6,-13,-15,-17,-16,-7,-15,-16,-11,-13,-13,-13,-16,-17,-16,-15
132,-11,-14,-8,-14,-16,-15,-16,-12,-17,-16,-13,-13,-13,-12,-16,-16,-17,-15
133,-11,-13,-13,-14,-14,-15,-16,-15,-15,-14,-15,-12,-12,-12,-18,-14,-13,-14
