,0,1,2,3,4,5,6,7,8,9,10
0,17,16,15,18,17,20,21,20,17,17,19
1,20,20,20,20,20,20,21,20,20,20,22
2,18,18,18,18,18,15,17,17,18,19,18
3,15,17,16,17,18,16,20,18,17,15,16
4,14,15,16,15,18,15,17,15,16,14,16
5,12,15,13,13,18,15,15,14,14,15,14
6,12,14,14,15,15,13,13,12,14,14,12
7,10,15,13,13,15,12,13,10,11,10,9
8,9,13,15,9,13,12,12,9,9,9,7
9,9,11,13,6,10,8,6,6,6,8,5
10,6,9,8,7,7,7,5,3,1,5,2
11,3,4,4,5,3,4,2,1,0,1,-2
12,0,0,1,-2,0,1,-2,-2,-2,1,-7
13,-2,-2,-3,-3,-1,-2,-7,-4,-4,-3,-9
14,-5,-5,-6,-6,-5,-5,-9,-6,-7,-4,-11
15,-7,-6,-8,-7,-5,-6,-13,-7,-7,-7,-10
16,-8,-9,-8,-7,-8,-10,-15,-10,-9,-8,-10
17,-10,-10,-10,-8,-9,-10,-13,-9,-10,-10,-9
18,-7,-11,-11,-12,-11,-10,-13,-11,-13,-12,-9
19,-8,-14,-13,-11,-11,-12,-15,-13,-13,-13,-11
20,-12,-16,-16,-13,-14,-12,-15,-14,-16,-15,-11
21,-13,-12,-16,-12,-11,-13,-14,-15,-17,-14,-11
22,-11,-14,-15,-12,-11,-11,-15,-14,-17,-15,-11
23,-12,-13,-14,-15,-12,-12,-16,-14,-15,-15,-12
24,-11,-10,-14,-11,-13,-12,-14,-14,-15,-14,-12
25,-13,-10,-12,-9,-12,-14,-13,-14,-16,-13,-9
26,-14,-10,-10,-9,-9,-12,-10,-14,-13,-11,-7
27,-10,-11,-9,-9,-11,-10,-8,-11,-10,-10,-10
28,-8,-8,-9,-10,-9,-8,-6,-9,-11,-9,-7
29,-8,-9,-7,-7,-8,-9,-4,-9,-11,-7,-7
30,-8,-7,-5,-6,-9,-7,-2,-6,-8,-3,-2
31,-7,-6,-7,-7,-6,-3,-2,-1,-5,-1,-2
32,-4,-8,-3,-2,-5,-1,1,1,-3,1,-2
33,-4,-4,0,-1,-1,0,3,2,1,5,2
34,-1,-2,1,0,0,2,6,4,3,6,2
35,2,-1,1,1,2,0,6,5,3,7,3
36,1,0,3,2,5,4,6,6,7,7,5
37,4,1,4,3,5,3,6,6,4,7,4
38,5,2,6,3,6,4,7,9,6,7,4
39,5,5,5,1,3,3,7,11,6,7,4
40,4,4,6,3,4,5,4,8,6,6,6
41,6,6,7,6,6,5,3,8,5,5,6
42,3,6,5,4,6,5,4,8,6,6,7
43,4,7,5,3,7,4,3,4,7,5,2
44,7,8,7,2,6,4,1,5,7,4,3
45,6,7,6,2,4,1,-1,2,7,2,4
46,0,5,4,0,2,1,2,3,3,1,1
47,-1,1,5,0,1,1,0,1,5,1,1
48,1,0,5,4,2,0,-2,1,7,2,-2
49,0,0,2,0,1,0,1,0,7,-1,2
50,-3,-1,1,-2,1,2,2,-1,5,2,0
51,0,-2,-2,-1,2,1,2,-2,8,2,2
52,0,0,0,0,2,1,1,-3,7,1,-2
53,-2,-4,0,2,1,-1,1,-4,4,-2,-1
54,-1,-1,0,3,3,2,3,0,2,-3,2
55,2,0,-2,2,3,1,3,-2,4,-1,3
56,3,1,0,3,3,4,6,-2,0,1,3
57,5,3,1,6,4,7,4,-1,2,-1,4
58,5,4,2,7,5,7,6,1,1,1,7
59,7,6,3,9,7,8,8,2,1,4,6
60,10,10,6,8,8,10,9,5,4,5,6
61,7,10,8,10,8,9,6,4,3,4,8
62,8,10,8,9,7,9,5,4,4,6,7
63,8,10,12,9,7,9,5,6,2,9,8
64,7,8,11,9,7,9,7,9,3,9,10
65,7,10,13,10,8,7,6,9,3,9,10
66,9,9,10,6,8,7,8,9,3,7,8
67,7,10,8,3,5,6,8,8,6,7,6
68,7,9,6,4,6,7,8,7,6,7,7
69,6,7,8,3,4,7,9,7,5,5,5
70,5,7,8,1,5,5,9,8,2,5,2
71,6,4,5,0,1,3,6,7,2,4,1
72,2,2,3,-4,-1,1,2,4,1,3,-2
73,2,0,1,-5,-1,0,-1,3,0,1,-3
74,-1,-4,-2,-4,-2,-2,-2,3,-3,0,-4
75,-2,-4,-2,-5,-3,-2,-6,1,-4,-4,-4
76,-4,-7,-4,-7,-4,-6,-10,-4,-3,-3,-7
77,-7,-9,-6,-8,-8,-8,-11,-6,-8,-7,-10
78,-6,-9,-9,-9,-9,-11,-13,-5,-10,-9,-12
79,-11,-9,-9,-8,-10,-13,-15,-8,-10,-9,-14
80,-10,-12,-9,-9,-13,-14,-19,-12,-12,-12,-13
81,-13,-11,-10,-11,-13,-14,-18,-12,-14,-12,-12
82,-11,-11,-13,-10,-13,-16,-17,-14,-14,-14,-13
83,-12,-10,-11,-9,-14,-16,-16,-15,-13,-14,-11
84,-13,-12,-10,-8,-13,-15,-18,-15,-13,-14,-13
85,-14,-11,-11,-9,-11,-16,-14,-16,-12,-14,-11
86,-12,-11,-10,-8,-14,-14,-13,-17,-13,-17,-12
87,-12,-12,-11,-7,-15,-10,-11,-17,-10,-16,-11
88,-9,-10,-10,-8,-14,-10,-8,-16,-8,-14,-9
89,-8,-9,-8,-8,-11,-8,-5,-14,-9,-12,-9
90,-7,-5,-7,-2,-8,-5,-2,-13,-7,-14,-4
91,-4,-4,-5,-4,-5,-3,0,-10,-5,-10,-2
92,-3,1,-4,-2,-3,1,5,-7,-2,-7,1
93,-1,-2,-3,0,1,4,6,-4,-2,-5,1
94,3,0,0,0,3,5,8,-2,-1,-2,4
95,2,3,2,5,5,8,12,2,5,0,6
