,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,21,19,18,19,19,19,18,19,18,20,19,22,18,17,21,21,21,19,20,21
1,22,21,21,20,21,21,20,20,21,20,20,24,20,20,23,21,20,20,22,21
2,21,21,20,20,18,20,19,19,24,20,19,21,20,17,25,20,20,22,22,21
3,20,20,18,19,16,19,18,19,24,17,20,20,19,18,22,21,20,20,21,21
4,23,21,19,19,17,22,16,20,23,18,19,17,20,17,24,17,20,20,19,22
5,20,21,18,17,18,19,14,19,21,19,19,19,19,17,26,14,19,20,17,20
6,18,17,16,17,17,19,16,20,20,19,18,17,17,16,26,15,18,19,16,21
7,20,14,13,13,16,17,15,21,19,16,20,14,15,15,25,12,16,19,15,21
8,19,14,11,14,18,15,17,17,18,15,18,11,14,12,22,8,17,19,14,18
9,16,9,8,11,15,10,16,18,16,17,16,10,11,7,18,5,15,16,10,18
10,13,8,7,12,14,9,13,15,13,13,15,4,13,5,17,6,10,13,8,13
11,11,6,6,9,11,6,11,15,10,9,12,2,8,2,15,3,9,11,6,9
12,9,4,5,5,10,7,11,12,8,7,10,3,7,0,12,2,9,8,5,8
13,8,1,5,4,8,7,9,11,5,7,6,0,4,-1,9,2,9,7,3,4
14,2,1,2,3,5,5,7,9,3,5,5,-1,5,-2,9,-1,4,3,2,4
15,1,0,3,0,9,3,6,6,2,6,4,0,1,-6,3,-2,4,2,2,3
16,-4,-4,4,-1,7,1,7,1,-1,6,4,-4,1,-6,2,-4,2,3,1,1
17,-3,-4,1,-3,3,1,3,-1,-2,2,2,-5,-1,-8,-1,-3,-1,1,2,-1
18,-6,-6,0,-3,3,0,2,-4,-6,3,-2,-3,-2,-11,-3,-6,-1,2,-2,-4
19,-6,-6,-1,-5,1,-6,0,-9,-6,2,-3,-5,-4,-11,-7,-7,-5,0,-4,-4
20,-5,-8,-2,-8,-1,-5,-2,-11,-6,-2,-5,-7,-2,-12,-7,-8,-4,-3,-8,-5
21,-7,-6,-2,-7,0,-6,-5,-13,-7,-1,-7,-5,-5,-15,-7,-8,-4,-5,-6,-6
22,-11,-6,-4,-9,-3,-8,-5,-16,-6,-1,-7,-6,-8,-11,-10,-10,-4,-4,-7,-7
23,-11,-13,-6,-11,-5,-11,-4,-17,-8,-3,-9,-5,-9,-13,-11,-9,-8,-4,-10,-9
24,-12,-15,-9,-12,-6,-7,-6,-18,-10,-5,-10,-8,-9,-13,-14,-12,-9,-5,-10,-5
25,-14,-16,-13,-16,-6,-14,-8,-22,-11,-7,-12,-8,-12,-12,-15,-11,-10,-9,-14,-7
26,-16,-16,-11,-16,-10,-15,-10,-23,-11,-8,-12,-10,-12,-15,-13,-13,-13,-9,-13,-6
27,-17,-16,-13,-16,-10,-16,-11,-23,-12,-10,-14,-14,-14,-14,-12,-15,-15,-12,-15,-7
28,-16,-19,-15,-16,-11,-17,-14,-22,-12,-13,-15,-15,-16,-13,-15,-17,-15,-11,-16,-10
29,-17,-19,-16,-15,-13,-20,-14,-23,-13,-14,-15,-16,-15,-15,-16,-13,-16,-11,-15,-13
30,-18,-14,-17,-14,-17,-18,-15,-21,-13,-15,-15,-14,-16,-13,-14,-13,-17,-14,-17,-12
31,-19,-14,-21,-15,-16,-16,-14,-20,-11,-18,-16,-15,-15,-11,-16,-12,-17,-14,-13,-15
32,-19,-14,-20,-13,-15,-16,-15,-16,-11,-17,-16,-16,-15,-12,-16,-10,-14,-14,-12,-16
33,-20,-11,-21,-14,-17,-15,-14,-17,-11,-18,-12,-13,-13,-8,-16,-11,-15,-12,-13,-14
34,-20,-11,-19,-10,-17,-17,-17,-15,-12,-17,-14,-12,-10,-7,-15,-10,-12,-10,-13,-15
35,-15,-10,-23,-6,-18,-15,-19,-12,-12,-18,-12,-12,-9,-5,-16,-10,-14,-11,-9,-13
36,-12,-6,-21,-8,-19,-12,-19,-11,-12,-20,-11,-9,-7,-3,-14,-10,-10,-11,-9,-11
37,-12,-6,-19,-8,-19,-10,-18,-9,-11,-21,-10,-8,-6,-3,-14,-7,-9,-11,-9,-9
38,-11,-5,-18,-6,-19,-9,-20,-6,-11,-19,-9,-7,-6,-1,-10,-5,-10,-8,-5,-9
39,-7,-2,-16,-5,-19,-2,-19,-1,-11,-16,-8,-8,-5,0,-9,-5,-8,-7,-4,-9
40,-2,-3,-14,-5,-15,-2,-19,1,-8,-14,-8,-6,-6,3,-8,-6,-5,-6,-6,-4
41,-4,-2,-12,-5,-17,-2,-16,3,-6,-11,-6,-6,-2,2,-4,-1,-2,-7,-4,-4
42,-4,-2,-8,-3,-14,2,-14,5,-5,-8,-5,-3,-3,3,-1,-2,-2,-4,-2,-3
43,0,1,-5,0,-11,2,-11,7,-5,-6,-4,-3,-4,6,-3,-2,-1,-4,-2,-3
44,5,2,-5,-1,-9,2,-8,9,-5,-3,-2,0,-1,7,-2,0,0,-3,0,-1
45,2,4,-1,1,-9,4,-4,9,-2,0,-3,1,-2,5,0,1,1,-3,4,-2
46,5,6,2,3,-7,5,-4,14,-2,1,-1,2,0,6,1,2,2,-1,2,-1
47,8,7,5,3,-3,8,-1,13,0,3,1,3,2,6,4,4,3,1,7,1
48,9,10,7,6,-2,5,4,15,1,7,3,7,4,9,7,5,2,2,9,0
49,10,9,11,6,2,8,7,16,4,11,4,7,5,9,8,9,4,0,10,1
50,11,10,13,9,6,9,10,18,6,14,7,7,7,9,9,9,8,4,11,4
51,12,11,17,11,10,8,13,18,7,16,8,9,8,9,12,11,9,7,11,6
52,12,12,16,13,13,10,14,18,10,18,10,11,12,11,14,14,11,6,13,7
53,14,10,18,13,16,12,16,14,10,17,11,14,14,7,12,12,12,11,14,8
54,15,10,19,16,19,12,19,15,12,19,12,14,14,7,12,15,11,10,14,10
55,12,15,21,14,18,12,22,15,13,21,15,16,17,8,14,15,12,14,17,12
56,14,14,19,14,18,12,23,16,13,22,15,15,18,9,18,17,15,12,15,12
57,15,14,21,14,20,12,22,14,11,21,15,16,15,7,20,17,15,16,13,13
58,13,12,22,13,24,13,24,13,14,22,17,14,11,6,20,16,13,18,12,16
