,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,19,18,15,19,18,17,17,18,18,19,18,17,17,15
1,20,20,20,22,20,20,21,20,20,21,20,20,20,20
2,22,21,22,20,19,18,21,18,19,19,19,18,19,20
3,23,21,19,22,19,15,19,20,20,18,18,16,17,20
4,21,19,19,23,17,15,19,17,21,17,18,15,16,21
5,21,21,21,22,18,12,19,18,19,18,17,12,15,17
6,18,21,19,20,15,13,17,17,16,17,14,9,15,17
7,16,19,16,19,15,11,15,14,14,15,10,7,13,17
8,13,18,13,17,10,11,11,13,13,10,10,7,14,14
9,9,14,11,13,8,9,8,9,10,8,9,6,11,10
10,9,12,10,12,5,10,6,5,6,4,7,6,10,10
11,3,10,7,11,0,8,4,4,5,4,4,5,4,10
12,3,7,7,5,-3,8,4,5,2,4,5,3,4,7
13,-2,4,8,2,-2,8,6,3,-1,3,7,2,1,4
14,-4,2,7,-1,-7,8,3,2,-3,3,4,1,-1,4
15,-8,-3,2,-4,-11,4,2,1,-7,4,3,-2,-2,3
16,-12,-5,-1,-9,-11,5,1,2,-12,1,1,-6,-2,0
17,-13,-6,-3,-13,-13,3,-2,1,-14,0,-4,-5,-4,1
18,-14,-7,-4,-12,-13,3,-3,-1,-13,-2,-7,-7,-5,-1
19,-15,-11,-7,-14,-16,2,-5,-4,-14,-5,-10,-8,-5,-7
20,-17,-13,-8,-15,-16,0,-6,-4,-18,-6,-9,-11,-5,-7
21,-16,-15,-9,-19,-16,-5,-5,-6,-18,-9,-11,-11,-5,-9
22,-20,-18,-11,-19,-18,-8,-7,-8,-20,-9,-9,-14,-8,-9
23,-21,-19,-12,-20,-19,-7,-7,-9,-21,-11,-15,-17,-9,-8
24,-22,-20,-14,-20,-21,-8,-9,-12,-21,-12,-16,-18,-5,-9
25,-22,-23,-16,-20,-22,-10,-12,-12,-19,-14,-20,-18,-7,-9
26,-22,-25,-18,-25,-24,-13,-14,-13,-19,-14,-19,-20,-8,-11
27,-20,-24,-17,-24,-23,-14,-16,-16,-23,-17,-20,-18,-9,-16
28,-20,-26,-14,-23,-19,-11,-17,-16,-19,-18,-16,-15,-10,-15
29,-18,-23,-12,-19,-16,-13,-18,-17,-20,-19,-16,-15,-10,-18
30,-18,-21,-12,-21,-18,-13,-15,-16,-19,-17,-11,-15,-9,-18
31,-18,-21,-12,-21,-17,-14,-15,-17,-18,-14,-11,-13,-8,-15
32,-15,-20,-13,-16,-14,-14,-12,-15,-16,-12,-12,-11,-8,-16
33,-15,-19,-12,-15,-13,-14,-12,-15,-12,-12,-11,-10,-7,-15
34,-11,-15,-12,-13,-9,-14,-12,-13,-9,-12,-11,-11,-7,-10
35,-6,-12,-9,-9,-5,-14,-12,-13,-6,-12,-11,-10,-7,-9
36,-3,-9,-11,-9,-2,-15,-12,-11,-4,-11,-12,-8,-6,-10
37,-2,-3,-8,-5,-1,-15,-10,-11,0,-8,-9,-7,-7,-11
38,1,0,-6,-4,2,-15,-10,-13,2,-7,-5,-4,-5,-10
39,4,1,-2,1,5,-14,-7,-7,2,-3,-5,-1,-6,-8
40,3,4,-2,3,6,-15,-4,-6,6,-3,-5,-2,-3,-6
41,4,6,1,2,7,-14,-1,-3,7,-4,-1,2,-1,-6
42,8,8,-1,6,9,-10,-2,-3,9,-5,-1,1,-1,-3
43,7,10,1,7,13,-12,0,-4,9,-1,-1,2,-1,1
44,12,13,3,10,12,-8,0,-4,9,-1,1,6,-1,-1
45,13,14,6,11,15,-2,1,-3,11,0,3,7,-3,1
46,12,15,7,14,15,-2,2,-2,14,0,5,9,-3,-2
47,11,15,8,15,12,0,6,2,16,4,8,12,-5,0
