,0
0,16
1,20
2,20
3,21
4,21
5,18
6,15
7,15
8,12
9,11
10,7
11,7
12,4
13,0
14,0
15,-6
16,-7
17,-9
18,-12
19,-10
20,-15
21,-13
22,-14
23,-13
24,-13
25,-14
26,-11
27,-11
28,-10
29,-10
30,-10
31,-9
32,-8
33,-4
34,-1
35,-2
36,-1
37,2
38,4
39,3
40,4
41,7
42,6
43,7
44,8
45,6
46,5
47,8
48,8
49,8
50,7
51,8
52,8
53,6
54,6
55,8
56,7
57,8
58,5
59,3
60,4
61,5
62,5
63,3
64,3
65,2
66,2
67,2
68,2
69,1
70,-1
71,-2
72,-4
73,-6
74,-7
75,-8
76,-11
77,-11
78,-12
79,-12
80,-13
81,-11
82,-13
83,-14
84,-9
85,-8
86,-7
87,-5
88,-2
89,2
90,2
91,3
92,4
93,7
94,9
95,9
96,11
97,11
98,13
99,15
100,17
101,16
102,12
103,12
104,13
105,13
106,9
107,8
108,8
109,6
110,4
111,1
112,3
113,2
114,-1
115,-3
116,-4
117,-6
118,-6
119,-8
120,-9
121,-10
122,-8
123,-9
124,-9
125,-8
126,-8
127,-10
128,-7
129,-7
130,-7
131,-6
132,-6
133,-4
134,-4
135,-3
136,-1
137,-2
138,-1
139,0
140,3
141,4
142,5
143,7
144,11
145,9
146,9
147,10
148,11
149,11
150,10
151,10
152,11
153,9
154,10
155,7
156,8
157,8
158,8
159,7
160,10
161,9
162,5
163,3
164,1
165,-1
166,-4
167,-5
168,-5
169,-7
170,-11
171,-11
172,-12
173,-13
174,-13
175,-12
176,-10
177,-9
178,-9
179,-9
180,-5
181,-6
182,-5
183,-7
184,-5
185,-4
186,-3
187,-1
188,-1
189,0
190,1
191,3
192,4
193,6
194,5
195,7
196,7
197,7
198,6
199,8
200,8
201,7
202,7
203,8
204,8
205,8
206,10
207,9
208,6
209,7
210,6
211,4
212,4
213,4
214,4
215,3
216,0
217,0
218,-2
219,-3
220,-5
221,-4
222,-3
223,-7
224,-8
225,-8
226,-9
227,-11
228,-9
229,-8
230,-10
231,-10
232,-9
233,-10
234,-10
235,-9
236,-7
237,-4
238,-4
239,-1
240,2
241,1
242,3
243,3
244,4
245,3
246,6
247,6
248,6
249,8
250,10
251,12
252,12
253,12
254,12
255,12
256,12
257,12
258,11
259,10
260,9
261,9
262,7
263,6
264,4
265,2
266,2
267,3
268,2
269,-2
270,-3
271,-2
272,-3
273,-5
274,-8
275,-6
276,-5
277,-6
278,-8
