,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,19,21,18,22,19,21,20,18,19,18,19,20,20,17,19,25,17,25,20,19,22,20,20,22,17,21,19,19,19,21,16,22,19,21,20,19,18,19,19,17,22,18,20,18,21,19,21,17,20,22,22,20,17,22,17,22,18,18,20,18,21,20,21,17,17,19,16,19,19,16,20,20,18,16,21,17,17,19,19,18,20,19,15,19,16,18,18,22,19,19,17,19,20,18,19,19,20,19,18,22,20,21,20,17,15,18,19,18,17,19,20,20,17,21,19,19,18,18,19,19,19,19,17,18,18,17,18,18
1,20,20,21,22,30,24,21,22,21,20,23,23,23,22,20,28,21,24,25,22,21,22,20,23,20,20,21,22,21,22,20,20,20,21,20,20,21,22,20,20,21,20,21,20,23,21,22,23,22,22,22,20,21,24,20,25,23,20,20,20,21,20,20,20,20,20,20,21,21,21,21,20,20,20,20,21,21,22,20,20,21,21,20,21,20,20,21,22,20,21,20,20,21,22,20,20,21,23,20,21,21,23,20,21,20,22,20,21,20,21,20,20,21,25,20,20,20,21,22,21,20,21,20,20,21,20,21,22
2,22,17,18,23,33,26,23,22,21,20,19,24,24,23,18,28,24,27,24,23,22,22,18,23,20,23,20,23,18,23,17,18,18,20,18,20,21,20,17,21,20,19,21,20,25,22,28,25,24,23,20,19,22,28,24,24,22,21,17,20,20,21,16,17,16,19,20,21,21,22,19,19,20,22,19,24,20,21,16,21,21,18,21,22,18,17,21,22,19,22,19,20,20,21,18,18,21,21,17,19,21,23,19,20,18,23,18,17,18,20,20,18,19,26,18,22,20,19,22,22,17,18,21,19,23,18,19,20
3,21,17,16,23,36,24,22,22,19,19,19,26,24,22,20,27,26,25,25,22,23,20,15,22,21,24,19,26,14,19,18,17,16,20,17,21,21,21,17,20,18,17,21,20,25,23,27,24,26,24,19,20,24,28,26,25,20,19,15,15,19,21,17,16,14,19,23,23,23,23,17,17,20,23,16,25,20,20,17,21,18,20,21,23,18,17,21,20,17,22,18,19,18,21,20,13,23,20,13,16,21,21,16,21,17,22,18,14,18,18,18,14,20,24,20,20,19,16,18,20,19,20,19,19,20,17,16,19
4,18,16,13,24,37,22,21,24,17,15,15,23,20,20,17,23,28,20,24,24,22,21,14,23,20,22,16,27,14,18,20,14,16,17,14,18,22,19,16,20,16,18,21,22,24,21,23,25,26,23,18,19,22,27,28,24,21,18,11,8,19,17,14,13,10,17,20,23,24,24,19,13,19,24,14,23,18,22,17,18,17,19,20,23,19,15,18,17,15,21,16,16,16,19,17,12,22,21,12,16,20,22,16,18,18,23,16,13,15,16,15,12,17,25,22,20,20,16,21,20,17,15,19,16,21,14,15,18
5,16,12,10,19,37,18,16,24,12,14,12,24,17,20,17,19,30,16,23,24,20,20,9,22,22,23,17,27,11,16,16,14,15,13,11,16,18,17,11,17,14,14,16,17,24,19,25,23,27,23,18,18,21,25,26,21,19,16,8,3,21,14,10,12,6,13,20,21,23,21,18,12,22,22,13,23,20,19,16,16,14,17,19,21,22,12,18,17,14,19,13,14,16,20,15,7,22,20,7,14,21,19,15,16,18,17,14,11,16,14,13,13,14,23,21,18,21,19,21,18,19,16,19,13,21,11,15,15
6,14,8,8,15,33,16,13,21,9,12,6,21,14,17,14,13,27,11,22,21,13,19,4,23,19,21,14,26,7,11,15,15,14,10,6,13,16,14,8,11,8,11,14,13,21,16,22,19,21,21,14,18,18,21,21,18,15,12,3,-1,18,9,8,8,1,10,18,20,22,20,14,8,20,19,9,24,15,16,15,15,13,16,19,19,20,9,16,14,13,14,9,10,13,21,14,6,22,17,6,15,18,17,12,14,15,17,12,9,12,10,10,10,12,21,17,18,18,17,17,18,18,14,16,12,17,9,12,12
7,11,4,5,6,31,12,5,19,4,9,2,17,8,15,11,7,22,6,20,20,10,15,-1,21,22,19,15,26,7,8,16,13,14,6,1,8,14,10,3,7,5,10,10,11,18,13,17,15,19,14,12,18,18,18,19,13,7,9,0,-6,20,8,5,4,0,7,16,17,19,15,10,6,19,14,5,25,15,14,12,13,9,15,18,15,19,6,12,10,7,11,9,7,12,16,9,2,20,12,2,12,16,14,10,11,14,17,10,4,9,9,2,7,10,20,15,16,18,15,16,16,15,11,13,6,15,6,11,10
8,5,1,-1,1,23,5,1,17,1,4,0,12,4,10,11,2,17,1,18,17,9,17,-5,20,19,15,14,25,5,5,13,9,12,0,-3,2,9,4,-1,2,-1,7,8,7,13,7,16,12,15,10,10,13,15,11,15,11,3,4,-5,-8,19,5,4,1,-4,1,12,16,12,15,10,3,15,11,2,20,12,10,7,9,5,11,18,15,20,4,10,9,5,8,7,3,7,14,6,-1,20,11,-1,9,13,14,6,9,14,14,5,1,9,5,-1,6,8,17,13,16,17,13,16,13,15,9,13,3,12,3,6,6
9,3,-1,2,-4,16,-4,-4,11,-4,3,-5,5,-2,5,10,-1,15,-5,12,13,4,13,-9,16,16,13,15,22,3,0,12,11,11,-3,-5,0,2,3,-3,0,-5,2,4,6,11,2,11,9,11,3,7,12,5,5,10,7,-1,-1,-8,-15,18,4,1,-4,-8,-2,10,11,10,12,6,-1,13,8,-2,19,10,7,6,4,3,10,14,13,19,1,7,8,3,3,2,0,5,8,2,-2,17,9,-3,1,11,9,3,7,11,12,1,0,4,1,-3,4,6,10,11,14,16,12,14,11,12,3,8,-1,8,-1,4,3
