,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
0,34,42,36,44,41,43,33,42,71,33,40,39,41,33,28,29,36,29,46,37,34,46,45,40,35,29,38,37,40,38,23,31,42,26,32,31,32,39,39,46,28,40,40,43,35,34,34,42,44,39,30,35,28,43,26,28,45,36,31,33,41,41,28,46,41,42,42,45,45,47,40,28,26,44,20,20,41,28,34,42,31,24,32,31,38,37,45,28,31,23,42,30,46,38,39,21,38,38,39,42,40,26,42,40,34,42,41,34,43,38,44,35,35,44,26,35,43,36,27,44,42,38,29,35,33,41,18,39,37,33,25,38,37,33,37,35,42,23,26,43,47,25,40,42,40,31,34,43,40,35,40,32,22,35,43,42,46,46,41,43,37,39,46,45,39,43,38,40,43,40,31,42,42,28,28,30,29,23,27,26,33,9,41,37,38,36,18,2,23,24,16,14,38,22,20,21,26,38,25,10,4,22
1,40,43,41,40,43,47,57,43,77,42,43,50,41,40,41,40,40,40,44,46,42,42,41,41,40,44,40,41,42,41,40,41,40,42,45,40,47,43,42,40,40,41,41,47,44,45,44,41,42,42,40,42,41,43,42,43,42,43,43,44,40,41,41,43,41,42,46,40,41,46,40,41,43,40,40,41,40,45,40,42,41,42,47,43,44,41,41,41,44,41,43,44,46,40,41,40,44,43,43,46,43,44,45,44,44,45,46,43,47,45,42,41,45,40,43,41,41,40,44,40,41,43,44,41,43,42,40,42,42,46,40,47,40,41,40,43,43,40,46,45,41,41,45,43,47,40,44,42,42,42,40,44,43,40,41,43,43,43,43,41,42,43,45,42,40,43,45,41,45,40,42,41,41,43,44,40,40,42,42,43,42,44,46,41,40,40,43,40,40,46,45,43,42,45,40,43,41,40,45,44,41,49
2,30,37,39,34,41,49,61,46,84,36,31,53,31,31,42,38,30,37,32,39,34,29,28,27,36,42,27,33,30,34,43,33,26,44,42,45,37,39,32,24,40,29,29,35,37,41,36,26,33,33,41,35,49,31,41,40,26,38,43,38,31,29,40,29,34,29,36,27,28,33,33,37,43,29,43,46,30,46,32,35,37,43,43,38,38,34,29,41,45,45,32,41,33,31,32,43,34,34,32,35,35,43,35,32,38,36,38,35,34,41,31,36,42,27,44,31,32,36,43,27,31,37,49,34,49,32,44,35,34,44,44,40,32,38,29,37,36,43,46,36,28,43,36,30,36,35,41,31,35,38,27,37,45,34,29,29,32,27,35,27,36,37,32,25,27,30,39,33,35,28,38,29,32,42,43,38,36,42,40,45,37,48,48,47,41,44,12,34,23,39,18,18,31,40,26,9,30,23,37,18,25,44
3,12,24,32,23,40,56,61,46,112,27,21,43,21,13,31,27,15,21,11,27,20,7,9,17,18,31,10,23,16,20,35,21,5,33,30,38,26,23,20,9,30,18,18,20,25,28,22,16,21,21,31,25,42,15,33,28,8,25,31,25,20,15,31,15,21,13,24,16,11,15,21,23,28,18,36,38,17,34,17,15,25,32,29,27,23,21,14,28,34,36,20,23,13,13,18,33,21,17,19,21,17,33,18,20,26,23,27,22,22,30,16,25,30,15,32,12,21,23,31,13,19,24,45,22,42,15,35,21,20,30,33,27,15,27,10,24,22,33,39,19,14,30,22,17,21,22,26,13,23,25,13,26,33,21,9,16,17,6,21,11,21,23,16,7,6,17,25,19,21,13,25,17,18,28,37,30,24,39,32,33,21,55,51,51,35,49,-19,-9,14,11,-19,-21,19,12,14,-25,18,23,11,-23,-18,14
4,2,8,16,0,34,56,69,45,141,12,6,24,6,-6,18,15,0,1,-11,13,2,-11,-14,4,0,16,-9,12,3,10,21,9,-16,19,18,22,15,5,2,-13,16,7,6,0,14,16,9,4,9,9,10,15,26,-5,16,14,-9,14,19,13,7,3,20,-3,10,-5,12,2,-9,-5,9,10,17,1,24,24,6,21,-5,-4,6,20,17,17,8,9,3,13,20,25,7,11,-7,-8,7,19,6,-4,-2,3,-2,19,-2,11,16,9,16,11,8,17,4,11,17,-1,22,-6,7,-1,19,-2,4,12,31,1,24,-4,20,7,8,20,20,14,-6,10,-10,14,1,20,25,1,1,19,10,5,9,1,13,-6,11,11,2,13,23,5,-8,2,5,-12,8,-9,-2,2,-7,-14,-13,6,13,8,8,-6,16,2,0,14,25,15,11,25,23,22,10,65,50,56,35,56,-1,-18,22,-2,-9,-12,16,2,18,-5,27,28,-1,-11,-17,-1
5,-7,-14,-5,-20,30,57,72,46,151,-2,-12,1,-11,-25,9,0,-21,-21,-28,-3,-17,-29,-30,-11,-20,5,-27,-7,-15,-11,11,-5,-33,2,2,-1,-3,-16,-16,-28,5,-11,-12,-18,-2,1,-6,-13,-9,-7,-11,-3,6,-24,3,4,-25,2,4,0,-12,-16,6,-24,-7,-26,-3,-17,-28,-23,-9,-2,6,-16,10,12,-11,7,-25,-24,-15,5,4,3,-2,-8,-16,1,9,11,-10,-1,-27,-27,-8,5,-11,-22,-23,-17,-20,7,-21,-7,1,-7,1,-2,-11,2,-16,-4,5,-19,10,-25,-11,-19,8,-21,-13,-3,7,-19,3,-27,10,-10,-5,3,8,-2,-25,-8,-31,-2,-17,9,11,-19,-20,7,-6,-15,-8,-18,1,-25,-6,-4,-19,-1,8,-8,-28,-15,-12,-31,-7,-29,-24,-22,-27,-33,-31,-13,-2,-10,-8,-25,-1,-15,-19,4,9,-1,0,11,5,5,-4,48,50,61,33,55,25,14,18,4,19,20,10,7,19,24,21,11,4,18,16,5
6,-19,-32,-27,-34,24,57,81,40,144,-20,-24,-23,-26,-38,-9,-19,-33,-35,-39,-21,-32,-41,-38,-27,-38,-13,-43,-25,-29,-22,-6,-23,-40,-18,-15,-23,-15,-30,-32,-36,-12,-25,-28,-36,-19,-17,-25,-29,-27,-24,-28,-20,-16,-37,-12,-16,-35,-18,-13,-20,-27,-30,-11,-35,-24,-35,-18,-31,-37,-35,-26,-19,-13,-32,-3,-6,-26,-11,-39,-36,-33,-7,-15,-18,-21,-26,-29,-15,-7,-5,-27,-17,-38,-41,-22,-7,-27,-37,-35,-29,-36,-11,-34,-24,-17,-24,-21,-20,-28,-18,-32,-18,-16,-34,-5,-39,-25,-36,-9,-34,-25,-22,-17,-33,-20,-42,-5,-27,-25,-14,-8,-19,-38,-25,-42,-21,-31,-9,-6,-35,-31,-11,-23,-29,-24,-35,-17,-37,-25,-20,-29,-17,-9,-25,-35,-28,-27,-42,-27,-39,-37,-36,-35,-42,-43,-28,-20,-26,-26,-35,-18,-32,-30,-12,-18,-27,-17,-10,-22,-23,-22,7,51,64,30,60,6,20,-9,-8,10,12,-15,-8,-7,7,-9,-15,-11,9,16,-6
7,-29,-40,-36,-40,18,56,81,34,147,-35,-33,-39,-35,-42,-26,-34,-37,-44,-42,-31,-39,-42,-38,-30,-43,-30,-41,-33,-33,-32,-23,-34,-37,-31,-29,-34,-29,-37,-35,-38,-28,-35,-35,-40,-32,-27,-36,-35,-33,-33,-41,-32,-31,-34,-26,-30,-36,-28,-28,-31,-33,-35,-25,-38,-33,-37,-32,-37,-38,-34,-33,-30,-29,-37,-24,-21,-33,-28,-44,-36,-42,-26,-29,-31,-32,-36,-36,-33,-26,-23,-33,-32,-43,-41,-31,-25,-35,-41,-39,-34,-38,-24,-38,-33,-31,-34,-30,-31,-38,-30,-36,-32,-29,-37,-23,-42,-33,-44,-27,-39,-31,-33,-33,-41,-35,-39,-23,-34,-33,-29,-25,-32,-47,-37,-44,-32,-38,-25,-24,-40,-35,-28,-35,-38,-34,-44,-31,-38,-37,-32,-38,-31,-26,-32,-36,-31,-36,-39,-37,-37,-43,-42,-33,-41,-41,-32,-33,-35,-36,-38,-32,-37,-38,-32,-38,-45,-37,-34,-41,-41,-37,3,50,65,23,64,-17,-7,-27,-36,-15,-16,-35,-36,-29,-18,-27,-24,-39,-15,-11,-36
8,-30,-38,-38,-36,12,53,74,29,155,-36,-34,-46,-30,-32,-34,-35,-32,-40,-34,-34,-36,-35,-32,-29,-36,-35,-30,-34,-33,-34,-33,-33,-22,-36,-35,-40,-33,-34,-30,-27,-35,-35,-34,-36,-34,-34,-37,-32,-31,-37,-43,-35,-40,-26,-38,-35,-27,-35,-37,-35,-35,-34,-35,-30,-30,-29,-30,-34,-26,-29,-33,-34,-36,-32,-33,-33,-34,-33,-34,-26,-38,-33,-32,-33,-36,-37,-30,-39,-32,-33,-36,-35,-34,-31,-32,-37,-32,-31,-32,-29,-34,-31,-30,-32,-37,-36,-32,-36,-36,-34,-33,-35,-36,-33,-32,-31,-30,-36,-34,-33,-29,-34,-42,-35,-43,-29,-35,-36,-35,-34,-35,-35,-39,-35,-35,-34,-32,-31,-34,-33,-32,-38,-37,-36,-32,-38,-36,-34,-35,-37,-35,-36,-38,-32,-27,-32,-33,-29,-36,-30,-34,-36,-28,-32,-28,-32,-36,-35,-37,-31,-37,-34,-40,-42,-40,-47,-43,-45,-44,-47,-43,60,51,62,24,67,-8,-19,-19,-45,-15,-14,-22,-43,-23,-13,-21,-14,-41,-15,-19,-42
9,-20,-27,-33,-25,6,51,67,23,149,-34,-31,-44,-26,-14,-33,-33,-19,-25,-16,-33,-28,-15,-15,-25,-21,-35,-17,-27,-24,-27,-36,-29,-6,-31,-34,-37,-33,-24,-20,-14,-30,-28,-27,-24,-30,-31,-32,-27,-23,-29,-32,-29,-40,-16,-35,-34,-12,-30,-33,-31,-26,-23,-34,-18,-24,-15,-24,-25,-14,-18,-27,-31,-33,-26,-35,-35,-29,-31,-19,-17,-26,-34,-34,-31,-30,-30,-22,-35,-32,-31,-25,-35,-21,-14,-25,-36,-28,-16,-21,-17,-21,-31,-18,-27,-33,-31,-27,-31,-28,-29,-28,-32,-32,-22,-30,-15,-24,-22,-29,-23,-22,-29,-41,-21,-40,-12,-35,-31,-28,-32,-33,-30,-22,-29,-17,-30,-22,-29,-36,-22,-22,-34,-27,-29,-28,-26,-33,-18,-29,-35,-25,-33,-35,-28,-13,-26,-29,-13,-27,-19,-22,-21,-12,-13,-11,-23,-30,-29,-30,-18,-29,-28,-30,-33,-36,-38,-35,-45,-38,-42,-34,69,50,60,18,73,10,0,-12,-19,0,3,-3,-21,-14,8,-17,-10,-18,2,0,-18
