,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,37,45,34,39,42,40,36,26,42,39,38,40,45,37,39,40,40,45,35,40,36,42,42,41,35,38,37,39,36,40,39,42,37,42,36,40,36,39,38,41,37,38,41,43,41,40,40,38,41,36,39,43,40,40,36,47,44,40,40,43,37,39,42,41,41,37,39,42
1,43,44,41,42,46,46,52,41,62,42,43,45,46,40,44,44,43,48,41,46,40,45,44,43,42,43,40,42,40,40,41,42,40,42,40,42,40,40,40,43,42,41,40,43,44,42,41,40,44,40,41,45,42,40,40,50,48,42,42,47,46,40,41,40,40,40,40,44
2,45,45,45,47,48,46,59,36,76,42,47,48,49,44,46,47,44,49,44,49,41,47,48,47,43,48,42,42,39,39,37,40,38,40,43,41,40,38,43,41,41,43,46,45,45,41,41,40,45,41,42,49,45,41,40,52,50,45,43,50,57,40,39,38,36,41,37,42
3,49,45,49,49,52,47,64,19,77,40,53,48,48,45,47,45,47,50,46,46,38,47,55,50,47,53,42,41,40,36,35,39,38,40,41,43,42,37,42,38,39,44,45,44,45,39,36,37,45,38,41,50,43,42,45,56,52,44,43,52,66,41,38,39,33,40,36,43
4,48,43,49,49,48,45,71,14,80,36,53,49,47,45,47,44,47,46,46,45,34,42,57,49,48,55,42,42,40,33,30,36,34,36,41,39,41,35,41,35,33,44,45,41,44,36,31,35,44,36,43,47,43,42,44,56,53,43,44,52,74,40,38,38,29,41,33,41
5,44,37,47,45,43,42,79,20,91,33,50,45,43,44,48,42,44,43,45,43,33,38,61,48,49,57,39,42,39,30,26,29,33,31,40,35,38,28,37,30,31,43,43,39,42,33,26,33,40,33,41,45,42,42,44,58,52,40,40,51,82,35,34,33,24,38,30,38
6,39,28,45,41,36,37,79,5,106,25,45,41,39,40,42,39,41,38,42,37,26,32,64,49,51,57,39,39,30,25,24,23,31,27,37,30,33,23,31,26,27,39,38,37,41,30,16,27,35,28,42,45,45,40,41,55,49,40,42,47,96,32,30,29,16,36,26,30
7,29,21,36,34,28,32,82,-11,107,16,42,35,30,35,35,31,32,33,38,29,20,27,66,45,48,54,35,36,27,23,18,17,29,20,31,21,29,15,27,21,23,35,34,34,35,22,11,22,33,22,40,40,42,37,40,52,48,37,40,43,103,26,26,22,12,37,22,24
8,22,12,29,27,20,22,85,-8,96,8,36,27,22,28,28,25,28,25,32,24,13,14,69,41,47,55,32,32,22,19,16,7,26,14,28,13,22,8,22,14,17,31,27,26,31,16,4,15,26,15,39,38,43,38,38,47,45,34,36,42,113,22,18,16,5,35,19,17
9,12,-2,21,18,8,13,81,6,88,0,26,19,13,17,18,19,20,14,25,15,5,7,71,35,45,49,26,33,15,14,9,2,22,9,23,4,19,-1,16,8,10,26,21,22,26,9,-3,10,23,9,37,34,40,35,33,44,42,30,35,39,119,16,14,10,-2,31,18,9
