,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
0,51,40,38,42,37,39,40,41,37,40,37,37,39,40,39,38,39,40,38,38,36,40,39,38,38,39,40,42,37,39,37,41,37,42,38,41,38,38,37,37,39,40,39,41,39,38,37,38,40,40,37,36,37,40,34,38,38,39,37,39,39,39,41,38,40,37,39,39,40,38,39,38,40,39,39,38,40,39,37,41,40,40,39,38,39,39,38,41,40,38,42,38,39,39,38,39,38,39,37,39,42,41,40,41,37,39,41,37,41,37,39,37
1,60,56,40,42,40,40,40,40,40,41,42,44,43,41,41,41,42,42,42,41,40,41,41,42,41,40,40,41,40,40,40,40,41,40,40,40,40,40,40,40,42,41,40,41,41,42,40,40,41,41,40,40,40,40,40,40,41,42,40,40,40,40,41,41,40,41,42,41,41,40,40,40,42,40,40,40,41,40,40,40,41,41,40,40,40,41,40,45,40,41,41,40,40,43,40,40,40,41,40,41,40,41,42,40,40,40,40,40,40,41,40,41
2,68,73,40,42,40,39,39,38,37,39,42,45,41,40,39,38,40,39,41,38,40,37,40,42,42,36,39,37,40,40,42,36,40,36,39,36,38,41,41,39,40,39,39,39,44,38,38,38,40,40,39,41,40,38,38,36,40,41,38,37,38,42,40,41,38,39,42,41,42,41,39,41,41,39,40,43,39,38,38,40,40,37,41,38,38,41,38,46,38,38,40,38,39,46,39,37,39,38,40,42,38,36,40,40,38,40,38,40,39,40,40,40
3,78,79,39,42,38,37,37,36,35,38,43,41,38,37,38,37,37,36,41,34,42,37,39,41,41,36,37,35,42,40,39,36,41,34,37,33,33,39,43,40,38,38,40,35,41,37,40,34,40,37,42,39,40,37,38,33,41,37,40,35,39,39,39,40,36,41,41,40,37,40,38,38,40,38,39,42,40,34,37,37,38,35,37,36,36,40,38,45,36,38,42,35,40,47,40,39,34,36,41,41,35,34,39,38,38,35,34,39,38,41,38,43
4,85,77,40,40,37,32,35,35,36,37,42,39,36,36,37,34,34,34,35,33,39,34,40,39,40,32,37,34,43,39,36,32,38,32,36,28,31,37,42,39,36,36,37,34,40,37,37,32,40,36,43,41,43,35,40,29,40,33,41,35,37,37,38,39,36,41,39,39,39,40,36,42,38,38,36,41,40,31,32,37,35,34,36,33,34,37,36,44,34,36,40,34,41,45,36,36,30,36,38,43,33,32,41,38,37,35,34,37,36,43,37,42
5,92,74,40,39,33,32,34,35,32,36,39,36,34,33,33,32,33,31,34,32,38,33,40,38,38,27,36,30,40,36,35,28,39,27,34,27,24,36,41,37,33,36,35,31,41,32,36,28,36,32,40,41,41,31,38,24,37,31,38,33,37,36,32,39,32,37,35,38,33,40,32,39,34,37,34,38,37,29,32,35,33,30,35,32,32,37,31,42,29,34,36,31,37,45,34,35,26,35,35,40,32,28,39,38,35,34,32,38,33,40,35,40
6,95,68,40,36,31,28,32,30,31,32,35,34,30,26,30,30,28,27,31,29,37,30,37,36,35,21,34,26,35,36,32,24,36,21,35,21,20,34,39,36,29,34,33,30,34,31,32,24,34,28,39,38,37,28,36,22,36,31,38,29,35,31,29,36,32,34,35,34,31,40,27,35,30,35,34,36,34,25,27,30,31,26,32,28,29,37,30,37,27,34,33,30,35,43,33,28,25,33,31,40,29,25,36,36,33,28,27,36,30,38,35,41
7,96,59,40,32,30,26,25,27,29,29,34,29,25,26,29,26,23,23,28,28,34,27,32,34,33,18,33,21,34,31,30,23,36,18,30,18,18,28,37,32,25,28,30,25,33,24,31,20,30,24,37,35,34,24,33,18,35,27,35,23,34,29,27,33,30,34,33,31,27,39,26,35,29,29,29,33,32,21,22,26,27,22,27,22,28,34,27,34,23,30,30,28,31,39,29,27,18,29,26,36,25,22,30,30,31,25,22,31,26,36,32,37
8,97,50,41,28,27,21,22,25,27,26,33,28,18,22,24,22,20,19,23,22,36,23,30,28,30,15,26,18,32,25,26,19,31,13,29,15,10,23,35,27,21,27,27,21,30,23,27,18,28,20,36,33,34,20,29,17,30,21,32,21,31,25,22,29,27,29,28,30,21,33,23,30,24,25,24,31,28,16,20,22,24,19,22,18,25,31,24,30,18,27,27,25,26,34,26,21,15,24,23,31,21,17,28,26,27,22,19,30,21,32,26,36
9,98,49,41,24,24,18,19,19,22,24,27,23,16,18,21,18,16,12,22,20,32,17,27,27,28,8,21,13,28,21,23,13,28,9,23,8,7,21,32,24,19,22,23,17,26,21,25,16,25,15,33,29,28,15,29,12,26,18,30,17,27,21,17,24,21,22,22,27,17,29,20,26,22,22,20,29,23,13,15,19,20,14,21,16,20,27,21,24,16,24,21,22,23,30,24,17,11,21,21,29,14,11,25,21,24,20,15,26,18,31,23,32
