,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,15,56,66,75,74,54,29,38,41,37,32,52,37,39,28,18,28,26,38,43,48,42,35,43,45,42,22,37,30,24,32
1,43,69,60,43,44,69,43,40,44,41,43,40,41,42,43,40,41,50,70,71,47,44,45,46,73,71,42,69,41,45,43
2,25,21,4,-15,-12,23,18,9,47,44,45,6,41,18,29,37,31,37,34,35,15,43,32,15,64,60,26,64,48,23,13
3,-4,-23,-36,-38,-38,-25,-2,-5,47,46,42,-27,37,-14,4,17,4,8,-16,-14,-5,42,-19,-47,28,24,-22,32,22,-25,-35
4,-2,-36,-36,-35,-36,-37,7,1,49,47,46,-55,34,-39,-22,-12,-27,-8,-30,-32,-13,38,-73,-79,-28,-30,-51,-23,-38,-51,-51
5,0,-27,-28,-22,-22,-30,-5,-17,49,51,50,-44,29,-42,-35,-35,-35,-16,-34,-37,-26,33,-75,-54,-82,-83,-33,-77,-77,-33,-22
6,-34,-14,-14,-4,-7,-17,-45,-54,47,54,40,-7,27,-15,-26,-38,-24,-32,-43,-43,-42,24,-19,9,-91,-89,5,-92,-56,3,11
7,-57,3,5,15,10,2,-48,-41,46,57,26,36,19,22,-3,-19,5,-42,-26,-23,-25,16,43,60,-36,-32,27,-43,2,25,31
8,-8,18,25,27,25,17,15,31,40,60,24,54,10,44,28,12,31,-4,31,37,32,10,77,76,41,44,41,34,57,39,45
9,64,30,36,40,35,32,70,71,37,60,19,41,9,37,42,36,39,55,75,74,70,0,71,57,86,89,48,84,78,47,47
10,67,41,40,34,32,42,47,40,35,64,-4,5,3,10,32,38,28,67,51,48,43,-9,38,11,82,80,29,80,61,23,14
11,13,21,11,-10,-8,22,-5,-19,30,64,-21,-31,-6,-17,4,17,4,20,-7,-10,-12,-16,-20,-54,38,36,-26,39,19,-33,-43
12,-29,-31,-43,-60,-60,-27,-37,-39,28,67,-20,-52,-8,-38,-27,-16,-22,-25,-44,-49,-34,-25,-79,-97,-24,-25,-76,-18,-41,-75,-76
13,-36,-68,-68,-62,-67,-68,-35,-33,27,70,-15,-41,-11,-38,-38,-33,-36,-33,-52,-52,-36,-31,-92,-81,-79,-80,-68,-72,-86,-64,-52
14,-30,-45,-30,-6,-14,-46,-26,-24,23,75,-20,-6,-16,-16,-28,-35,-28,-37,-37,-32,-44,-37,-44,-13,-92,-91,-15,-92,-80,-8,4
15,-14,18,34,48,42,16,-8,-5,19,75,-17,31,-18,20,-4,-16,2,-40,-6,-6,-29,-40,36,59,-50,-47,45,-54,-17,49,55
16,5,53,54,48,48,51,8,13,17,72,-10,48,-16,42,25,15,37,-8,24,24,28,-42,86,86,28,30,71,22,55,73,68
17,19,38,30,25,22,40,24,28,16,73,-10,42,-14,36,37,36,42,53,45,43,74,-42,89,64,80,82,63,78,84,61,51
18,32,15,11,10,7,14,38,36,15,74,-14,9,-13,8,26,36,21,77,45,43,57,-37,46,15,86,85,24,86,66,21,8
19,39,5,0,-2,-7,2,37,31,11,73,-7,-32,-12,-23,3,18,-7,37,14,12,-2,-32,-13,-47,44,42,-33,48,20,-32,-49
20,18,-18,-27,-34,-36,-16,0,-11,11,72,3,-52,-4,-50,-23,-10,-28,-18,-30,-34,-46,-28,-76,-93,-19,-21,-83,-12,-41,-81,-89
21,-37,-50,-52,-52,-52,-50,-50,-59,11,71,6,-39,-2,-48,-37,-31,-35,-50,-59,-61,-56,-22,-98,-87,-80,-80,-88,-69,-86,-81,-75
22,-68,-49,-38,-23,-27,-49,-64,-58,10,70,5,-1,3,-15,-32,-38,-28,-47,-41,-38,-42,-16,-57,-28,-99,-95,-34,-93,-85,-25,-6
23,-38,-3,10,29,25,-7,-19,-3,9,70,7,39,5,29,-2,-20,3,-28,4,6,-14,-9,21,54,-53,-53,46,-55,-31,49,65
24,26,43,50,58,58,41,40,48,10,68,19,57,10,52,31,19,34,6,39,41,19,0,79,93,23,23,87,20,43,85,87
25,55,56,55,50,49,56,50,48,10,65,29,46,15,44,41,40,44,34,44,44,41,5,91,83,82,82,81,79,86,74,67
26,35,38,30,14,18,37,25,23,8,65,31,9,16,17,24,33,26,49,28,26,42,13,55,28,93,90,40,92,75,29,17
27,14,-1,-12,-25,-25,-1,10,11,12,61,13,-32,15,-23,-5,6,-5,41,-2,-6,18,21,-10,-40,55,51,-18,60,29,-30,-42
28,2,-39,-44,-51,-52,-39,-4,-7,13,59,2,-52,17,-49,-25,-20,-33,3,-36,-38,-27,26,-74,-90,-17,-20,-72,-10,-37,-81,-85
29,-21,-51,-49,-42,-46,-53,-31,-40,16,55,3,-38,18,-49,-37,-32,-44,-42,-52,-52,-57,30,-100,-85,-83,-84,-84,-74,-84,-88,-78
30,-50,-29,-23,-11,-14,-31,-55,-53,20,51,-1,-3,14,-15,-30,-36,-26,-61,-31,-30,-45,29,-60,-25,-105,-106,-40,-101,-88,-37,-19
31,-45,0,7,21,17,1,-33,-22,21,48,-11,28,13,32,-3,-16,9,-33,6,8,-1,30,16,50,-61,-65,32,-64,-32,36,51
32,1,28,33,40,40,27,21,31,25,44,-6,45,12,52,30,17,37,14,34,34,36,27,81,94,20,19,81,14,39,82,88
33,47,48,51,45,49,48,53,57,24,41,0,38,10,46,44,42,42,39,41,39,44,25,97,89,92,90,85,85,85,79,75
34,57,48,39,27,30,48,52,50,28,38,-9,3,4,19,30,38,23,39,31,24,31,21,62,33,112,107,43,106,81,35,21
35,38,12,-3,-22,-18,11,22,13,31,31,-15,-42,-1,-21,-2,13,-8,18,-2,-7,2,18,-8,-43,66,64,-25,68,34,-27,-44
36,-2,-39,-50,-58,-57,-36,-19,-29,31,26,-3,-63,-7,-50,-32,-19,-32,-14,-36,-41,-30,16,-79,-99,-20,-20,-83,-10,-37,-82,-91
37,-39,-58,-58,-52,-51,-59,-51,-52,33,19,2,-47,-8,-50,-43,-40,-40,-48,-45,-50,-53,10,-111,-99,-95,-93,-97,-85,-94,-89,-83
38,-47,-36,-28,-14,-14,-39,-48,-38,35,13,-8,-6,-15,-17,-25,-37,-22,-53,-20,-24,-37,4,-75,-38,-120,-117,-53,-114,-100,-41,-27
39,-26,4,12,24,22,2,-15,-8,36,7,-14,26,-17,27,8,-7,14,-27,13,12,2,-2,10,47,-84,-80,21,-84,-44,33,48
40,8,36,40,41,41,35,15,23,38,0,-9,45,-17,54,39,30,41,14,36,36,33,-10,89,106,0,3,80,-6,40,85,89
41,32,46,42,38,39,42,37,43,38,-4,-4,38,-17,46,42,49,45,38,44,44,43,-16,114,105,92,93,86,83,97,89,80
42,50,39,29,20,19,35,53,52,41,-12,-7,9,-19,12,23,41,24,39,33,33,31,-18,78,41,132,132,50,128,99,45,29
43,45,8,-3,-21,-19,7,37,27,36,-17,-6,-31,-16,-26,-7,15,-10,20,1,0,-1,-19,-6,-49,96,96,-20,100,42,-26,-43
44,6,-30,-37,-49,-48,-30,-10,-25,38,-25,-12,-51,-14,-53,-33,-18,-41,-15,-41,-41,-39,-21,-89,-112,2,3,-85,14,-41,-86,-97
45,-43,-51,-50,-45,-48,-53,-50,-57,35,-33,-20,-34,-11,-46,-42,-35,-47,-43,-62,-60,-51,-20,-120,-115,-92,-91,-102,-81,-104,-101,-94
46,-59,-36,-31,-18,-21,-41,-51,-49,34,-37,-24,-1,-9,-16,-25,-32,-26,-43,-37,-32,-31,-19,-90,-58,-132,-126,-57,-125,-112,-51,-34
47,-35,-1,4,17,13,-7,-18,-10,32,-44,-29,36,-6,22,7,-5,18,-10,10,18,5,-15,-6,34,-95,-89,25,-96,-62,30,50
48,8,29,40,43,43,26,20,25,31,-50,-33,53,-2,49,38,25,47,23,50,51,32,-13,87,113,-11,-3,94,-14,24,94,104
49,36,50,53,49,48,46,45,45,31,-57,-31,43,1,44,43,42,51,43,50,53,42,-9,137,130,82,83,108,76,105,105,97
50,47,41,33,17,19,41,43,42,29,-62,-24,10,-1,16,24,33,26,48,27,30,38,-8,109,70,127,127,63,126,124,54,35
51,33,-1,-15,-29,-31,-1,26,17,26,-70,-24,-29,2,-26,-9,8,-9,30,-6,-2,9,-6,15,-35,101,97,-18,103,73,-29,-46
52,3,-43,-52,-54,-54,-46,-11,-19,29,-73,-20,-51,6,-50,-44,-32,-43,-6,-40,-37,-33,-1,-85,-117,11,9,-91,18,-23,-94,-105
53,-34,-54,-52,-43,-45,-56,-43,-49,27,-81,-7,-39,5,-42,-52,-56,-56,-46,-60,-57,-59,1,-131,-131,-86,-89,-114,-76,-105,-111,-109
54,-51,-35,-28,-14,-18,-34,-45,-46,26,-84,-4,-2,7,-12,-28,-48,-29,-55,-45,-40,-36,1,-103,-71,-124,-124,-76,-117,-123,-71,-52
55,-31,0,10,20,21,-3,-24,-16,24,-89,-19,36,8,32,13,-13,15,-19,0,5,12,2,-18,26,-88,-88,8,-86,-73,16,39
56,2,34,43,49,53,34,12,18,20,-96,-23,49,6,53,44,31,48,31,46,50,48,7,74,107,-5,-8,96,-7,17,98,112
57,32,57,55,51,54,57,42,46,20,-100,-13,42,6,50,49,51,52,55,61,61,54,7,130,128,77,76,130,74,96,128,124
58,51,43,36,16,22,44,51,49,18,-104,-10,10,4,15,26,40,27,47,36,34,35,4,111,75,119,117,92,117,124,84,65
59,38,0,-14,-33,-29,0,27,15,17,-107,-22,-32,3,-26,-8,8,-10,19,-11,-13,2,4,21,-25,92,89,0,97,78,-12,-30
60,-7,-49,-57,-64,-57,-47,-23,-30,15,-111,-24,-58,0,-53,-43,-27,-43,-16,-49,-49,-32,-2,-80,-110,4,1,-89,17,-15,-94,-104
61,-50,-62,-62,-53,-52,-60,-52,-55,14,-113,-18,-43,-4,-47,-51,-51,-54,-49,-60,-59,-58,-6,-128,-121,-87,-89,-125,-75,-101,-125,-119
62,-53,-36,-29,-15,-14,-38,-48,-41,12,-114,-16,-9,-4,-14,-31,-45,-31,-62,-33,-33,-47,-8,-94,-60,-120,-118,-88,-114,-117,-82,-61
63,-29,0,9,22,23,0,-20,-11,14,-114,-12,26,-8,24,13,-8,10,-34,13,13,-1,-10,-14,28,-79,-77,-3,-82,-65,4,29
64,3,36,40,48,48,35,15,24,14,-115,-9,47,-9,45,45,38,47,16,50,48,46,-15,74,102,0,2,84,-8,19,89,105
65,39,56,55,53,56,57,47,51,12,-115,-11,41,-13,46,51,57,53,55,58,55,65,-16,124,123,75,78,126,69,89,122,123
66,58,47,39,26,29,47,54,53,18,-120,-13,8,-14,18,28,43,26,56,31,27,44,-19,105,71,115,111,95,108,118,86,71
67,40,13,-6,-22,-19,10,25,19,20,-120,-9,-32,-14,-27,-7,12,-15,24,-13,-16,-2,-21,18,-29,84,81,8,86,74,-3,-23
68,-4,-39,-49,-57,-58,-37,-24,-33,20,-119,-2,-54,-16,-54,-42,-24,-46,-25,-48,-47,-45,-21,-79,-109,1,1,-88,8,-22,-95,-100
69,-50,-60,-57,-50,-56,-59,-57,-61,22,-121,9,-42,-16,-48,-55,-51,-49,-54,-53,-53,-58,-18,-123,-114,-83,-83,-120,-76,-99,-118,-112
70,-57,-38,-32,-15,-22,-44,-55,-47,25,-119,9,-10,-18,-10,-34,-45,-29,-55,-27,-29,-37,-16,-87,-55,-113,-110,-84,-114,-110,-73,-56
71,-33,4,10,27,22,-1,-20,-12,29,-115,4,24,-15,24,13,-9,13,-20,17,19,7,-12,-9,30,-71,-67,-1,-77,-55,7,27
72,6,41,45,51,50,36,20,25,28,-115,-3,45,-12,44,47,35,45,26,56,58,48,-6,70,95,9,14,76,1,21,82,95
