,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,39,41,31,45,30,29,34,26,33,36,39,29,37,40
1,44,42,41,40,43,41,44,41,41,42,44,41,45,44
2,28,32,45,18,44,44,39,45,36,36,36,41,33,33
3,7,7,29,-6,31,32,15,35,14,16,16,31,15,10
4,-14,-14,4,-23,8,7,-10,15,-10,-5,-8,6,-8,-12
5,-23,-25,-16,-33,-12,-13,-19,-9,-17,-18,-19,-15,-24,-24
6,-22,-38,-28,-47,-24,-23,-24,-21,-20,-32,-31,-26,-36,-37
7,-23,-51,-46,-49,-39,-37,-22,-31,-23,-48,-50,-41,-50,-47
8,-24,-44,-56,-28,-53,-51,-22,-48,-21,-47,-50,-53,-44,-42
9,-15,-13,-42,2,-43,-41,-15,-45,-13,-23,-26,-46,-21,-18
10,-1,13,-11,19,-12,-11,0,-21,-1,5,4,-19,5,12
11,6,24,11,24,8,10,12,8,12,19,17,8,20,21
12,8,30,20,37,21,20,15,20,14,29,26,20,25,30
13,7,40,31,45,28,32,14,26,12,37,39,28,37,41
14,6,42,43,37,41,43,8,40,7,45,46,39,41,44
15,2,25,40,12,42,43,5,45,2,35,32,41,27,28
16,0,1,19,-10,25,22,3,30,0,10,10,25,2,3
17,-4,-15,-2,-16,3,1,0,5,-3,-11,-8,4,-15,-13
18,-5,-19,-16,-17,-16,-17,-7,-11,-7,-19,-20,-10,-20,-18
19,-9,-20,-18,-18,-22,-19,-11,-17,-10,-22,-19,-17,-22,-19
20,-5,-21,-20,-19,-20,-21,-8,-22,-6,-21,-21,-18,-24,-22
21,5,-19,-16,-13,-25,-24,-1,-23,0,-23,-19,-19,-20,-21
22,7,-11,-17,-2,-19,-21,5,-19,3,-16,-11,-18,-8,-11
23,1,4,-3,8,-7,-7,4,-12,1,1,2,-7,6,2
24,0,13,9,8,8,7,2,4,1,10,13,6,13,7
25,3,9,12,7,15,12,3,13,0,12,13,14,18,9
26,6,10,11,5,12,13,8,13,7,10,13,12,16,6
27,1,8,9,2,14,11,4,8,1,6,10,8,9,4
28,-9,3,5,2,8,7,-7,7,-6,5,5,4,8,2
29,-8,1,1,-1,3,3,-10,3,-10,-2,1,-1,4,-1
30,-4,-2,-1,-6,2,2,-3,0,-6,1,-2,-4,0,-3
31,1,-8,-3,-11,-4,-2,-2,-2,-2,-4,-5,-2,-5,-7
32,-5,-11,-10,-10,-10,-6,-2,-6,-4,-10,-10,-9,-8,-9
33,-8,-5,-13,-1,-12,-9,-7,-6,-8,-5,-6,-12,-3,-4
34,1,5,-1,7,-3,-1,-1,-5,-2,5,6,-4,4,6
35,8,2,4,4,7,6,7,4,8,3,9,5,7,5
36,7,-1,1,1,2,6,9,9,10,2,2,2,2,1
37,-1,3,-2,6,1,5,5,2,3,4,1,1,3,1
38,5,7,5,9,3,5,1,3,3,5,7,3,8,6
39,6,4,9,5,5,9,5,10,5,8,8,7,6,6
40,4,-2,6,-2,5,8,5,11,7,5,2,6,2,1
41,-4,-8,0,-6,-3,-1,0,5,3,-3,-9,0,-6,-7
42,-9,-8,-5,-1,-9,-7,-9,-8,-6,-9,-10,-7,-7,-4
43,-9,-1,-4,0,-8,-7,-13,-6,-8,-4,-6,-5,-2,-3
44,-6,0,1,-2,-1,-4,-10,-2,-6,1,-3,-3,-1,0
45,-2,-6,-2,-7,-1,-3,-3,-1,1,-5,-6,-1,-6,-7
46,2,-7,-7,-1,-6,-8,2,-6,2,-8,-10,-6,-7,-6
47,-1,2,-7,9,-6,-9,4,-9,1,2,-2,-8,3,2
48,4,9,6,9,4,1,2,-3,4,10,6,0,10,8
49,9,8,10,6,10,9,5,6,6,8,5,8,9,7
50,9,3,3,4,4,5,9,6,10,5,0,5,2,2
51,4,6,0,5,3,2,6,1,6,4,4,-2,2,2
52,-6,6,5,5,6,6,-3,0,-2,8,6,-1,5,5
53,-6,2,7,-1,6,5,-8,4,-6,4,4,3,2,3
54,-4,-4,0,-8,1,4,-5,4,-6,-2,-2,1,-3,-3
55,-2,-10,-4,-12,-5,-6,-3,-3,0,-7,-9,-5,-8,-10
56,-8,-11,-8,-6,-9,-8,-5,-9,-5,-12,-9,-11,-12,-11
57,-14,-6,-8,-1,-8,-12,-17,-11,-17,-8,-6,-12,-4,-4
58,-11,2,-2,0,-2,-4,-17,-6,-14,-4,-1,-7,1,-2
59,4,3,3,1,4,3,2,1,-1,1,3,-1,3,2
60,16,2,4,3,4,5,15,2,14,1,4,2,3,3
61,16,2,3,4,3,3,19,3,19,1,5,-2,4,4
62,11,9,5,7,5,4,14,2,15,7,7,1,8,6
63,10,13,9,4,10,7,11,5,13,9,9,5,8,6
64,8,2,6,1,13,7,14,8,9,3,8,6,5,5
65,0,-4,0,-7,3,1,7,8,7,-2,-4,0,-2,-6
66,-16,-4,-6,-3,-6,-6,-6,-4,-10,-5,-7,-8,-6,-8
67,-28,-3,-5,1,-6,-7,-22,-7,-24,-1,-4,-9,-3,-5
68,-15,-1,-1,-3,-4,-5,-18,0,-20,0,-1,-4,-2,-3
69,1,-10,-4,-14,-2,-2,0,0,-3,-3,-8,-5,-10,-7
70,6,-14,-15,-14,-12,-11,10,-6,8,-11,-17,-12,-18,-15
71,4,-6,-15,5,-17,-14,5,-15,-1,-9,-15,-18,-10,-8
72,8,10,-6,19,-11,-9,4,-12,2,6,4,-10,6,10
73,20,21,11,18,8,6,17,6,14,19,14,8,17,21
74,21,21,21,17,19,20,24,17,20,23,22,16,15,21
75,13,13,19,12,14,19,15,20,11,17,14,18,13,17
76,1,13,14,11,11,13,5,15,0,12,9,14,11,10
77,3,11,8,6,12,10,1,10,2,12,12,13,11,12
78,8,2,7,-8,10,10,2,10,3,3,4,10,2,2
79,1,-17,-4,-22,-1,0,2,2,2,-13,-13,1,-14,-16
80,-14,-21,-18,-18,-18,-17,-9,-14,-15,-25,-27,-16,-23,-25
81,-24,-7,-21,1,-21,-22,-24,-27,-24,-18,-18,-23,-14,-12
82,-14,2,-7,8,-9,-7,-22,-16,-21,0,-1,-8,4,6
83,-2,5,8,2,4,7,-5,2,-5,5,5,4,8,7
84,2,1,6,4,7,6,4,4,3,1,1,6,1,3
85,-2,11,6,18,3,5,-1,3,-1,6,6,2,9,12
86,-2,19,14,22,10,12,-3,8,-2,18,18,7,25,22
87,4,17,21,11,23,21,4,17,3,26,20,21,24,20
88,10,6,19,-1,22,19,8,20,8,15,12,20,13,8
89,11,-2,7,0,10,6,8,9,12,3,4,9,3,2
90,7,1,0,0,1,-1,8,3,10,2,3,-1,2,0
91,3,2,4,0,5,3,7,0,5,6,8,0,3,3
92,2,-4,4,-15,7,5,4,6,3,2,5,3,1,-3
93,2,-19,-8,-24,-3,-3,1,1,1,-13,-12,-6,-14,-20
94,-10,-27,-22,-20,-15,-17,-8,-16,-8,-24,-22,-20,-24,-25
95,-28,-12,-23,-5,-21,-21,-25,-23,-22,-16,-14,-26,-15,-15
96,-35,-3,-7,2,-8,-9,-33,-13,-31,-4,1,-14,-1,-3
97,-19,0,2,-4,3,3,-23,2,-23,3,4,-1,2,0
98,-11,-2,4,-2,4,2,-10,4,-13,-3,-1,-5,-3,-6
99,-11,1,-1,6,-1,-1,-6,1,-7,-4,1,-5,-4,-3
100,-5,8,3,9,1,1,-3,0,-5,0,4,-1,2,4
101,4,13,7,14,11,7,5,8,3,9,8,5,7,10
102,12,15,13,14,12,11,16,11,13,12,9,10,8,13
103,14,11,12,11,13,15,18,14,16,9,10,12,5,10
104,9,7,7,6,9,11,17,13,9,6,5,11,4,8
105,6,6,5,4,4,5,10,7,7,6,2,7,-2,7
106,7,0,1,-5,5,5,9,4,7,5,2,5,-5,2
107,8,-14,-3,-22,0,0,9,1,8,-7,-11,3,-12,-9
108,2,-30,-20,-32,-16,-15,5,-7,4,-20,-27,-12,-28,-27
109,-13,-29,-33,-23,-32,-29,-8,-23,-8,-25,-30,-26,-33,-30
110,-18,-15,-27,-9,-31,-28,-17,-29,-15,-20,-21,-27,-21,-19
111,-4,-11,-18,-6,-21,-16,-9,-18,-9,-8,-11,-14,-11,-9
112,4,-8,-11,-5,-15,-11,0,-9,4,-8,-7,-6,-7,-9
113,3,-2,-10,6,-9,-9,6,-10,6,-3,-6,-6,-5,-5
114,2,7,-4,14,-1,-4,2,-6,4,6,4,-1,7,7
115,6,15,7,15,7,6,5,7,5,16,13,6,14,15
116,10,16,12,11,14,13,11,13,13,17,16,16,15,14
117,2,11,13,5,13,12,7,13,8,10,13,15,10,8
118,-11,6,8,6,6,8,-8,9,-8,8,9,9,7,6
119,-13,6,5,5,5,3,-14,7,-12,8,8,6,11,7
120,2,6,8,-2,9,6,-2,5,0,8,8,7,8,6
121,6,-5,6,-10,10,8,8,5,7,4,5,7,2,-3
122,3,-17,-5,-19,-2,-4,3,0,2,-10,-9,-4,-8,-13
123,3,-18,-17,-11,-11,-12,2,-12,3,-16,-13,-15,-13,-13
124,15,-3,-12,4,-10,-11,10,-19,14,-7,-4,-16,-1,-2
125,17,2,2,4,1,3,17,-7,19,3,6,-4,9,7
126,9,1,4,-1,9,9,14,4,13,8,6,5,7,5
127,11,0,6,3,5,6,10,2,11,3,2,0,3,3
128,16,7,6,13,3,8,17,2,14,5,8,-1,10,9
129,8,7,10,4,7,13,14,9,15,12,12,8,13,13
130,-8,-3,11,-9,9,14,0,13,-4,7,5,9,3,1
131,-22,-13,-3,-9,-5,1,-15,4,-20,-7,-8,-1,-11,-12
132,-18,-8,-9,1,-13,-10,-18,-9,-22,-11,-10,-13,-9,-10
133,-16,4,-5,10,-10,-6,-12,-9,-18,1,3,-9,4,2
134,-12,10,7,6,5,8,-7,6,-11,10,9,5,9,4
135,-1,7,7,8,8,8,-3,12,-6,6,7,7,3,2
136,17,9,4,15,1,3,13,5,13,4,7,5,7,7
137,26,20,10,22,5,7,28,8,28,15,14,9,17,13
138,23,24,16,17,15,17,29,15,28,24,22,21,19,18
139,13,17,16,13,15,16,18,19,15,15,15,20,14,12
140,2,15,10,17,11,11,7,15,5,12,13,10,12,13
141,-7,20,17,14,14,14,-3,11,-6,20,16,13,17,15
142,-19,13,20,-2,20,18,-15,18,-20,14,11,17,10,8
