,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,34,41,41,37,43,40,38,36,39,31,37,39,38,44,37,32,39,40,40,34,39,38,42,33,40,34,39,37,40,42,39,40,36,38,32,35,39,35,31,42,40,31
1,34,40,43,40,42,40,45,40,40,40,40,43,40,43,44,40,43,45,36,43,40,44,42,40,43,42,41,40,40,44,41,42,43,45,42,41,41,41,40,44,42,41
2,29,39,45,41,44,35,46,40,38,44,40,43,39,42,45,43,48,46,34,44,39,40,38,37,43,46,36,34,43,46,44,42,46,46,46,39,39,41,46,45,40,43
3,21,37,45,38,40,26,47,40,38,44,39,44,35,41,48,44,44,47,29,43,40,39,33,34,40,45,33,32,44,44,43,35,45,43,50,41,35,41,44,44,39,44
4,7,30,43,31,35,20,43,40,37,44,39,40,36,36,46,45,45,45,19,45,37,38,25,33,33,44,29,33,40,37,42,29,45,45,50,38,30,39,43,41,34,42
5,-2,22,38,21,24,8,40,35,29,41,34,36,25,28,43,43,42,42,6,45,28,35,17,26,25,42,22,28,35,31,34,24,43,39,47,35,22,34,48,37,31,42
6,-10,15,29,15,15,-4,33,25,20,36,27,27,15,19,36,35,33,31,-4,35,22,28,8,17,16,39,11,17,28,22,25,14,34,32,39,28,11,28,44,23,21,39
7,-21,6,22,3,4,-16,22,19,12,24,19,16,7,11,27,28,24,24,-13,26,13,18,-2,3,5,32,-1,8,16,14,17,3,26,20,30,24,2,19,34,15,13,27
8,-27,-6,9,-9,-6,-26,11,10,3,16,10,6,-4,-1,19,18,15,11,-25,17,0,4,-17,-6,-6,23,-10,-1,4,2,6,-6,16,10,19,15,-10,8,26,4,4,17
9,-32,-18,-2,-19,-16,-32,1,-1,-8,6,3,-4,-15,-12,4,9,4,-2,-29,6,-10,-3,-28,-15,-17,12,-21,-9,-3,-9,-2,-15,7,0,7,1,-22,-1,15,-6,-6,9
10,-37,-29,-12,-28,-28,-39,-9,-14,-18,-4,-10,-17,-26,-25,-5,-2,-7,-14,-34,-2,-17,-13,-33,-26,-29,0,-30,-17,-15,-20,-17,-24,-3,-12,-4,-10,-27,-14,3,-18,-19,-1
11,-39,-37,-24,-37,-35,-43,-21,-24,-27,-15,-19,-25,-33,-32,-16,-13,-20,-26,-36,-13,-29,-21,-39,-28,-36,-10,-34,-26,-28,-31,-28,-33,-15,-22,-13,-22,-35,-24,-8,-29,-25,-12
12,-38,-43,-32,-43,-41,-46,-33,-29,-37,-25,-28,-35,-37,-40,-25,-24,-28,-37,-38,-23,-33,-33,-44,-32,-40,-22,-40,-34,-35,-38,-34,-38,-24,-30,-27,-28,-41,-35,-19,-35,-31,-25
13,-33,-45,-39,-45,-45,-41,-37,-38,-40,-31,-35,-40,-44,-42,-33,-35,-35,-42,-37,-35,-39,-36,-46,-36,-43,-33,-43,-36,-38,-43,-40,-43,-36,-37,-34,-36,-45,-44,-29,-43,-45,-33
14,-34,-46,-45,-44,-52,-39,-44,-42,-41,-40,-41,-44,-45,-43,-36,-39,-38,-45,-32,-39,-41,-38,-43,-37,-48,-39,-42,-38,-43,-48,-44,-43,-39,-41,-37,-41,-43,-47,-40,-46,-45,-40
15,-26,-42,-48,-44,-49,-35,-48,-43,-45,-43,-44,-48,-44,-45,-42,-43,-43,-50,-29,-45,-42,-41,-38,-31,-44,-44,-38,-39,-48,-49,-46,-40,-45,-47,-45,-39,-41,-48,-43,-47,-44,-45
