,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,44,30,40,46,44,44,28,36,45,33,44,34,40,38,35,37,45,36,47,38,25
1,45,42,46,49,49,47,40,42,45,40,46,44,44,45,41,44,47,44,49,47,40
2,42,48,46,46,44,45,40,35,35,30,44,49,31,48,30,47,41,38,40,48,47
3,21,46,32,28,28,33,27,11,13,12,31,47,10,37,14,37,23,21,22,37,46
4,-5,35,8,-1,1,4,7,-10,-13,-9,8,28,-8,17,-6,19,-5,2,-5,18,36
5,-26,9,-15,-18,-23,-20,-12,-24,-30,-24,-17,1,-23,-6,-21,-7,-27,-16,-25,-9,14
6,-34,-18,-31,-32,-34,-32,-28,-42,-37,-39,-35,-22,-39,-24,-36,-25,-35,-33,-34,-28,-13
7,-42,-30,-38,-40,-43,-38,-44,-48,-47,-51,-42,-34,-48,-37,-47,-35,-45,-46,-42,-38,-29
8,-44,-39,-46,-46,-47,-43,-47,-42,-45,-44,-48,-40,-39,-45,-40,-44,-46,-47,-46,-44,-38
9,-30,-44,-40,-37,-38,-39,-40,-28,-29,-31,-45,-46,-26,-39,-26,-45,-35,-34,-33,-43,-42
10,-8,-41,-25,-16,-15,-18,-24,-8,-3,-11,-25,-36,-3,-25,-5,-30,-9,-17,-10,-31,-43
11,14,-22,1,7,10,8,-2,14,20,13,-1,-16,20,-2,16,-7,11,7,13,-7,-24
12,32,0,22,28,29,25,21,36,35,32,19,6,38,20,36,14,28,29,32,14,0
13,44,21,39,40,40,40,38,44,45,44,36,25,47,37,46,31,40,39,44,32,21
14,50,37,47,46,47,50,43,47,44,45,45,39,48,47,49,44,44,45,49,45,36
15,42,44,48,42,45,48,45,43,36,43,46,46,40,48,41,50,39,42,42,49,46
16,22,45,37,27,30,34,33,24,14,27,33,44,20,40,23,42,22,28,22,43,45
17,-2,33,15,0,1,11,11,0,-13,-1,9,27,-7,20,-3,22,-7,3,-2,22,33
18,-27,9,-14,-25,-22,-16,-15,-23,-32,-22,-15,2,-26,-8,-26,-5,-29,-23,-27,-5,10
19,-40,-15,-32,-37,-37,-37,-31,-34,-42,-35,-35,-24,-38,-31,-38,-28,-39,-34,-40,-26,-15
20,-47,-33,-40,-44,-45,-43,-40,-40,-47,-42,-45,-35,-46,-45,-45,-38,-45,-43,-48,-39,-35
21,-45,-41,-48,-48,-46,-48,-48,-43,-43,-44,-48,-46,-46,-52,-48,-45,-47,-46,-50,-46,-45
22,-31,-47,-43,-34,-31,-39,-43,-33,-25,-36,-41,-49,-34,-53,-40,-44,-29,-40,-32,-43,-48
23,-3,-39,-21,-8,-7,-13,-30,-12,4,-13,-21,-36,-9,-36,-12,-29,1,-20,-6,-28,-43
24,19,-14,5,14,15,10,-10,12,22,11,6,-11,12,-5,11,-2,20,4,17,2,-22
25,30,11,21,24,28,27,15,29,31,30,28,13,30,12,26,17,31,23,25,20,5
26,38,26,34,37,38,34,31,42,40,41,35,25,43,26,38,29,38,39,39,32,23
27,41,37,41,41,41,39,43,49,41,50,41,36,48,34,45,39,43,45,43,39,35
28,30,41,38,35,34,37,47,43,26,46,40,42,43,35,43,43,32,46,32,39,42
29,7,39,20,16,14,15,41,25,5,27,21,32,23,24,24,29,10,34,11,26,40
30,-8,21,1,-3,-4,-2,24,1,-11,3,-2,14,-2,4,-3,6,-8,8,-6,6,25
31,-20,0,-12,-15,-14,-14,-8,-25,-18,-23,-14,-6,-24,-9,-24,-8,-18,-18,-15,-11,7
32,-26,-13,-23,-26,-22,-21,-27,-42,-28,-39,-21,-17,-39,-20,-39,-19,-28,-33,-23,-22,-9
33,-31,-21,-30,-28,-23,-27,-38,-51,-26,-48,-27,-27,-45,-25,-46,-28,-28,-43,-27,-25,-21
34,-20,-26,-24,-20,-20,-23,-44,-49,-16,-49,-25,-29,-43,-23,-48,-27,-19,-47,-17,-26,-24
35,-8,-24,-16,-7,-8,-11,-42,-35,-2,-35,-11,-20,-29,-13,-34,-18,-6,-38,-9,-17,-23
