,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,39,33,35,46,33,41,45,31,29,37,35,43,35,37,40,31,45,38,27,33,38,45,38,43,39,36,49,41,32,39,29,45,47,47,30,41,36,28,35,38,35,38,42,38,42,47
1,40,40,40,52,41,46,48,40,41,41,45,48,41,47,50,46,48,45,42,43,40,52,45,46,40,41,51,50,42,44,42,49,46,54,43,50,40,44,41,40,47,47,41,48,48,48
2,30,39,32,36,34,50,42,33,39,34,49,47,33,50,51,49,43,50,49,49,31,49,36,46,31,33,43,44,49,47,50,40,32,46,49,54,35,50,36,27,50,52,30,50,45,41
3,8,26,17,14,17,41,25,21,27,16,43,30,15,44,37,45,21,40,47,47,15,33,15,34,15,14,22,24,47,35,50,21,9,24,44,38,20,49,22,15,41,43,8,43,31,21
4,-8,4,0,-11,-4,16,-1,2,12,-4,27,7,-4,22,11,29,-5,20,34,29,-3,9,-3,9,-3,-5,-3,3,29,11,32,-7,-13,-3,28,17,-3,33,2,-3,21,24,-11,21,7,-6
5,-25,-13,-19,-27,-20,-7,-20,-14,-10,-25,2,-15,-20,-6,-13,1,-24,-6,11,7,-22,-15,-20,-13,-21,-20,-22,-19,5,-13,9,-26,-28,-21,4,-9,-19,8,-19,-24,-4,-5,-28,-4,-17,-23
6,-41,-27,-37,-40,-36,-25,-32,-33,-31,-39,-19,-31,-37,-26,-29,-20,-37,-24,-15,-17,-39,-32,-38,-29,-40,-37,-36,-33,-16,-31,-17,-36,-40,-35,-16,-27,-36,-18,-33,-38,-22,-22,-42,-23,-31,-36
7,-46,-41,-49,-46,-48,-38,-42,-49,-43,-46,-33,-42,-48,-34,-40,-33,-47,-34,-33,-30,-49,-42,-46,-40,-45,-49,-44,-43,-29,-42,-30,-45,-46,-47,-32,-41,-45,-33,-46,-48,-34,-34,-48,-35,-38,-41
8,-39,-45,-47,-44,-47,-45,-43,-45,-50,-42,-42,-47,-43,-46,-47,-40,-47,-45,-41,-41,-44,-46,-39,-46,-40,-43,-47,-44,-41,-51,-40,-48,-39,-47,-43,-48,-48,-42,-48,-41,-44,-44,-39,-45,-47,-44
9,-23,-36,-32,-29,-30,-43,-35,-35,-40,-24,-44,-42,-32,-48,-41,-48,-31,-42,-45,-48,-28,-40,-23,-43,-24,-32,-32,-36,-46,-46,-46,-36,-22,-35,-43,-49,-32,-47,-35,-24,-45,-45,-18,-44,-39,-31
10,-2,-18,-11,-3,-13,-30,-10,-17,-27,-4,-35,-25,-12,-35,-24,-38,-10,-26,-42,-39,-9,-21,-6,-22,-5,-11,-12,-18,-37,-27,-39,-13,2,-15,-37,-31,-12,-39,-14,-2,-30,-33,4,-29,-19,-3
11,22,1,13,21,8,-11,12,6,-1,17,-14,-1,11,-11,-1,-16,12,-6,-22,-18,13,5,19,0,18,15,10,9,-17,-5,-19,11,22,8,-16,-11,7,-21,8,21,-10,-12,23,-8,7,16
12,38,21,31,36,30,13,31,28,20,36,8,21,29,9,22,5,33,16,2,3,30,24,38,20,38,33,27,29,5,17,4,28,40,30,3,13,30,3,29,36,12,12,39,16,24,31
13,47,39,46,48,44,31,42,44,33,48,28,35,43,28,37,25,46,34,22,26,42,38,48,38,48,44,41,42,23,32,25,40,49,37,26,33,45,22,46,47,33,30,48,33,38,44
14,50,44,52,51,46,45,50,47,46,48,41,45,49,41,48,38,49,44,39,41,47,50,49,47,50,49,48,52,41,45,39,46,51,46,38,42,52,36,53,50,47,44,48,43,50,48
15,40,43,49,41,43,49,49,46,48,40,48,45,45,47,52,49,44,44,51,44,39,51,39,45,44,44,45,48,47,50,48,40,38,42,49,49,46,47,47,39,50,45,34,48,47,40
16,19,33,32,18,30,44,27,32,37,24,46,35,27,41,40,44,26,40,48,46,22,32,20,38,24,24,25,31,44,41,47,23,13,23,51,41,32,45,32,21,43,42,15,41,35,18
17,-7,7,8,-8,5,28,1,10,15,-1,28,11,0,21,14,30,1,21,36,30,-2,10,-5,15,-1,-1,-3,4,30,18,34,-5,-14,-5,33,21,6,33,6,-3,26,25,-11,23,11,-6
18,-28,-17,-16,-29,-18,-1,-24,-16,-9,-24,0,-16,-17,-2,-9,7,-28,-8,11,6,-23,-17,-24,-13,-24,-20,-26,-21,3,-10,9,-28,-31,-27,6,-5,-17,9,-16,-21,-1,-3,-29,-7,-13,-29
19,-36,-30,-31,-42,-30,-25,-37,-31,-24,-36,-25,-30,-31,-28,-28,-21,-37,-31,-14,-18,-34,-34,-33,-33,-36,-33,-39,-33,-20,-28,-16,-39,-38,-40,-16,-26,-30,-16,-29,-34,-23,-25,-38,-29,-32,-41
20,-43,-42,-43,-50,-38,-36,-46,-40,-38,-43,-35,-40,-39,-41,-41,-38,-42,-41,-31,-36,-46,-43,-43,-41,-45,-43,-50,-45,-36,-42,-34,-46,-45,-51,-30,-39,-40,-33,-39,-41,-34,-38,-45,-38,-41,-50
21,-46,-49,-47,-48,-44,-45,-50,-47,-45,-46,-46,-44,-44,-47,-48,-45,-44,-50,-43,-45,-47,-50,-44,-48,-50,-46,-48,-48,-46,-50,-45,-45,-40,-51,-43,-48,-44,-44,-44,-41,-43,-44,-45,-48,-43,-49
22,-30,-44,-41,-30,-36,-45,-35,-42,-43,-35,-49,-39,-34,-47,-42,-50,-28,-47,-49,-52,-34,-40,-34,-45,-36,-34,-31,-35,-49,-46,-51,-29,-16,-31,-51,-49,-40,-48,-40,-31,-43,-47,-29,-49,-38,-30
23,-7,-22,-22,-3,-14,-27,-8,-21,-30,-10,-33,-14,-13,-27,-19,-37,-6,-28,-41,-41,-14,-20,-9,-21,-16,-15,-5,-7,-39,-22,-42,0,7,-3,-38,-27,-21,-37,-22,-7,-26,-27,-4,-31,-14,-2
24,15,2,4,13,6,0,15,1,-4,11,-5,10,9,-4,6,-10,17,0,-18,-15,9,9,12,3,7,8,14,12,-12,6,-14,20,25,14,-10,-1,3,-12,2,15,2,-1,16,-2,11,16
25,30,21,24,27,23,18,28,21,18,28,14,27,29,18,21,13,29,16,7,11,27,25,27,20,25,30,27,27,13,21,11,30,34,27,12,20,24,14,22,29,20,17,30,18,25,32
26,43,38,36,39,40,30,38,35,32,43,26,38,42,32,32,28,38,27,21,25,43,32,43,31,40,44,39,36,24,34,27,40,41,39,25,31,41,30,39,42,33,29,44,30,36,38
27,50,49,44,37,49,42,43,47,43,48,37,45,49,40,40,36,45,41,35,36,48,42,48,39,45,48,46,44,34,44,36,43,38,43,35,41,49,39,47,47,42,37,47,43,42,42
28,41,51,45,23,46,46,33,48,46,43,42,40,47,43,41,45,32,40,42,42,45,39,43,41,37,44,33,34,44,40,45,31,18,33,41,43,49,43,50,40,44,41,35,42,41,29
29,21,39,31,4,29,32,14,33,42,24,33,22,30,29,21,35,7,27,39,37,28,19,23,22,20,32,14,16,37,26,39,12,-1,12,36,32,35,39,36,18,30,29,14,29,19,9
30,-6,16,5,-12,6,10,-4,8,19,-4,11,0,5,8,2,16,-10,7,22,18,0,-4,-2,4,-4,4,-5,-6,16,5,20,-6,-18,-4,16,10,11,22,12,-7,7,8,-11,10,-4,-10
31,-28,-11,-18,-22,-22,-5,-18,-18,-8,-26,-5,-14,-23,-9,-15,-5,-19,-10,2,-2,-23,-16,-24,-12,-29,-20,-17,-18,-4,-11,-2,-19,-25,-18,-2,-7,-17,-1,-12,-29,-7,-8,-30,-5,-16,-21
32,-39,-30,-34,-30,-38,-16,-26,-35,-28,-38,-20,-24,-36,-20,-24,-19,-27,-20,-15,-13,-38,-23,-40,-21,-41,-34,-24,-28,-15,-22,-15,-26,-32,-26,-18,-21,-32,-14,-31,-43,-17,-21,-42,-19,-22,-26
33,-48,-40,-45,-29,-46,-28,-30,-44,-41,-47,-29,-28,-45,-26,-29,-25,-30,-29,-25,-23,-47,-28,-47,-26,-49,-46,-24,-31,-25,-30,-25,-25,-29,-29,-26,-26,-44,-25,-42,-49,-27,-27,-47,-25,-29,-26
34,-46,-47,-48,-19,-50,-28,-20,-51,-46,-45,-29,-25,-49,-29,-27,-30,-17,-28,-28,-26,-47,-23,-46,-23,-47,-48,-17,-25,-31,-27,-29,-20,-15,-20,-28,-27,-47,-30,-49,-48,-26,-28,-44,-25,-27,-19
