,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,35,30,42,33,30,42,42,29,31,26,34,30,28,37,31,26,27,34,31,34,41,35,50
1,40,42,44,41,44,43,41,40,47,40,40,43,42,43,42,43,43,42,45,43,40,43,51
2,30,44,37,36,44,34,32,39,48,42,32,47,43,37,43,43,42,36,42,40,32,39,36
3,15,37,26,22,35,23,18,33,40,33,19,43,36,28,36,36,35,27,36,32,19,28,17
4,1,24,7,9,22,1,0,23,27,22,6,25,26,9,25,27,19,12,24,16,-2,17,-6
5,-17,6,-16,-8,3,-22,-22,8,10,5,-12,4,8,-13,7,7,6,-9,2,-2,-23,-3,-24
6,-29,-17,-39,-22,-21,-35,-38,-18,-16,-18,-29,-17,-17,-34,-16,-15,-16,-27,-17,-25,-39,-24,-42
7,-35,-38,-48,-30,-40,-43,-45,-36,-35,-38,-34,-36,-35,-46,-35,-34,-35,-42,-33,-40,-45,-40,-46
8,-33,-41,-50,-32,-46,-42,-42,-41,-44,-45,-30,-47,-44,-45,-43,-43,-44,-42,-38,-48,-42,-43,-41
9,-28,-42,-38,-28,-47,-31,-31,-41,-47,-47,-25,-44,-43,-38,-42,-45,-43,-40,-40,-43,-28,-40,-30
10,-15,-32,-24,-20,-35,-15,-11,-31,-37,-42,-19,-34,-36,-22,-34,-39,-34,-25,-32,-30,-9,-29,-5
11,3,-14,2,-8,-16,10,12,-11,-22,-21,-2,-16,-18,0,-16,-19,-19,-1,-12,-10,14,-11,14
12,19,8,21,11,7,28,34,13,1,5,12,7,7,24,7,2,3,21,8,14,31,16,32
13,30,28,39,25,26,45,44,33,21,25,26,27,27,40,30,25,25,35,31,33,44,33,43
14,34,41,50,34,42,52,48,46,37,40,34,41,42,49,41,39,39,47,41,43,49,45,41
15,37,47,47,36,49,46,45,53,51,49,35,50,47,47,50,48,49,51,48,47,42,50,32
16,36,47,33,35,45,30,26,47,46,50,30,42,48,35,47,47,46,41,43,44,27,42,13
17,21,31,14,27,31,8,5,34,35,37,21,27,33,20,32,35,33,19,30,28,8,25,-6
18,4,11,-9,10,11,-12,-18,10,14,16,5,4,12,-3,11,16,12,-4,8,3,-14,3,-25
19,-8,-14,-27,-6,-12,-32,-36,-12,-11,-7,-8,-17,-8,-20,-13,-7,-11,-22,-16,-19,-32,-18,-44
20,-24,-31,-41,-18,-31,-42,-47,-34,-28,-27,-19,-38,-29,-36,-28,-27,-27,-40,-32,-33,-43,-36,-49
21,-32,-43,-46,-30,-44,-47,-49,-47,-44,-39,-28,-51,-42,-42,-43,-39,-43,-47,-43,-45,-42,-47,-42
22,-32,-48,-40,-35,-47,-36,-36,-49,-46,-44,-33,-46,-48,-37,-49,-44,-48,-42,-48,-46,-34,-45,-27
23,-24,-38,-25,-30,-39,-15,-16,-40,-40,-38,-24,-35,-42,-21,-41,-40,-44,-26,-40,-32,-15,-33,-14
24,-12,-20,0,-19,-21,6,6,-22,-25,-20,-14,-23,-21,-2,-22,-23,-24,-6,-21,-14,5,-15,10
25,1,2,19,-6,1,25,27,1,-4,0,-1,-3,-1,17,-1,-1,-4,16,1,6,26,8,35
26,20,24,36,9,23,40,43,20,18,20,14,22,21,34,21,15,14,34,20,26,39,27,45
27,33,41,46,29,40,48,49,38,35,39,33,41,38,45,39,36,35,50,35,43,48,43,42
28,42,50,43,41,44,41,42,47,47,47,46,43,46,41,47,45,44,49,47,44,38,47,36
29,38,43,32,44,43,24,25,42,46,44,42,37,41,30,43,43,41,37,40,37,21,40,27
30,27,28,8,37,30,6,6,28,32,30,32,29,29,10,28,30,27,19,25,24,2,25,6
31,12,7,-10,22,8,-17,-16,7,10,12,23,14,9,-9,7,13,11,0,5,3,-19,3,-20
32,-9,-13,-32,6,-11,-38,-37,-13,-8,-9,2,-9,-11,-31,-11,-9,-11,-24,-14,-20,-40,-15,-39
33,-31,-35,-49,-14,-31,-49,-50,-36,-27,-32,-22,-32,-29,-47,-31,-30,-32,-43,-33,-41,-53,-36,-44
34,-45,-50,-51,-34,-48,-47,-47,-51,-44,-50,-37,-44,-44,-49,-45,-50,-47,-50,-49,-48,-48,-47,-41
35,-48,-49,-42,-42,-50,-34,-36,-50,-48,-51,-43,-47,-46,-41,-46,-53,-48,-44,-46,-46,-36,-44,-33
36,-41,-39,-25,-44,-40,-20,-20,-39,-40,-42,-41,-37,-36,-29,-37,-42,-39,-34,-37,-35,-20,-33,-17
37,-29,-21,-10,-34,-24,-1,-2,-25,-26,-27,-30,-25,-21,-14,-22,-29,-24,-17,-24,-21,-1,-17,8
38,-5,-4,17,-16,-6,24,21,-8,-11,-11,-12,0,-8,13,-2,-12,-6,4,-4,0,24,1,33
39,17,21,36,9,22,44,43,15,16,15,13,24,15,36,20,15,20,29,20,24,46,26,46
40,37,41,45,30,42,50,47,40,38,37,29,39,37,43,40,38,40,42,42,44,50,45,50
41,46,46,42,41,46,45,39,45,48,46,41,46,49,45,47,46,49,41,47,48,42,45,42
42,46,43,34,48,40,36,30,43,46,43,44,42,43,38,45,44,48,36,43,43,34,38,26
43,41,37,21,48,32,20,14,33,38,33,40,34,34,24,35,37,40,25,35,34,16,30,1
44,22,23,-1,33,19,-6,-9,21,26,23,22,11,23,4,24,25,28,7,20,15,-9,12,-20
45,-2,-1,-27,8,-5,-28,-32,-2,2,0,3,-12,-2,-21,-1,0,4,-19,-5,-9,-32,-15,-38
46,-21,-27,-43,-17,-31,-44,-46,-26,-25,-27,-20,-34,-25,-39,-27,-26,-21,-39,-31,-33,-45,-36,-48
47,-37,-41,-48,-29,-42,-48,-47,-41,-42,-41,-36,-44,-41,-50,-41,-42,-38,-43,-43,-43,-45,-44,-49
48,-45,-46,-47,-44,-47,-43,-43,-45,-47,-45,-46,-49,-45,-48,-44,-46,-43,-42,-46,-46,-40,-46,-41
49,-45,-45,-36,-47,-45,-30,-29,-42,-47,-44,-47,-44,-43,-34,-44,-47,-40,-37,-42,-41,-26,-42,-21
50,-30,-32,-13,-40,-32,-7,-8,-30,-39,-37,-36,-28,-36,-20,-33,-36,-34,-20,-31,-30,-3,-28,2
51,-6,-14,13,-23,-9,17,21,-6,-19,-13,-18,-7,-11,8,-15,-17,-14,4,-11,-3,24,-3,27
52,13,15,33,-1,18,35,36,17,8,17,4,19,13,33,12,12,12,30,15,21,41,21,43
53,33,33,46,19,37,47,44,38,32,35,24,35,34,46,33,35,33,43,34,37,47,38,46
54,48,44,50,42,47,47,44,49,43,46,42,44,45,47,44,49,42,51,46,48,46,46,42
55,48,46,43,49,49,38,35,51,47,50,45,45,49,42,46,54,47,49,49,46,33,47,32
56,39,37,25,43,44,16,13,43,41,43,38,39,42,26,40,46,42,29,38,35,12,37,13
57,21,16,0,29,23,-10,-13,19,22,25,26,22,20,1,19,28,23,2,18,14,-15,12,-12
58,0,-9,-22,9,-6,-32,-33,-4,1,-2,5,-1,-5,-22,-6,3,-3,-18,-8,-13,-33,-14,-33
59,-22,-30,-39,-14,-27,-44,-46,-25,-22,-22,-18,-22,-25,-37,-26,-20,-23,-35,-29,-29,-45,-31,-40
60,-43,-43,-49,-34,-41,-50,-53,-43,-41,-40,-38,-38,-41,-46,-42,-40,-41,-47,-41,-44,-52,-45,-44
61,-48,-50,-48,-48,-49,-47,-43,-51,-49,-49,-49,-45,-48,-47,-52,-49,-46,-50,-49,-48,-44,-52,-37
62,-43,-46,-38,-46,-47,-31,-29,-48,-46,-47,-45,-43,-47,-38,-49,-49,-46,-39,-45,-43,-29,-42,-21
63,-33,-33,-19,-39,-34,-9,-7,-36,-37,-36,-35,-32,-35,-17,-32,-37,-33,-22,-32,-27,-5,-30,0
64,-17,-12,8,-24,-12,18,17,-13,-17,-17,-21,-11,-13,5,-12,-17,-14,1,-10,-4,18,-4,21
65,7,15,30,-5,13,37,39,12,8,7,2,12,13,27,12,5,9,26,14,17,36,22,35
66,32,36,44,20,35,44,46,33,30,34,22,28,37,44,33,26,32,44,32,38,45,39,44
67,45,47,46,41,44,46,45,46,45,47,39,40,50,48,49,40,45,47,44,43,43,45,46
68,46,49,43,48,44,39,39,44,46,50,46,43,52,40,48,43,46,42,46,43,34,43,36
69,41,42,28,45,41,22,26,41,45,43,42,41,46,28,41,37,40,32,38,33,21,40,15
70,29,28,5,32,24,3,0,27,32,31,33,26,31,9,30,28,26,17,26,19,-2,21,-14
71,10,5,-17,22,3,-23,-23,4,10,8,17,-3,10,-14,5,7,8,-11,3,-5,-24,-2,-33
72,-16,-18,-37,-1,-21,-36,-39,-20,-13,-17,-7,-27,-18,-34,-18,-15,-16,-31,-18,-28,-39,-23,-38
73,-36,-34,-44,-27,-37,-45,-46,-36,-33,-37,-31,-40,-35,-45,-35,-33,-35,-39,-36,-37,-43,-37,-41
74,-48,-46,-48,-42,-47,-43,-45,-45,-45,-45,-45,-42,-45,-47,-42,-43,-39,-44,-42,-46,-42,-45,-38
75,-46,-46,-37,-47,-47,-31,-36,-46,-42,-48,-44,-40,-47,-40,-45,-46,-40,-38,-41,-46,-31,-45,-26
76,-39,-33,-20,-42,-33,-12,-13,-35,-35,-37,-40,-32,-36,-23,-35,-41,-36,-26,-32,-29,-8,-31,2
77,-23,-13,3,-32,-14,13,8,-15,-15,-19,-29,-9,-18,1,-12,-20,-17,-1,-15,-7,15,-6,24
78,5,8,21,-12,8,30,24,7,4,2,-4,15,4,21,6,4,6,19,9,12,33,11,39
79,28,25,34,17,28,40,39,26,26,22,23,35,23,33,24,23,23,32,29,28,41,27,43
80,45,42,43,34,39,47,42,41,38,35,38,42,39,43,38,36,35,43,39,38,48,39,40
81,51,47,42,46,45,43,41,47,42,44,46,42,44,45,45,45,46,44,44,46,45,46,34
82,47,46,33,46,44,26,24,46,45,44,51,37,45,33,42,46,45,37,43,41,26,40,18
83,35,34,8,37,32,-2,-2,30,32,32,36,28,32,11,30,35,32,16,28,19,-3,24,-4
84,9,5,-22,16,5,-25,-29,6,8,8,12,10,7,-18,3,9,8,-11,1,-3,-29,-5,-24
85,-14,-24,-38,-8,-24,-37,-42,-22,-20,-19,-12,-14,-20,-34,-24,-18,-21,-33,-25,-29,-38,-33,-35
86,-35,-41,-42,-27,-36,-44,-41,-37,-39,-34,-31,-32,-38,-41,-40,-37,-38,-40,-39,-41,-41,-40,-39
87,-44,-43,-42,-45,-42,-41,-42,-40,-42,-43,-46,-41,-43,-42,-38,-42,-45,-37,-42,-41,-40,-40,-37
88,-49,-43,-38,-53,-40,-36,-34,-39,-40,-43,-51,-39,-40,-36,-37,-42,-41,-37,-40,-38,-31,-41,-23
89,-39,-37,-24,-48,-35,-14,-17,-30,-33,-37,-45,-28,-38,-23,-37,-39,-36,-24,-36,-30,-14,-31,-8
90,-23,-19,3,-34,-17,12,14,-19,-21,-20,-28,-14,-23,2,-19,-21,-22,1,-19,-10,13,-11,11
91,1,9,27,-15,12,31,34,9,6,8,-6,4,3,27,8,2,4,24,7,20,35,17,29
92,23,32,42,12,34,41,41,33,30,30,19,23,26,42,32,28,30,40,29,35,42,35,39
93,43,40,45,39,45,42,42,42,42,40,40,37,38,43,39,41,39,42,38,42,41,44,39
